代號,名稱,年度,季別,營業活動之淨現金流入（流出）
1460,宏遠,108,Q4,31576.0
1460,宏遠,108,Q2,16816.0
1460,宏遠,108,Q1,69998.0
1460,宏遠,108,Q3,28067.0
1463,強盛新,108,Q2,70731.0
1463,強盛新,108,Q4,270946.0
1463,強盛新,108,Q3,280971.0
1463,強盛新,108,Q1,3338.0
1464,得力,108,Q2,261749.0
1464,得力,108,Q3,226090.0
1464,得力,108,Q1,75507.0
1464,得力,108,Q4,603988.0
1465,偉全,108,Q3,150646.0
1465,偉全,108,Q2,67595.0
1465,偉全,108,Q4,5130.0
1465,偉全,108,Q1,43596.0
1466,聚隆,108,Q4,63346.0
1466,聚隆,108,Q3,45641.0
1466,聚隆,108,Q2,52610.0
1466,聚隆,108,Q1,7766.0
1467,南緯,108,Q3,35893.0
1467,南緯,108,Q2,325627.0
1467,南緯,108,Q1,167206.0
1467,南緯,108,Q4,131873.0
1468,昶和,108,Q3,137390.0
1468,昶和,108,Q4,123119.0
1468,昶和,108,Q2,116780.0
1468,昶和,108,Q1,38925.0
1470,大統新創,108,Q3,59862.0
1470,大統新創,108,Q1,5268.0
1470,大統新創,108,Q4,95193.0
1470,大統新創,108,Q2,29433.0
1471,首利,108,Q3,95738.0
1471,首利,108,Q2,49522.0
1471,首利,108,Q4,160381.0
1471,首利,108,Q1,9925.0
1472,三洋實業,108,Q2,176402.0
1472,三洋實業,108,Q3,198296.0
1472,三洋實業,108,Q4,237324.0
1472,三洋實業,108,Q1,41251.0
1473,台南,108,Q1,15541.0
1473,台南,108,Q2,12373.0
1473,台南,108,Q4,385317.0
1473,台南,108,Q3,338681.0
1474,弘裕,108,Q2,27838.0
1474,弘裕,108,Q4,152240.0
1474,弘裕,108,Q3,46719.0
1474,弘裕,108,Q1,16270.0
1475,業旺,108,Q4,30994.0
1475,業旺,108,Q2,19221.0
1475,業旺,108,Q1,3536.0
1475,業旺,108,Q3,26239.0
1476,儒鴻,108,Q3,4660843.0
1476,儒鴻,108,Q1,1750616.0
1476,儒鴻,108,Q4,5867572.0
1476,儒鴻,108,Q2,2928541.0
1477,聚陽,108,Q1,471277.0
1477,聚陽,108,Q2,244163.0
1477,聚陽,108,Q3,875277.0
1477,聚陽,108,Q4,1690909.0
1503,士電,108,Q2,525971.0
1503,士電,108,Q4,1410052.0
1503,士電,108,Q3,1061545.0
1503,士電,108,Q1,379133.0
1504,東元,108,Q4,5928542.0
1504,東元,108,Q2,1516569.0
1504,東元,108,Q3,4293942.0
