"Symbol","COMPANY","收盤日","收盤價","預期報酬率","貴價","淑價","預期ROE","NAV","預期常利","財報幣別","盈再率","預期配息率","股息","股子","ROE1","ROE2","ROE3","ROE4","ROE5","SECTOR","Industry","交易所","Shares","財報","最近營收年度","營收","近12月最高價","近12月最低價"
"4664","JAPAN RELIANCE SERVICE CORP","20260130",1013.0,6.0,1584.15,517.86,6.96,758.19,151.6,"JPY",0.7,66.3,"",0,9.8,9.2,7.2,10.1,"","Commercial Services","Specialty Business Services","",2.87,"",2025,8844.0,1835.0,451.0
"4665","DUSKIN CO.LTD","20260130",4246.0,1.0,4539.27,1483.9,4.7,3218.82,7108.5,"JPY",107.9,42.3,"",0,4.3,3.6,5.2,6.0,"","Finance","Conglomerates","",46.98,"",2025,188791.0,4428.0,3429.0
"4666","Park24 Co., Ltd.","20260130",2154.5,8.0,3852.52,1259.4,22.32,575.34,21917.0,"JPY",44.3,27.9,"",0,28.1,37.3,48.5,24.9,-33.2,"Consumer Services","Infrastructure Operations","",170.67,"",2025,406168.0,2331.0,1694.0
"4667","AISAN TECHNOLOGY","20260130",2130.0,-2.0,1821.35,595.4,5.14,1180.83,320.0,"JPY",24.5,54.7,"",0,4.6,5.5,4.2,3.2,"","Technology Services","Software - Infrastructure","",5.27,"",2025,6220.0,2303.0,1033.0
"4668","Meiko Network Japan Co., Ltd.","20260130",710.0,6.0,1086.94,355.32,7.27,498.22,915.2,"JPY",57.9,77.5,"",0,9.2,6.1,6.6,4.9,5.4,"Commercial Services","Education & Training Services","",25.26,"",2025,24827.0,794.0,669.0
"4671","FALCO HOLDINGS CO LTD","20260130",2677.0,9.0,5192.08,1697.3,6.83,2532.8,1725.5,"JPY",32.4,51.7,"",0,6.4,5.2,8.0,18.4,"","Commercial Services","Diagnostics & Research","",9.97,"",2025,43313.0,2775.0,2065.0
"4673","KAWASAKI GEOLOGICAL ENGINEER","20260130",4605.0,15.0,13570.69,4436.28,8.68,5210.34,393.6,"JPY",81.0,37.0,50.0,0,7.2,2.9,"","","","Industrial Services","Engineering & Construction","",0.87,"",2024,9559.0,5640.0,2150.0
"4674","CRESCO LTD","20260130",1674.0,7.0,2778.94,1013.14,13.59,756.73,4187.8,"JPY",35.2,46.8,"",0,16.0,13.9,16.8,16.5,"","Technology Services","Information Technology Services","",40.72,"",2025,58760.0,1827.0,1005.0
"4676","FUJI MEDIA HOLDING","20260130",3896.0,"","","",-0.66,3942.78,-5363.4,"JPY",831.6,21.3,"",0,0.6,2.6,2.6,4.6,"","Consumer Services","Broadcasting","",207.51,"",2025,550761.0,4002.0,2292.5
"4678","SHUEI YOBIKO CO","20260130",317.0,22.0,1537.11,502.48,7.58,676.01,343.8,"JPY",-50.5,56.6,"",0,8.0,3.8,7.1,6.6,"","Consumer Services","Education & Training Services","",6.71,"",2025,10693.0,315.0,235.0
"4680","ROUND ONE CORP","20260130",1087.0,8.0,1973.87,645.26,25.81,254.9,17264.2,"JPY",147.7,18.7,"",0,24.7,27.6,20.9,12.3,"","Consumer Services","Leisure","",262.39,"",2025,177057.0,1658.0,745.0
"4681","RESORTTRUST INC","20260130",1800.0,2.0,2196.37,793.68,12.38,680.52,17866.3,"JPY",69.0,41.6,"",0,14.4,12.6,7.5,5.3,"","Consumer Services","Resorts & Casinos","",212.07,"",2025,249333.0,2074.0,1307.5
"4684","OBIC CO LTD","20260130",4297.0,-2.0,3975.83,1431.08,14.43,986.22,62618.1,"JPY",59.6,42.3,"",0,15.9,17.2,17.1,16.5,"","Technology Services","Software - Application","",439.91,"",2025,121240.0,5658.0,4236.0
"4685","RYOYU SYSTEMS CO LTD","20260130",3615.0,10.0,7636.2,2785.45,16.75,1503.06,3209.5,"JPY",29.3,50.9,"",0,20.2,16.6,13.9,13.3,"","Electronic Technology","Conglomerates","",12.75,"",2025,42763.0,4415.0,2765.0
"4686","JUSTSYSTEMS CORPORATION","20260130",4780.0,1.0,5186.17,1928.26,12.3,1635.39,12914.0,"JPY",1.7,53.5,"",0,13.1,13.9,18.8,19.9,"","Technology Services","Software - Infrastructure","",64.22,"",2025,44551.0,5350.0,2911.0
"4687","TDC SOFT INC","20260130",1223.0,6.0,1937.14,718.06,15.76,441.72,3290.6,"JPY",23.0,56.0,"",0,18.6,16.5,15.9,15.1,"","Technology Services","Software - Infrastructure","",47.27,"",2025,44417.0,1483.0,1008.0
"4689","Yahoo Japan","20260130",396.6,7.0,703.96,230.13,5.38,436.43,161202.5,"JPY",19.4,83.4,"",0,5.4,4.2,1.8,2.3,"","Technology Services","Internet Retail","",6869.82,"",2025,1917478.0,571.5,397.8
"4690","NIPPON PALLET POOL CO","20260130",2000.0,14.0,5787.93,1892.08,4.72,4087.34,304.8,"JPY",-7.0,55.8,"",0,4.3,9.8,15.5,9.2,"","Finance","Packaging & Containers","",1.58,"",2025,6935.0,2150.0,1401.0
"4694","BML INC","20260130",3910.0,4.0,5392.32,1762.76,5.21,3452.53,6736.8,"JPY",95.0,12.6,"",0,5.2,5.0,13.4,39.0,"","Health Services","Diagnostics & Research","",37.48,"",2025,143191.0,3940.0,2663.0
"4704","趨勢科技","20260130",6050.0,2.0,7283.53,2381.0,26.8,905.85,32013.6,"JPY",-27.4,90.0,"",0,14.6,5.6,10.0,15.5,"","Technology Services","Software - Infrastructure","",131.86,"",2024,272638.0,11410.0,6250.0
"4705","CLIP CORPORATION","20260130",873.0,"","","",-0.26,1333.06,-12.3,"JPY",123.5,71.4,"",0,0.0,0.0,2.2,4.1,"","Consumer Services","Education & Training Services","",3.6,"",2025,3038.0,885.0,751.0
"4707","Kitac Corporation","20260130",342.0,3.0,441.96,144.48,2.34,630.54,82.5,"JPY",33.8,41.2,"",0,2.4,9.3,6.1,3.5,0.9,"Commercial Services","Engineering & Construction","",5.6,"",2025,3467.0,398.0,275.0
"4709","ID HOLDINGS CORPORATION","20260130",1997.0,9.0,3955.84,1451.24,16.75,801.95,2269.9,"JPY",42.0,53.1,"",0,20.2,16.7,16.8,11.0,"","Technology Services","Information Technology Services","",16.9,"",2025,36274.0,2549.0,1501.0
"4712","KEYHOLDER INC","20260130",722.0,6.0,1120.62,366.33,3.21,1165.36,703.0,"JPY",512.8,10.1,10.0,0,4.1,12.1,10.0,3.8,"","Consumer Services","Entertainment","",18.82,"",2024,31090.0,842.0,634.0
