"Symbol","COMPANY","收盤日","收盤價","預期報酬率","貴價","淑價","預期ROE","NAV","預期常利","財報幣別","盈再率","預期配息率","股息","股子","ROE1","ROE2","ROE3","ROE4","ROE5","SECTOR","交易所","Shares","財報","最近營收年度","營收","近12月最高價","近12月最低價"
"6112","邁達特數位股份有限公司","20260123.0",48.0,-9.0,22.1,7.2,3.4,21.62,138.7,"NTD",54.3,80.3948,0.6,0,1.0,13.7,8.3,10.8,12.4,"資訊服務業","TWSE",188.4,"2025/09",2024,18377,77.7,35.6
"6113","亞矽科技股份有限公司","20260123.0",21.95,"","","",-1.87,11.04,-10.9,"NTD",97.2,1.39,0.5,0,-3.0,0.0,13.4,7.6,-4.6,"電子通路業","OTC",52.5,"2025/09",2024,713,31.9,15.9
"6114","久威國際股份有限公司","20260123.0",34.0,7.0,57.5,18.8,6.05,31.68,84.2,"NTD",-72.8,59.9773,0.5,0,12.6,-2.7,9.0,0.5,1.4,"電子零組件業","OTC",43.9,"2025/09",2024,916,55.3,27.15
"6115","鎰勝工業股份有限公司","20260123.0",47.4,9.0,93.6,30.6,10.87,28.7,585.8,"NTD",-1.3,104.4058,3.2,0,12.4,9.6,15.9,10.3,9.6,"電子零組件業","TWSE",187.7,"2025/09",2024,7364,54.8,45.65
"6116","瀚宇彩晶股份有限公司","20260123.0",9.03,"","","",-14.45,11.91,-4922.9,"NTD","",0.0,"",0,-14.2,-10.0,-5.1,17.6,7.2,"光電業","TWSE",2858.7,"2025/09",2024,9964,11.65,5.8
"6117","迎廣科技股份有限公司","20260123.0",78.5,3.0,96.2,31.5,15.97,20.08,296.8,"NTD",92.2,3.915,2.17,0,29.1,7.3,4.9,-8.3,-7.1,"電腦及週邊設備業","TWSE",92.5,"2025/09",2024,2883,121.5,63.1
"6118","建達國際股份有限公司","20260123.0",19.4,-6.0,12.2,4.0,3.34,12.13,36.9,"NTD",-10.2,50.0,"",0,3.1,1.2,2.7,4.7,2.6,"電子通路業","OTC",90.9,"2025/09",2024,9064,27.65,13.8
"6120","達運精密工業股份有限公司","20260123.0",13.35,"","","",-2.45,16.05,-235.3,"NTD","",0.0,0.25,0,-2.2,-0.5,-13.1,-14.9,-12.1,"光電業","TWSE",599.0,"2025/09",2024,20873,15.8889,10.05
"6121","新普科技股份有限公司","20260123.0",354.0,12.0,879.7,287.6,14.76,198.71,5425.0,"NTD",0.6,85.5736,20.5,0,15.4,16.9,21.7,24.0,21.2,"電腦及週邊設備業","OTC",185.0,"2025/09",2024,80031,416.5,288.0
"6122","擎邦國際科技工程股份有限公司","20260123.0",56.8,13.0,136.3,50.7,18.76,23.36,342.4,"NTD",35.8,61.003,3.27,0,21.2,30.3,10.4,4.3,1.1,"電機機械","OTC",78.1,"2025/09",2024,4132,59.6,37.05
"6123","上奇科技股份有限公司","20260123.0",45.4,11.0,103.0,33.7,13.54,25.36,213.3,"NTD",5.4,98.0522,4.05,0,16.0,16.9,29.3,26.8,21.2,"資訊服務業","OTC",62.1,"2025/09",2024,5538,63.5,44.85
"6124","業強科技股份有限公司","20260123.0",28.8,"","","",-6.52,18.02,-214.4,"NTD","",0.0,"",0,-7.2,-3.5,1.7,5.6,8.9,"電子零組件業","OTC",182.5,"2025/09",2024,1795,38.4,20.8
"6125","廣運機械工程股份有限公司","20260123.0",68.5,"","","",-7.13,17.56,-324.6,"NTD","",0.0,0.7,0,-11.6,-4.0,0.5,-10.9,-4.6,"光電業","OTC",259.0,"2025/09",2024,2697,94.0,49.95
"6126","信音企業股份有限公司","20260123.0",36.6,-2.0,31.3,10.2,3.74,27.88,133.5,"NTD",135.3,59.1466,0.76,0,4.2,10.0,13.8,15.7,17.6,"電子零組件業","OTC",127.8,"2025/09",2024,3631,37.85,18.65
"6127","九豪精密陶瓷股份有限公司","20260123.0",36.2,"","","",-18.49,10.49,-209.7,"NTD","",0.0,"",0,-13.0,-48.6,-16.4,1.0,-9.3,"電子零組件業","OTC",108.1,"2025/09",2024,1004,43.7,14.6
"6128","上福全球科技股份有限公司","20260123.0",23.2,"","","",-3.98,34.26,-174.0,"NTD",448.4,58.2138,2.5,0,8.3,11.3,13.2,7.8,0.5,"電腦及週邊設備業","TWSE",127.6,"2025/09",2024,5510,37.95,21.25
"6129","普誠科技股份有限公司","20260123.0",17.25,"","","",-10.33,10.32,-193.0,"NTD","",41.6968,"",0,-12.8,0.4,7.7,5.0,-4.8,"半導體業","OTC",180.9,"2025/09",2024,1147,18.7,9.6
"6130","上亞科技股份有限公司","20260123.0",43.5,"","","",-8.14,14.1,-50.9,"NTD","",0.0,"",0,-5.3,-10.6,-3.4,12.4,-9.0,"生技醫療業","OTC",44.3,"2025/09",2024,195,48.3,21.1
"6131","鈞泰國際股份有限公司","","","","","",-26.86,4.58,-41.9,"NTD","",0.0,"",0,-35.9,-33.3,-70.1,-7.9,-10.0,"光電業","TWSE",34.0,"2021/03",2020,19,"",""
"6133","金橋科技股份有限公司","20260123.0",23.2,-5.0,15.8,5.2,4.97,10.57,61.5,"NTD",4.7,47.655,0.3,0,6.1,0.0,7.1,-4.3,-0.4,"電子零組件業","TWSE",117.0,"2025/09",2024,1199,23.85,12.4
"6134","萬旭電業股份有限公司","20260123.0",31.2,"","","",-2.14,11.57,-20.3,"NTD","",0.0,0.2,0,-2.2,-6.1,-10.2,-8.6,2.0,"電子零組件業","OTC",81.9,"2025/09",2024,1562,35.0,17.05
"6136","富爾特科技股份有限公司","20260123.0",24.0,0.0,24.5,8.0,2.71,30.18,94.4,"NTD",131.0,129.9375,1.15,0,2.5,3.4,2.8,2.2,1.8,"通信網路業","TWSE",115.5,"2025/09",2024,493,29.0,21.2
"6138","茂達電子股份有限公司","20260123.0",243.0,1.0,265.8,104.9,22.48,47.67,807.0,"NTD",5.9,83.1652,8.6,0,22.7,15.8,32.8,40.4,21.6,"半導體業","OTC",75.3,"2025/09",2024,6090,248.5,126.0
"6139","亞翔工程股份有限公司","20260123.0",552.0,0.0,539.7,213.5,28.64,61.99,4178.0,"NTD",6.3,89.3642,13.89,0,38.6,32.4,11.9,3.5,0.4,"其他電子業","TWSE",235.3,"2025/09",2024,65090,640.0,174.5
"6140","訊達電腦股份有限公司","20260123.0",26.0,-22.0,3.6,1.2,1.07,11.05,6.5,"NTD",529.4,0.0,0.0,0,9.4,-0.9,8.4,5.2,12.8,"資訊服務業","OTC",54.9,"2025/09",2024,1854,47.1818,23.0
"6141","柏承科技股份有限公司","20260123.0",11.7,"","","",-63.46,9.99,-719.0,"NTD","",0.0,"",0,-55.3,-21.6,-8.1,11.7,14.3,"電子零組件業","TWSE",113.4,"2025/09",2024,2289,17.35,8.24
"6142","友勁科技股份有限公司","20260123.0",10.3,"","","",-5.2,9.17,-157.8,"NTD","",0.0,"",0,-6.3,-3.2,0.7,-40.2,-22.9,"通信網路業","TWSE",330.8,"2025/09",2024,1184,12.2,7.41
"6143","振曜科技股份有限公司","20260123.0",111.0,3.0,138.6,55.7,16.15,36.48,507.2,"NTD",10.9,86.05,7.0,0,22.3,12.7,15.3,12.4,9.3,"通信網路業","OTC",86.1,"2025/09",2024,7410,154.5,94.5
"6144","得利影視股份有限公司","20260123.0",18.3,"","","",-7.32,8.19,-23.0,"NTD","",0.0,"",0,-6.8,-5.7,-2.0,-10.9,-1.6,"文化創意業","OTC",38.3,"2025/09",2024,186,37.1,18.15
"6145","勁永","","","","","",-58.69,7.49,-1431.0,"NTD","",0.0,"",0,-21.4,-0.2,2.9,2.7,-0.2,"","",325.5,"2018/06",2017,0,"",""
"6146","耕興股份有限公司","20260123.0",172.5,7.0,280.4,112.2,21.52,55.64,1220.1,"NTD",-7.5,86.768,10.1,0,24.0,29.1,35.1,27.8,20.2,"其他電子業","OTC",101.9,"2025/09",2024,4555,215.5,153.0
"6147","頎邦科技股份有限公司","20260123.0",57.9,11.0,129.0,42.2,6.79,63.29,3202.5,"NTD",-18.5,86.8981,3.75,0,6.7,9.1,14.8,18.8,12.0,"半導體業","OTC",744.6,"2025/09",2024,20338,67.4,50.6
