代號,名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1414,東和,114,Q3,114/11/13,,358862.0,314542.0,0.12
1416,廣豐,114,Q2,114/11/13,,162821.0,108767.0,0.25
1416,廣豐,114,Q1,114/11/13,,82193.0,54903.0,0.12
1416,廣豐,114,Q3,114/11/13,,249114.0,165987.0,0.65
1417,嘉裕,114,Q2,114/11/13,,139839.0,63340.0,0.01
1417,嘉裕,114,Q1,114/11/13,,55141.0,20862.0,0.06
1417,嘉裕,114,Q3,114/11/13,,237471.0,112868.0,0.18
1418,東華,114,Q2,114/11/13,,3549.0,3103.0,1.52
1418,東華,114,Q1,114/11/13,,2840.0,2509.0,0.69
1418,東華,114,Q3,114/11/13,,3602.0,3103.0,2.24
1419,新紡,114,Q1,114/11/13,,1063760.0,770801.0,0.33
1419,新紡,114,Q2,114/11/13,,2000540.0,1436911.0,1.42
1423,利華,114,Q2,114/11/13,,42911.0,62584.0,1.36
1423,利華,114,Q1,114/11/13,,28389.0,28633.0,0.74
1423,利華,114,Q3,114/11/13,,67241.0,75945.0,4.06
1432,大魯閣,114,Q2,114/11/13,,675107.0,380416.0,0.18
1432,大魯閣,114,Q1,114/11/13,,342356.0,193238.0,0.05
1434,福懋,114,Q2,114/11/13,,14933348.0,13240684.0,0.09
1434,福懋,114,Q3,114/11/13,,21439086.0,19013289.0,0.29
1434,福懋,114,Q1,114/11/13,,7687773.0,6822299.0,0.11
1435,中福,114,Q2,114/11/13,,2991.0,1056.0,0.19
1435,中福,114,Q3,114/11/13,,4486.0,1584.0,0.26
1435,中福,114,Q1,114/11/13,,1495.0,530.0,0.11
1436,華友聯,114,Q3,114/11/13,,3692164.0,1843601.0,6.01
1436,華友聯,114,Q2,114/11/13,,1653468.0,783909.0,2.65
1436,華友聯,114,Q1,114/11/13,,311132.0,109589.0,0.6
1437,勤益控,114,Q2,114/11/13,,389637.0,186402.0,0.16
1437,勤益控,114,Q1,114/11/13,,191092.0,92968.0,0.34
1438,三地開發,114,Q2,114/11/13,,241.0,174.0,0.63
1438,三地開發,114,Q1,114/11/13,,241.0,174.0,0.37
1439,雋揚,114,Q2,114/11/13,,233260.0,162212.0,1.22
1439,雋揚,114,Q1,114/11/13,,136397.0,93466.0,0.73
1440,南紡,114,Q2,114/11/13,,7892620.0,7303524.0,0.04
1440,南紡,114,Q1,114/11/13,,4192369.0,3919755.0,0.05
1440,南紡,114,Q3,114/11/13,,11143876.0,10332459.0,0.04
1441,大東,114,Q2,114/11/13,,777263.0,692085.0,0.09
1441,大東,114,Q1,114/11/13,,393512.0,355665.0,0.56
1442,名軒,114,Q3,114/11/13,,2694899.0,1377010.0,2.49
1442,名軒,114,Q2,114/11/13,,2137655.0,1085365.0,2.04
1442,名軒,114,Q1,114/11/13,,1376172.0,702325.0,1.3
1443,立益物流,114,Q2,114/11/13,,506664.0,258476.0,0.07
1443,立益物流,114,Q3,114/11/13,,751410.0,384852.0,0.52
1443,立益物流,114,Q1,114/11/13,,255076.0,134848.0,0.55
1444,力麗,114,Q1,114/11/13,,1932171.0,1890712.0,0.03
1444,力麗,114,Q2,114/11/13,,3620653.0,3512432.0,0.34
1444,力麗,114,Q3,114/11/13,,5336567.0,5237171.0,0.68
1445,大宇,114,Q2,114/11/13,,402827.0,345540.0,0.4
1445,大宇,114,Q1,114/11/13,,200423.0,165898.0,0.18
1446,宏和,114,Q2,114/11/13,,766818.0,399599.0,1.46
1446,宏和,114,Q3,114/11/13,,987854.0,525222.0,2.05
1446,宏和,114,Q1,114/11/13,,293912.0,159190.0,0.42
1447,力鵬,114,Q1,114/11/13,,6937551.0,6781288.0,0.02
1447,力鵬,114,Q3,114/11/13,,21160683.0,21067717.0,0.61
1447,力鵬,114,Q2,114/11/13,,14493662.0,14379661.0,0.49
1449,佳和,114,Q2,114/11/13,,1352536.0,1126385.0,0.02
1449,佳和,114,Q1,114/11/13,,649114.0,536369.0,0.18
1451,年興,114,Q2,114/11/13,,3127647.0,2790566.0,0.9
1451,年興,114,Q1,114/11/13,,1350746.0,1182647.0,1.34
1451,年興,114,Q3,114/11/13,,4687148.0,4174111.0,1.45
1452,宏益,114,Q2,114/11/13,,699049.0,674157.0,0.48
1452,宏益,114,Q1,114/11/13,,350094.0,335350.0,0.09
1452,宏益,114,Q3,114/11/13,,1047294.0,1022126.0,0.34
1453,大將,114,Q1,114/11/13,,372.0,153.0,0.12
1453,大將,114,Q2,114/11/13,,745.0,357.0,0.11
1454,台富,114,Q2,114/11/13,,817201.0,776544.0,0.58
1454,台富,114,Q3,114/11/13,,1179294.0,1147145.0,0.7
1454,台富,114,Q1,114/11/13,,404599.0,379033.0,0.07
1455,集盛,114,Q2,114/11/13,,3585324.0,3671052.0,0.61
1455,集盛,114,Q1,114/11/13,,1859817.0,1885821.0,0.22
1455,集盛,114,Q3,114/11/13,,4987231.0,5107441.0,0.66
1456,怡華,114,Q1,114/11/13,,163832.0,99269.0,0.48
1456,怡華,114,Q3,114/11/13,,621617.0,395652.0,0.9
1456,怡華,114,Q2,114/11/13,,460193.0,298409.0,0.56
1457,宜進,114,Q1,114/11/13,,856264.0,766444.0,0.47
1457,宜進,114,Q2,114/11/13,,1666628.0,1484598.0,0.39
1459,聯發,114,Q2,114/11/13,,539889.0,495544.0,0.12
1459,聯發,114,Q1,114/11/13,,282649.0,274677.0,0.71
1459,聯發,114,Q3,114/11/13,,817505.0,718186.0,0.6
1460,宏遠,114,Q1,114/11/13,,2172667.0,1814067.0,0.05
1460,宏遠,114,Q3,114/11/13,,5467849.0,4680454.0,0.27
1460,宏遠,114,Q2,114/11/13,,3702942.0,3145666.0,0.17
1463,強盛新,114,Q1,114/11/13,,638495.0,462035.0,0.5
1463,強盛新,114,Q3,114/11/13,,743017.0,576345.0,0.78
1463,強盛新,114,Q2,114/11/13,,684754.0,514573.0,0.21
1464,得力,114,Q1,114/11/13,,3464414.0,2710788.0,0.3
1464,得力,114,Q2,114/11/13,,6284704.0,4972125.0,0.12
1465,偉全,114,Q1,114/11/13,,83854.0,81762.0,0.34
1465,偉全,114,Q3,114/11/13,,278425.0,287755.0,0.51
1465,偉全,114,Q2,114/11/13,,189995.0,191456.0,0.72
1466,聚隆,114,Q1,114/11/13,,680898.0,595395.0,0.15
1466,聚隆,114,Q2,114/11/13,,1344442.0,1220387.0,0.35
1466,聚隆,114,Q3,114/11/13,,1942707.0,1770648.0,0.61
1467,南緯,114,Q2,114/11/13,,2385936.0,1963045.0,0.8
1467,南緯,114,Q1,114/11/13,,1243199.0,1017088.0,0.02
1468,昶和,114,Q2,114/11/13,,455592.0,421765.0,0.38
1468,昶和,114,Q3,114/11/13,,646259.0,573065.0,0.04
1468,昶和,114,Q1,114/11/13,,246458.0,195931.0,0.26
1470,大統新創,114,Q1,114/11/13,,213942.0,168898.0,0.23
1470,大統新創,114,Q2,114/11/13,,412631.0,316953.0,0.07
1471,首利,114,Q1,114/11/13,,47115.0,45781.0,0.25
1471,首利,114,Q3,114/11/13,,148660.0,135041.0,0.05
1471,首利,114,Q2,114/11/13,,102191.0,92498.0,0.01
1472,三洋實業,114,Q1,114/11/13,,911050.0,766157.0,1.76
1472,三洋實業,114,Q2,114/11/13,,1804199.0,1520971.0,3.48
1473,台南,114,Q2,114/11/13,,3999547.0,3294333.0,0.91
1473,台南,114,Q1,114/11/13,,2496133.0,2024766.0,1.25
1473,台南,114,Q3,114/11/13,,5436551.0,4559657.0,0.77
1474,弘裕,114,Q1,114/11/13,,743410.0,644152.0,0.18
1474,弘裕,114,Q2,114/11/13,,1440980.0,1258300.0,0.14
1475,業旺,114,Q1,114/11/13,,390932.0,285123.0,1.05
1475,業旺,114,Q2,114/11/13,,759375.0,574533.0,0.11
1476,儒鴻,114,Q2,114/11/13,,19092199.0,13768139.0,8.31
1476,儒鴻,114,Q3,114/11/13,,28725625.0,20640448.0,14.33
1476,儒鴻,114,Q1,114/11/13,,9374606.0,6543209.0,6.12
1477,聚陽,114,Q2,114/11/13,,17612957.0,13159846.0,7.65
1477,聚陽,114,Q3,114/11/13,,26501961.0,20056996.0,11.13
1477,聚陽,114,Q1,114/11/13,,9923923.0,7165004.0,5.15
1503,士電,114,Q2,114/11/13,,19154585.0,14703358.0,4.05
1503,士電,114,Q1,114/11/13,,10294698.0,7868760.0,2.35
1504,東元,114,Q1,114/11/13,,13617166.0,10326432.0,0.54
1504,東元,114,Q2,114/11/13,,29221136.0,22266068.0,1.23
1506,正道,114,Q1,114/11/13,,251614.0,207343.0,0.01
1506,正道,114,Q2,114/11/13,,546628.0,450836.0,0.03
1512,瑞利,114,Q1,114/11/13,,288219.0,205293.0,0.0
1512,瑞利,114,Q2,114/11/13,,546196.0,369799.0,0.02
1513,中興電,114,Q1,114/11/13,,6447658.0,4808078.0,1.78
1513,中興電,114,Q3,114/11/13,,20342936.0,15193520.0,5.99
1513,中興電,114,Q2,114/11/13,,13552078.0,10159276.0,3.68
1514,亞力,114,Q3,114/11/13,,7404959.0,6059155.0,2.19
1514,亞力,114,Q2,114/11/13,,4593338.0,3746187.0,1.32
1514,亞力,114,Q1,114/11/13,,2016991.0,1639973.0,0.61
1515,力山,114,Q2,114/11/13,,2207165.0,1910947.0,0.4
1515,力山,114,Q1,114/11/13,,1014493.0,875976.0,0.07
1515,力山,114,Q3,114/11/13,,3618159.0,3166382.0,0.08
1516,川飛,114,Q1,114/11/13,,21864.0,20714.0,0.03
1516,川飛,114,Q3,114/11/13,,55935.0,52558.0,0.1
1516,川飛,114,Q2,114/11/13,,40522.0,38399.0,0.09
1517,利奇,114,Q1,114/11/13,,551748.0,495877.0,0.05
1517,利奇,114,Q3,114/11/13,,1525561.0,1469703.0,0.66
1517,利奇,114,Q2,114/11/13,,1059541.0,987351.0,0.55
1519,華城,114,Q1,114/11/13,,4421261.0,2836288.0,3.0
1519,華城,114,Q3,114/11/13,,16326448.0,9858144.0,8.68
1519,華城,114,Q2,114/11/13,,10494649.0,6457791.0,5.23
1521,大億,114,Q1,114/11/13,,888287.0,724414.0,0.6
1521,大億,114,Q3,114/11/13,,2654236.0,2229659.0,0.34
1521,大億,114,Q2,114/11/13,,1750890.0,1454386.0,0.23
1522,堤維西,114,Q1,114/11/13,,4912745.0,3445635.0,1.39
1522,堤維西,114,Q3,114/11/13,,16139576.0,12042999.0,1.17
1522,堤維西,114,Q2,114/11/13,,9236420.0,6919754.0,0.1
1524,耿鼎,114,Q2,114/11/13,,1287200.0,889184.0,0.82
1524,耿鼎,114,Q3,114/11/13,,1922403.0,1386651.0,1.28
1524,耿鼎,114,Q1,114/11/13,,752356.0,482177.0,0.98
1525,江申,114,Q1,114/11/13,,276927.0,250786.0,0.8
1525,江申,114,Q3,114/11/13,,901418.0,786921.0,2.48
1525,江申,114,Q2,114/11/13,,570609.0,506826.0,1.61
1526,日馳,114,Q3,114/11/13,,611382.0,491093.0,0.04
1526,日馳,114,Q2,114/11/13,,408993.0,304604.0,0.12
1526,日馳,114,Q1,114/11/13,,200582.0,136780.0,0.4
1527,鑽全,114,Q3,114/11/13,,2302441.0,1799771.0,1.04
1527,鑽全,114,Q1,114/11/13,,816060.0,612697.0,0.93
1527,鑽全,114,Q2,114/11/13,,1557257.0,1191818.0,0.25
1528,恩德,114,Q2,114/11/13,,1331076.0,916702.0,0.61
1528,恩德,114,Q3,114/11/13,,2116380.0,1460703.0,0.53
1528,恩德,114,Q1,114/11/13,,562897.0,401953.0,0.05
1529,樂事綠能,114,Q3,114/11/13,,680638.0,549396.0,0.97
1529,樂事綠能,114,Q1,114/11/13,,266543.0,223015.0,0.03
1529,樂事綠能,114,Q2,114/11/13,,475526.0,384462.0,0.88
