代號,名稱,年度,季別,出表日期,本期淨利（淨損）,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1268,漢來美食,111,Q3,114/10/29,42445.0,42445.0,2613834.0,1577009.0,1.01
1294,漢田生技,111,Q2,114/10/29,9104.0,10279.0,110071.0,67648.0,0.71
1294,漢田生技,111,Q4,114/10/29,45859.0,47473.0,302518.0,175885.0,3.06
1295,生合,111,Q4,114/10/29,92522.0,92522.0,739327.0,378001.0,3.02
1301,台塑,111,Q1,114/10/29,16574021.0,16574021.0,71003763.0,53461467.0,2.6
1301,台塑,111,Q4,114/10/29,36142868.0,36142868.0,251647354.0,209088610.0,5.68
1301,台塑,111,Q2,114/10/29,37775749.0,37775749.0,144928136.0,107968117.0,5.93
1301,台塑,111,Q3,114/10/29,43536106.0,43536106.0,200581272.0,159323671.0,6.84
1303,南亞,111,Q2,114/10/29,32179339.0,29395253.0,196824158.0,161362592.0,3.71
1303,南亞,111,Q4,114/10/29,38484719.0,32108977.0,355183300.0,301276564.0,4.05
1303,南亞,111,Q1,114/10/29,16274049.0,15042909.0,102092039.0,82524774.0,1.9
1303,南亞,111,Q3,114/10/29,37387447.0,32770161.0,279412580.0,235490739.0,4.13
1304,台聚,111,Q1,114/10/29,730376.0,534759.0,17097921.0,13968597.0,0.5
1304,台聚,111,Q4,114/10/29,-61189.0,1555097.0,66437122.0,55496976.0,1.45
1304,台聚,111,Q2,114/10/29,747097.0,888771.0,34949523.0,28790293.0,0.83
1304,台聚,111,Q3,114/10/29,2280.0,1063023.0,51288048.0,43166321.0,0.99
1305,華夏,111,Q2,114/10/29,412248.0,362987.0,10146763.0,9146530.0,0.62
1305,華夏,111,Q4,114/10/29,-337717.0,-370247.0,17637479.0,16959318.0,-0.64
1305,華夏,111,Q3,114/10/29,-300224.0,-317894.0,14130620.0,13714174.0,-0.55
1305,華夏,111,Q1,114/10/29,499029.0,450834.0,5307072.0,4556167.0,0.78
1307,三芳,111,Q2,114/10/29,269460.0,269460.0,5318930.0,4530817.0,0.68
1307,三芳,111,Q4,114/10/29,470114.0,470114.0,10763499.0,9029397.0,1.18
1307,三芳,111,Q3,114/10/29,452490.0,452490.0,8382900.0,7122856.0,1.14
1307,三芳,111,Q1,114/10/29,109343.0,109343.0,2617268.0,2258215.0,0.27
1308,亞聚,111,Q3,114/10/29,1145445.0,1145445.0,7311466.0,4897247.0,1.93
1308,亞聚,111,Q1,114/10/29,230820.0,230820.0,2141616.0,1584910.0,0.39
1308,亞聚,111,Q2,114/10/29,693052.0,693052.0,4489795.0,3116331.0,1.17
1308,亞聚,111,Q4,114/10/29,1447369.0,1447369.0,9815332.0,6582460.0,2.44
1309,台達化,111,Q2,114/10/29,418428.0,418428.0,9551324.0,8389112.0,1.11
1309,台達化,111,Q1,114/10/29,258890.0,258890.0,4535929.0,3925844.0,0.68
1309,台達化,111,Q4,114/10/29,412078.0,412078.0,18083799.0,16323674.0,1.04
1309,台達化,111,Q3,114/10/29,454612.0,454612.0,14239420.0,12718118.0,1.14
1310,台苯,111,Q1,114/10/29,135720.0,95086.0,3535614.0,3435816.0,0.18
1310,台苯,111,Q2,114/10/29,-13791.0,-51849.0,7357692.0,7354393.0,-0.1
1310,台苯,111,Q4,114/10/29,-332128.0,-373905.0,12853960.0,13180825.0,-0.71
1310,台苯,111,Q3,114/10/29,-189225.0,-227866.0,10398523.0,10591873.0,-0.43
1312,國喬,111,Q2,114/10/29,422330.0,416800.0,10037674.0,9072721.0,0.45
1312,國喬,111,Q4,114/10/29,-454388.0,-493812.0,18176626.0,17305359.0,-0.56
1312,國喬,111,Q3,114/10/29,-117433.0,-207133.0,14235914.0,13437147.0,-0.24
1312,國喬,111,Q1,114/10/29,623661.0,588463.0,4537106.0,3949300.0,0.65
1313,聯成,111,Q2,114/10/29,28217.0,28217.0,39842634.0,39231817.0,0.02
1313,聯成,111,Q3,114/10/29,-822822.0,-822822.0,56280900.0,56102852.0,-0.63
1313,聯成,111,Q4,114/10/29,-1236224.0,-1236224.0,72819643.0,72475633.0,-0.94
1313,聯成,111,Q1,114/10/29,966809.0,966809.0,19195468.0,17830497.0,0.74
1314,中石化,111,Q4,114/10/29,205397.0,233114.0,25027795.0,26261243.0,0.06
1314,中石化,111,Q2,114/10/29,-795243.0,-786559.0,15521372.0,15245102.0,-0.21
1314,中石化,111,Q3,114/10/29,823474.0,843337.0,21143837.0,21573479.0,0.22
1314,中石化,111,Q1,114/10/29,-332588.0,-331340.0,7382270.0,7343526.0,-0.09
1315,達新,111,Q1,114/10/29,81116.0,80473.0,613677.0,509296.0,0.84
1315,達新,111,Q3,114/10/29,699438.0,696391.0,2054077.0,1677745.0,7.29
1315,達新,111,Q2,114/10/29,192340.0,191070.0,1304701.0,1080684.0,2.0
1315,達新,111,Q4,114/10/29,711224.0,708174.0,2669360.0,2164045.0,7.41
1316,上曜,111,Q1,114/10/29,35585.0,-6159.0,350850.0,272303.0,-0.03
1316,上曜,111,Q3,114/10/29,78444.0,159602.0,1955847.0,1459215.0,0.8
1316,上曜,111,Q2,114/10/29,-11851.0,60658.0,1174969.0,902346.0,0.28
1316,上曜,111,Q4,114/10/29,56086.0,140078.0,2331605.0,1744172.0,0.7
1319,東陽,111,Q2,114/10/29,1018382.0,1108458.0,10443132.0,8192281.0,1.87
1319,東陽,111,Q1,114/10/29,300467.0,301339.0,5024238.0,4031741.0,0.51
1319,東陽,111,Q3,114/10/29,1700605.0,1807726.0,15970078.0,12358940.0,3.06
1319,東陽,111,Q4,114/10/29,2036720.0,2151321.0,21282606.0,16254532.0,3.64
1321,大洋,111,Q4,114/10/29,-42657.0,-42657.0,6506136.0,6135998.0,-0.19
1321,大洋,111,Q2,114/10/29,-10906.0,-10906.0,3722699.0,3446154.0,-0.05
1321,大洋,111,Q3,114/10/29,74627.0,74627.0,5187808.0,4861352.0,0.34
1321,大洋,111,Q1,114/10/29,-14475.0,-14475.0,1772509.0,1671836.0,-0.07
1323,永裕,111,Q4,114/10/29,291110.0,186544.0,3752381.0,2948299.0,2.05
1323,永裕,111,Q2,114/10/29,133825.0,77199.0,1888876.0,1481209.0,0.85
1323,永裕,111,Q1,114/10/29,85664.0,58109.0,992715.0,774119.0,0.64
1323,永裕,111,Q3,114/10/29,211224.0,126849.0,2853388.0,2220857.0,1.4
1324,地球,111,Q3,114/10/29,-4625.0,-4625.0,739070.0,632374.0,-0.06
1324,地球,111,Q1,114/10/29,-2312.0,-2312.0,256030.0,217358.0,-0.03
1324,地球,111,Q2,114/10/29,-3653.0,-3653.0,516708.0,440735.0,-0.05
1324,地球,111,Q4,114/10/29,4803.0,4803.0,983017.0,829229.0,0.06
1325,恆大,111,Q1,114/10/29,2278.0,3485.0,149980.0,139172.0,0.04
1325,恆大,111,Q4,114/10/29,13526.0,16580.0,553968.0,510294.0,0.19
1325,恆大,111,Q3,114/10/29,27857.0,29579.0,437525.0,411865.0,0.35
1325,恆大,111,Q2,114/10/29,5197.0,5653.0,300505.0,281849.0,0.07
1326,台化,111,Q4,114/10/29,9203861.0,7359531.0,379896563.0,367154202.0,1.26
1326,台化,111,Q3,114/10/29,17108868.0,14864265.0,293928768.0,279958887.0,2.54
1326,台化,111,Q1,114/10/29,6972214.0,6060785.0,95399038.0,86211844.0,1.04
1326,台化,111,Q2,114/10/29,14830407.0,12369719.0,203190223.0,187331749.0,2.11
1336,台翰,111,Q2,114/10/29,70823.0,70823.0,1150500.0,958588.0,0.92
1336,台翰,111,Q4,114/10/29,157807.0,157807.0,2669152.0,2199441.0,2.05
1336,台翰,111,Q1,114/10/29,26474.0,26474.0,525337.0,442528.0,0.34
1336,台翰,111,Q3,114/10/29,142514.0,142514.0,1911873.0,1563510.0,1.85
1337,再生-KY,111,Q2,114/10/29,-217047.0,-217047.0,291227.0,405998.0,-0.81
1337,再生-KY,111,Q1,114/10/29,-97829.0,-97829.0,141378.0,190949.0,-0.36
1337,再生-KY,111,Q4,114/10/29,-476892.0,-476892.0,643603.0,870422.0,-1.77
1337,再生-KY,111,Q3,114/10/29,-360018.0,-360018.0,468889.0,644033.0,-1.34
1338,廣華-KY,111,Q2,114/10/29,110925.0,110609.0,3719578.0,2950630.0,1.32
1338,廣華-KY,111,Q1,114/10/29,136398.0,135942.0,2093634.0,1634486.0,1.62
1338,廣華-KY,111,Q3,114/10/29,163567.0,163023.0,5681375.0,4497753.0,1.94
1338,廣華-KY,111,Q4,114/10/29,130693.0,136329.0,7344840.0,5849352.0,1.63
1339,昭輝,111,Q1,114/10/29,109871.0,113915.0,511585.0,400223.0,1.54
1339,昭輝,111,Q2,114/10/29,248937.0,254915.0,1005225.0,755152.0,3.44
1339,昭輝,111,Q3,114/10/29,415927.0,423611.0,1518686.0,1132670.0,5.71
1339,昭輝,111,Q4,114/10/29,400993.0,408560.0,2020758.0,1490296.0,5.51
1340,勝悅-KY,111,Q3,114/10/29,-317972.0,-317972.0,360023.0,561639.0,-2.08
1340,勝悅-KY,111,Q1,114/10/29,-96330.0,-96330.0,124914.0,200347.0,-0.63
1340,勝悅-KY,111,Q2,114/10/29,-200883.0,-200883.0,240164.0,385818.0,-1.31
1340,勝悅-KY,111,Q4,114/10/29,-429878.0,-429878.0,499230.0,752284.0,-2.81
1341,富林-KY,111,Q2,114/10/29,158164.0,158164.0,1626012.0,1320635.0,3.14
1341,富林-KY,111,Q4,114/10/29,300199.0,300199.0,3045728.0,2442310.0,5.95
1341,富林-KY,111,Q1,114/10/29,74966.0,74966.0,778217.0,638313.0,1.49
1341,富林-KY,111,Q3,114/10/29,228965.0,228965.0,2317011.0,1886314.0,4.54
1342,八貫,111,Q1,114/10/29,103274.0,,616114.0,461403.0,1.52
1342,八貫,111,Q2,114/10/29,229043.0,,1235380.0,906173.0,3.38
1342,八貫,111,Q3,114/10/29,359099.0,,1880635.0,1351999.0,5.29
1342,八貫,111,Q4,114/10/29,499514.0,,2589138.0,1838268.0,7.34
1402,遠東新,111,Q1,114/10/29,4067499.0,2753391.0,63384251.0,49940018.0,0.55
1402,遠東新,111,Q4,114/10/29,13341150.0,8160292.0,263944525.0,213924074.0,1.63
1402,遠東新,111,Q3,114/10/29,12171197.0,8130963.0,199875811.0,160100131.0,1.63
1402,遠東新,111,Q2,114/10/29,8633178.0,5833291.0,132680556.0,104553725.0,1.17
1409,新纖,111,Q2,114/10/29,2186981.0,1694806.0,,,1.05
1409,新纖,111,Q3,114/10/29,3522476.0,2802191.0,,,1.74
