代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
4530,宏易,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
4532,瑞智,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,1.2,605898126.0,0.0,0.0
4532,瑞智,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,1.2,605898126.0,0.0,0.0
4532,瑞智,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,1.2,605898126.0,0.0,0.0
4532,瑞智,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,1.2,605898126.0,0.0,0.0
4533,協易機,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,0.27,71295350.0,0.0,0.0
4533,協易機,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,0.27,71295350.0,0.0,0.0
4533,協易機,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,0.27,71295350.0,0.0,0.0
4533,協易機,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,0.27,71295350.0,0.0,0.0
4534,慶騰,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
4534,慶騰,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
4534,慶騰,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
4534,慶騰,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
4535,至興,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.15,87011001.0,0.0,0.0
4535,至興,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.15,87011001.0,0.0,0.0
4535,至興,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.15,87011001.0,0.0,0.0
4535,至興,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.15,87011001.0,0.0,0.0
4536,拓凱,107,Y1,108/05/28,107/01/01~107/12/31,股東會確認,5.5,499510000.0,0.0,0.0
4536,拓凱,107,Y1,108/05/28,107/01/01~107/12/31,股東會確認,5.5,499510000.0,0.0,0.0
4536,拓凱,107,Y1,108/05/28,107/01/01~107/12/31,股東會確認,5.5,499510000.0,0.0,0.0
4536,拓凱,107,Y1,108/05/28,107/01/01~107/12/31,股東會確認,5.5,499510000.0,0.0,0.0
4538,大詠城,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,1.2,57120000.0,0.0,0.0
4538,大詠城,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,1.2,57120000.0,0.0,0.0
4538,大詠城,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,1.2,57120000.0,0.0,0.0
4538,大詠城,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,1.2,57120000.0,0.0,0.0
4540,全球傳動,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,3.6,348040800.0,0.0,0.0
4540,全球傳動,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,3.6,348040800.0,0.0,0.0
4540,全球傳動,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,3.6,348040800.0,0.0,0.0
4540,全球傳動,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,3.6,348040800.0,0.0,0.0
4541,晟田,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.1,76057769.0,0.0,0.0
4541,晟田,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.1,76057769.0,0.0,0.0
4541,晟田,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.1,76057769.0,0.0,0.0
4541,晟田,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.1,76057769.0,0.0,0.0
4542,科嶠,107,Y1,108/06/05,107/01/01~107/12/31,股東會確認,1.2,33601680.0,0.0,0.0
4542,科嶠,107,Y1,108/06/05,107/01/01~107/12/31,股東會確認,1.2,33601680.0,0.0,0.0
4542,科嶠,107,Y1,108/06/05,107/01/01~107/12/31,股東會確認,1.2,33601680.0,0.0,0.0
4542,科嶠,107,Y1,108/06/05,107/01/01~107/12/31,股東會確認,1.2,33601680.0,0.0,0.0
4543,萬在,107,Y1,108/05/27,107/01/01~107/12/31,董事會擬議,1.0,56890000.0,0.0,0.0
4543,萬在,107,Y1,108/05/27,107/01/01~107/12/31,董事會擬議,1.0,56890000.0,0.0,0.0
4543,萬在,107,Y1,108/05/27,107/01/01~107/12/31,董事會擬議,1.0,56890000.0,0.0,0.0
4543,萬在,107,Y1,108/05/27,107/01/01~107/12/31,董事會擬議,1.0,56890000.0,0.0,0.0
4545,銘鈺,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,0.0,26950000.0,0.0,0.0
4545,銘鈺,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,0.0,26950000.0,0.0,0.0
4545,銘鈺,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,0.0,26950000.0,0.0,0.0
4545,銘鈺,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,0.0,26950000.0,0.0,0.0
4549,桓達,107,Y1,108/06/10,107/01/01~107/12/31,股東會確認,4.0,159556896.0,0.5,1994461.0
4549,桓達,107,Y1,108/06/10,107/01/01~107/12/31,股東會確認,4.0,159556896.0,0.5,1994461.0
4549,桓達,107,Y1,108/06/10,107/01/01~107/12/31,股東會確認,4.0,159556896.0,0.5,1994461.0
4549,桓達,107,Y1,108/06/10,107/01/01~107/12/31,股東會確認,4.0,159556896.0,0.5,1994461.0
4550,長佳,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,1.25,46371058.0,0.0,0.0
4550,長佳,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,1.25,46371058.0,0.0,0.0
4550,長佳,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,1.25,46371058.0,0.0,0.0
4550,長佳,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,1.25,46371058.0,0.0,0.0
4551,智伸科,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,3.1,253995400.0,0.0,0.0
4551,智伸科,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,3.1,253995400.0,0.0,0.0
4551,智伸科,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,3.1,253995400.0,0.0,0.0
4551,智伸科,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,3.1,253995400.0,0.0,0.0
4552,力達-KY,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.3,230000000.0,1.6,16000000.0
4552,力達-KY,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.3,230000000.0,1.6,16000000.0
4552,力達-KY,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.3,230000000.0,1.6,16000000.0
4552,力達-KY,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.3,230000000.0,1.6,16000000.0
4554,橙的,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
4554,橙的,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
4554,橙的,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
4554,橙的,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
