代號,名稱,年度,季別,權益總計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
2948,寶陞,115,Q1,1065909.0,,,1987646.0,2464879.0,1034677.0,364293.0,,34.38
2949,欣新網,115,Q1,1186118.0,,,2571704.0,2882341.0,1477420.0,218803.0,134023.0,34.91
3064,泰偉,115,Q1,61036.0,,,56881.0,312240.0,81205.0,169999.0,4187.0,4.37
3066,李洲,115,Q1,1220978.0,,,755176.0,1837232.0,519021.0,97233.0,73826.0,13.81
3067,全域,115,Q1,247883.0,,,76735.0,312572.0,13787.0,50902.0,,12.39
3071,協禧,115,Q1,2013067.0,,,2799967.0,3994697.0,1677767.0,303863.0,442824.0,14.27
3073,天方能源,115,Q1,682771.0,,,411657.0,2319768.0,437556.0,1199441.0,920.0,17.26
3078,僑威,115,Q1,6727345.0,,,8567875.0,10748620.0,3392223.0,629052.0,,29.58
3081,聯亞,115,Q1,4239556.0,,,3182499.0,5678137.0,1100813.0,337768.0,,45.82
3083,網龍,115,Q1,1335237.0,,,747304.0,1444030.0,94424.0,14369.0,32857.0,15.06
3085,新零售,115,Q1,393550.0,,,358514.0,508700.0,106154.0,8996.0,,5.7
3086,華義*,115,Q1,320195.0,,,234475.0,348821.0,26940.0,1686.0,6082.0,1.15
3088,艾訊,115,Q1,5191325.0,,,5302422.0,8012023.0,2370327.0,450371.0,60536.0,47.22
3093,港建*,115,Q1,953647.0,,,1250173.0,1655171.0,693646.0,7878.0,0.0,6.57
3095,及成,115,Q1,193821.0,,,410810.0,989753.0,216596.0,579336.0,,11.98
3105,穩懋,115,Q1,41291462.0,,,14458348.0,60565341.0,6475261.0,12798618.0,371855.0,96.52
3114,好德,115,Q1,1624528.0,,,2245407.0,2650692.0,998281.0,27883.0,,25.21
3115,富榮綱,115,Q1,538569.0,,,563218.0,578005.0,30075.0,9361.0,,7.46
3118,進階,115,Q1,597469.0,,,474591.0,834410.0,225458.0,11483.0,,18.41
3122,笙泉,115,Q1,350840.0,,,418178.0,612369.0,260245.0,1284.0,,8.61
3128,昇銳,115,Q1,821764.0,,,576664.0,1799594.0,566732.0,411098.0,21394.0,16.91
3131,弘塑,115,Q1,3975297.0,,,11128269.0,14359444.0,7546406.0,2837741.0,29054.0,137.22
3141,晶宏,115,Q1,2743534.0,,,1824127.0,3985217.0,1145244.0,96439.0,80576.0,35.8
3147,大綜,115,Q1,1602243.0,,,4074071.0,4728434.0,3102575.0,23616.0,,36.68
3152,璟德,115,Q1,4127471.0,,,2801063.0,4604381.0,463523.0,13387.0,,59.8
3158,嘉實,115,Q1,1084007.0,,,928994.0,1483325.0,332057.0,67261.0,14.0,35.57
3162,精確,115,Q1,4160536.0,,,5713336.0,10978392.0,5941452.0,876404.0,48180.0,26.66
3163,波若威,115,Q1,3192940.0,,,3569395.0,4297526.0,945982.0,158604.0,,39.64
3169,亞信,115,Q1,1909954.0,,,1958183.0,2108818.0,189169.0,9695.0,,30.27
3171,炎洲流通,115,Q1,701521.0,,,1202732.0,1633606.0,892083.0,40002.0,110071.0,18.71
3176,基亞,115,Q1,4717847.0,,,3878090.0,6947402.0,716374.0,1513181.0,3223333.0,10.73
3178,公準,115,Q1,1196536.0,,,941574.0,2681037.0,556602.0,927899.0,6782.0,26.41
3188,鑫龍騰,115,Q1,3131659.0,,,10459987.0,10478521.0,5752924.0,1593938.0,,16.6
3191,雲嘉南,115,Q1,240731.0,,,208039.0,373514.0,35960.0,96823.0,,5.52
3205,佰研,115,Q1,1013833.0,,,855734.0,1087465.0,72712.0,920.0,2425.0,14.97
3206,志豐,115,Q1,1762715.0,,,2553826.0,3039501.0,1145746.0,131040.0,165121.0,27.12
3207,耀勝,115,Q1,3742610.0,,,2645425.0,6837169.0,2844790.0,249769.0,2004497.0,26.18
3211,順達,115,Q1,8697680.0,,,12710109.0,18482712.0,8983680.0,801352.0,0.0,56.37
3213,茂訊,115,Q1,4029211.0,,,4274179.0,5218851.0,1019460.0,170180.0,37501.0,68.02
3217,優群,115,Q1,5200602.0,,,4320737.0,6680065.0,1397414.0,82049.0,,57.72
3218,大學光,115,Q1,3784421.0,,,3303289.0,6544451.0,1733780.0,1026250.0,130076.0,43.13
3219,倚強科,115,Q1,1775891.0,,,2097119.0,2940540.0,955167.0,209482.0,327540.0,20.18
3221,台嘉碩,115,Q1,2155551.0,,,1805131.0,3051075.0,693853.0,201671.0,61585.0,19.93
3224,三顧,115,Q1,2701309.0,,,2015463.0,3687889.0,587462.0,399118.0,1299584.0,17.94
3226,龍鋒,115,Q1,1882721.0,,,1148605.0,2506898.0,588084.0,36093.0,,29.22
3227,原相,115,Q1,11403294.0,,,10106782.0,15897303.0,4050943.0,443066.0,43500.0,75.48
3228,金麗科,115,Q1,637341.0,,,280401.0,727890.0,86177.0,4372.0,,8.91
3230,錦明,115,Q1,935265.0,,,697008.0,1289899.0,265421.0,89213.0,0.0,10.99
3232,昱捷,115,Q1,676774.0,,,870874.0,1179460.0,383234.0,119452.0,,14.53
3234,光環,115,Q1,728270.0,,,700349.0,1264227.0,334439.0,201518.0,16285.0,6.39
3236,千如,115,Q1,1624950.0,,,1416809.0,3122746.0,841169.0,656627.0,,15.48
3252,海灣,115,Q1,2021050.0,,,532463.0,3930020.0,302540.0,1606430.0,52370.0,39.22
3259,鑫創,115,Q1,380361.0,,,388134.0,494511.0,55089.0,59061.0,,5.21
3260,威剛,115,Q1,30584445.0,,,66138060.0,95144738.0,41894415.0,22665878.0,3031271.0,86.85
3264,欣銓,115,Q1,20245057.0,,,9161378.0,35635866.0,7244788.0,8146021.0,,42.72
3265,台星科,115,Q1,6031658.0,,,3972924.0,9691735.0,1981885.0,1678192.0,,44.27
3268,海德威,115,Q1,470774.0,,,552188.0,948220.0,375052.0,102394.0,,13.56
3272,東碩,115,Q1,878558.0,,,2296156.0,4589352.0,1919973.0,1790821.0,,14.67
3276,宇環,115,Q1,912576.0,,,391141.0,1504975.0,478991.0,113408.0,61352.0,12.21
3284,太普高,115,Q1,1789785.0,,,2081219.0,3373126.0,542437.0,1040904.0,197429.0,14.68
3285,微端,115,Q1,613329.0,,,863551.0,1032881.0,388288.0,31264.0,16187.0,13.97
3287,廣寰科,115,Q1,725022.0,,,888006.0,1035199.0,307386.0,2791.0,63543.0,15.04
3288,點晶,115,Q1,106536.0,,,172578.0,205551.0,79113.0,19902.0,-1380.0,6.59
3289,宜特,115,Q1,4791311.0,,,2797912.0,8513724.0,1948816.0,1773597.0,0.0,55.23
3290,東浦,115,Q1,2354913.0,,,3632331.0,6112597.0,1856878.0,1900806.0,,26.1
3293,鈊象,115,Q1,12041710.0,,,23759325.0,29463729.0,17340145.0,81874.0,3601.0,42.72
3294,英濟,115,Q1,2309864.0,,,3433648.0,5083009.0,1536080.0,1237065.0,41245.0,17.18
3297,杭特,115,Q1,578981.0,,,250014.0,717874.0,135914.0,2979.0,0.0,16.06
3303,岱稜,115,Q1,2259793.0,,,2426135.0,4103657.0,1143815.0,700049.0,17901.0,23.83
3306,鼎天,115,Q1,3269708.0,,,942897.0,3660870.0,388739.0,2423.0,,64.61
3310,佳穎,115,Q1,2023905.0,,,5243436.0,6292111.0,4077255.0,190951.0,4577.0,26.94
3313,斐成,115,Q1,2210183.0,,,3276355.0,3631649.0,1040634.0,380832.0,14.0,9.99
3317,尼克森,115,Q1,3314081.0,,,3459886.0,4071776.0,686635.0,71060.0,83881.0,35.89
3322,建舜電,115,Q1,1636447.0,,,1921586.0,3787412.0,1780187.0,370778.0,0.0,11.89
3323,加百裕,115,Q1,2530064.0,,,4365995.0,4998633.0,2355470.0,113099.0,86376.0,24.58
3324,雙鴻,115,Q1,13938883.0,,,24498202.0,33044520.0,12327843.0,6777794.0,516061.0,144.21
3325,旭品,115,Q1,1107074.0,,,1162686.0,1846659.0,653170.0,86415.0,61098.0,9.49
3332,幸康,115,Q1,1928570.0,,,1759694.0,2452928.0,500017.0,24341.0,,40.09
3339,泰谷,115,Q1,655175.0,,,778594.0,1301399.0,552888.0,93336.0,4257.0,10.28
3349,寶德,115,Q1,321471.0,,,302706.0,458763.0,84604.0,52688.0,,6.98
3354,律勝,115,Q1,784113.0,,,341037.0,873258.0,22850.0,66295.0,,11.18
3357,臺慶科,115,Q1,10176239.0,,,6648182.0,15292279.0,3854525.0,1261515.0,257360.0,86.3
3360,尚立,115,Q1,821303.0,,,3958271.0,4436889.0,3399967.0,215619.0,-5944.0,10.83
3362,先進光,115,Q1,3643376.0,,,4018435.0,10618963.0,4294176.0,2681411.0,166.0,25.58
3363,上詮,115,Q1,5734096.0,,,5262406.0,6305288.0,475375.0,95817.0,,50.46
3372,典範,115,Q1,1496713.0,,,781785.0,1825471.0,248528.0,80230.0,,8.54
3373,熱映,115,Q1,792190.0,,,651597.0,865807.0,73142.0,475.0,,16.64
3374,精材,115,Q1,10142029.0,,,7919873.0,17122679.0,2468491.0,4512159.0,,37.37
3379,彬台,115,Q1,626377.0,,,627774.0,1157822.0,523418.0,8027.0,,16.47
3388,崇越電,115,Q1,4700955.0,,,6016030.0,7414618.0,1628382.0,1085281.0,160766.0,61.3
3390,旭軟,115,Q1,1381180.0,,,1111540.0,1902392.0,325807.0,195405.0,0.0,17.41
3402,漢科,115,Q1,1961275.0,,,5257364.0,6640658.0,4492869.0,186514.0,,26.85
3426,台興,115,Q1,781798.0,,,793915.0,1074497.0,182383.0,110316.0,,29.61
3430,奇鈦科,115,Q1,1142354.0,,,1178733.0,1834489.0,434134.0,258001.0,,33.88
3434,哲固,115,Q1,505448.0,,,438036.0,696456.0,114932.0,76076.0,,14.14
3438,類比科,115,Q1,2494754.0,,,1130583.0,2916117.0,180047.0,241316.0,,52.89
3441,聯一光電,115,Q1,847241.0,,,966303.0,1092356.0,183372.0,61743.0,13774.0,20.82
3444,利機,115,Q1,1018057.0,,,983465.0,1444026.0,416235.0,9734.0,,22.63
3455,由田,115,Q1,2311661.0,,,2052190.0,3824481.0,1044264.0,468556.0,,38.62
3465,進泰電子,115,Q1,821488.0,,,1204751.0,2216755.0,888255.0,507012.0,44295.0,22.0
3466,德晉,115,Q1,1432386.0,,,1194444.0,1782766.0,231554.0,118826.0,,18.39
3467,台灣精材,115,Q1,603961.0,,,478414.0,895800.0,198045.0,93794.0,,19.42
3479,安勤,115,Q1,3862175.0,,,5691080.0,8528782.0,3453637.0,1212970.0,624627.0,44.62
3483,力致,115,Q1,4770884.0,,,6747897.0,9462453.0,3951889.0,739680.0,,48.66
3484,崧騰,115,Q1,3427579.0,,,3835244.0,5176699.0,1479504.0,269616.0,36741.0,43.02
3485,敘豐,115,Q1,1382998.0,,,1228813.0,1546579.0,155230.0,8351.0,,40.45
3489,森寶,115,Q1,1202868.0,,,3946824.0,4139335.0,2933173.0,3294.0,,13.3
3490,單井,115,Q1,1352573.0,,,658242.0,2141247.0,422072.0,366602.0,,24.59
3491,昇達科,115,Q1,3484667.0,,,2799806.0,5726499.0,2023846.0,217986.0,38.0,50.64
3492,長盛,115,Q1,670509.0,,,690377.0,967944.0,248562.0,48873.0,,18.87
3498,陽程,115,Q1,2268081.0,,,3822519.0,4691354.0,2240707.0,182566.0,847.0,37.53
3499,環天科,115,Q1,443940.0,,,346452.0,645732.0,186189.0,15603.0,0.0,8.08
3508,位速,115,Q1,407055.0,,,868737.0,2711953.0,1719551.0,585347.0,-84828.0,4.76
3511,矽瑪,115,Q1,1804537.0,,,1156923.0,2473172.0,539276.0,129359.0,506322.0,16.23
3512,皇龍,115,Q1,2502511.0,,,5601572.0,5666881.0,3153009.0,11361.0,,22.13
3516,亞帝歐,115,Q1,1673083.0,,,744973.0,2813712.0,345646.0,794983.0,129809.0,25.91
3520,華盈,115,Q1,800617.0,,,934504.0,1532323.0,451938.0,279768.0,0.0,11.63
3521,台鋼建設,115,Q1,1758405.0,,,1316858.0,1818029.0,39065.0,20559.0,0.0,12.06
3522,御嵿,115,Q1,805585.0,,,766247.0,2486496.0,969224.0,711687.0,4785.0,7.69
3523,迎輝,115,Q1,400534.0,,,113597.0,1792610.0,465602.0,926474.0,3705.0,6.18
3526,凡甲,115,Q1,3589750.0,,,6847752.0,8408396.0,3362014.0,1456632.0,0.0,54.51
3527,聚積,115,Q1,2226817.0,,,2107559.0,2499501.0,264333.0,8351.0,,50.1
3529,力旺,115,Q1,4488790.0,,,4568062.0,5585928.0,1083025.0,14113.0,49803.0,59.43
3531,先益,115,Q1,1889324.0,,,2046848.0,2331332.0,403464.0,38544.0,20641.0,30.55
3537,堡達,115,Q1,1352460.0,,,1717875.0,1964726.0,575217.0,37049.0,0.0,24.05
3540,曜越,115,Q1,1783978.0,,,4963737.0,5818040.0,3143043.0,891019.0,-54527.0,25.37
3541,西柏,115,Q1,721267.0,,,1590621.0,2230864.0,1013357.0,496240.0,,12.94
3546,宇峻,115,Q1,1631681.0,,,1673244.0,2517046.0,533727.0,351638.0,,27.93
3548,兆利,115,Q1,6228554.0,,,7645361.0,11492047.0,3499905.0,1763588.0,,91.94
3551,世禾,115,Q1,5096081.0,,,3159188.0,6314973.0,727852.0,491040.0,,82.55
3552,同致,115,Q1,4509464.0,,,7850047.0,10684560.0,4444263.0,1730833.0,,46.05
3555,博士旺,115,Q1,781064.0,,,814286.0,953086.0,164852.0,7170.0,10069.0,19.28
3556,禾瑞亞,115,Q1,1174805.0,,,1449192.0,1558389.0,362796.0,20788.0,43873.0,17.75
3558,神準,115,Q1,6405225.0,,,7434955.0,12529901.0,5230619.0,894057.0,287143.0,103.59
3564,其陽,115,Q1,1359531.0,,,1845087.0,2817663.0,951322.0,506810.0,,22.99
3567,逸昌,115,Q1,580536.0,,,231776.0,619204.0,30329.0,8339.0,,17.1
3570,大塚,115,Q1,998734.0,,,1602555.0,1793088.0,725278.0,69076.0,,58.42
3577,泓格,115,Q1,1483495.0,,,1027447.0,1841636.0,337497.0,20644.0,,23.19
3580,友威科,115,Q1,1038051.0,,,837792.0,1824360.0,196035.0,590274.0,,26.32
3581,博磊,115,Q1,1088026.0,,,1937877.0,2244184.0,1124644.0,31514.0,182661.0,17.75
3587,閎康,115,Q1,5117065.0,,,5241052.0,9502425.0,2618389.0,1766971.0,0.0,75.81
3594,磐儀,115,Q1,2581697.0,,,3948137.0,5234101.0,2256694.0,395710.0,357002.0,23.32
3597,映興,115,Q1,594505.0,,,654299.0,1570531.0,273656.0,702370.0,,15.24
3609,三一東林,115,Q1,479008.0,,,696495.0,1018959.0,407638.0,132313.0,,12.52
3611,鼎翰,115,Q1,5575132.0,,,6067504.0,12854472.0,3502924.0,3776416.0,5743.0,117.12
3615,安可,115,Q1,2426934.0,,,1090934.0,2996630.0,261209.0,308487.0,221492.0,32.21
3623,富晶通,115,Q1,364738.0,,,404588.0,455337.0,75305.0,15294.0,,12.5
3624,光頡,115,Q1,3590195.0,,,2994472.0,4315394.0,690966.0,34233.0,23513.0,30.4
3625,西勝,115,Q1,565903.0,,,512730.0,1714258.0,691620.0,456735.0,,5.15
3628,盈正,115,Q1,1574884.0,,,2540719.0,3483972.0,1786321.0,122767.0,3422.0,34.92
3629,地心引力,115,Q1,46167.0,,,51384.0,58650.0,10079.0,2404.0,,1.4
3630,新鉅科,115,Q1,2990404.0,,,2523469.0,4351491.0,862043.0,499044.0,,14.65
3631,晟楠,115,Q1,1474548.0,,,817369.0,2504250.0,323495.0,706207.0,266653.0,14.76
3632,研勤,115,Q1,136883.0,,,95835.0,314563.0,85482.0,92198.0,14839.0,2.98
3646,艾恩特,115,Q1,515114.0,,,672029.0,912877.0,346957.0,50806.0,,13.11
3663,鑫科,115,Q1,2635018.0,,,3852948.0,4811272.0,1582809.0,593445.0,514542.0,19.54
3664,安瑞-KY,115,Q1,57254.0,,,500090.0,655432.0,467263.0,130915.0,0.0,0.8
3666,光耀,115,Q1,1717073.0,,,1897064.0,2276897.0,558111.0,1713.0,,12.67
3672,康聯訊,115,Q1,310863.0,,,305921.0,544306.0,187966.0,45477.0,112.0,7.62
3675,德微,115,Q1,2630894.0,,,2012749.0,4795218.0,1276670.0,887654.0,72490.0,48.22
3680,家登,115,Q1,12860802.0,,,10854114.0,26027409.0,5410969.0,7755638.0,1631150.0,116.92
3684,榮昌,115,Q1,758153.0,,,851921.0,1398527.0,284014.0,356360.0,,25.02
3685,元創精密,115,Q1,1222234.0,,,1318189.0,2235999.0,892435.0,121330.0,500605.0,9.07
3687,歐買尬,115,Q1,4014628.0,,,7203507.0,9396217.0,4737084.0,644505.0,2462502.0,51.63
3689,湧德,115,Q1,4831853.0,,,5189776.0,8128327.0,3151636.0,144838.0,119096.0,52.72
3691,碩禾,115,Q1,7090961.0,,,5912852.0,12775423.0,2176629.0,3507833.0,1074689.0,65.48
3693,營邦,115,Q1,5346762.0,,,4951639.0,7864372.0,2005356.0,512254.0,54614.0,123.1
3707,漢磊,115,Q1,9238548.0,,,6454507.0,12985427.0,2138449.0,1608430.0,2042843.0,18.15
3709,鑫聯大投控,115,Q1,4151333.0,,,24985462.0,25473324.0,20941820.0,380171.0,-31642.0,33.31
3710,連展投控,115,Q1,1663729.0,,,4553703.0,8147602.0,5267559.0,1216314.0,473529.0,4.14
3713,新晶投控,115,Q1,696808.0,,,372762.0,2735616.0,557039.0,1481769.0,8683.0,7.81
4102,永日,115,Q1,668819.0,,,361623.0,946297.0,190513.0,86965.0,79778.0,13.9
4105,東洋,115,Q1,7398677.0,,,6186925.0,11675866.0,3621362.0,655827.0,830331.0,26.42
4107,邦特,115,Q1,3379721.0,,,2457437.0,4805862.0,972549.0,453592.0,,48.77
4109,加捷生醫,115,Q1,1701481.0,,,596420.0,1922369.0,146095.0,74793.0,30341.0,14.07
4111,濟生,115,Q1,1434621.0,,,948802.0,1947729.0,419437.0,93671.0,,23.98
4113,聯上,115,Q1,4236335.0,,,14744354.0,15910064.0,10880664.0,793065.0,,18.33
4114,健喬,115,Q1,10072085.0,,,6461547.0,14039570.0,2484813.0,1482672.0,1268675.0,17.61
4116,明基醫,115,Q1,2242576.0,,,3644967.0,5584802.0,2288186.0,1054040.0,1195210.0,23.5
4120,友華,115,Q1,6755555.0,,,4035677.0,11614713.0,2922955.0,1936203.0,1087635.0,65.34
4121,優盛,115,Q1,1932450.0,,,2083347.0,4077830.0,1058089.0,1087291.0,541704.0,17.26
4123,晟德,115,Q1,28343498.0,,,4819129.0,37726993.0,5168207.0,4215288.0,7.0,37.97
4126,太醫,115,Q1,3071907.0,,,1902979.0,3977432.0,476788.0,428737.0,,42.31
4127,天良,115,Q1,503314.0,,,312874.0,1219945.0,716493.0,138.0,,11.0
