stock_code,stock_name,price,market,date,updated_at
00762,元大全球AI,109.4,TSE,2026-07-24,2026-07-25 19:05:03
00763U,期街口道瓊銅,33.71,TSE,2026-07-24,2026-07-25 19:05:03
00770,國泰北美科技,66.2,TSE,2026-07-24,2026-07-25 19:05:03
00771,元大US高息特別股,15.75,TSE,2026-07-24,2026-07-25 19:05:03
00775B,台新投等債15+,0.0,TSE,2026-07-24,2026-07-25 19:05:03
00783,富邦中証500,27.83,TSE,2026-07-24,2026-07-25 19:05:03
00830,國泰費城半導體,88.05,TSE,2026-07-24,2026-07-25 19:05:03
00850,元大臺灣ESG永續,86.7,TSE,2026-07-24,2026-07-25 19:05:03
00851,台新全球AI,70.15,TSE,2026-07-24,2026-07-25 19:05:03
00852L,國泰美國道瓊正2,34.12,TSE,2026-07-24,2026-07-25 19:05:03
00861,元大全球未來通訊,86.85,TSE,2026-07-24,2026-07-25 19:05:03
00865B,國泰US短期公債,49.41,TSE,2026-07-24,2026-07-25 19:05:03
00875,國泰網路資安,49.72,TSE,2026-07-24,2026-07-25 19:05:03
00876,元大全球5G,89.35,TSE,2026-07-24,2026-07-25 19:05:03
00878,國泰永續高股息,32.61,TSE,2026-07-24,2026-07-25 19:05:03
00881,國泰台灣科技龍頭,51.15,TSE,2026-07-24,2026-07-25 19:05:03
00882,中信中國高股息,14.99,TSE,2026-07-24,2026-07-25 19:05:03
00885,富邦越南,17.42,TSE,2026-07-24,2026-07-25 19:05:03
00891,中信關鍵半導體,34.09,TSE,2026-07-24,2026-07-25 19:05:03
00892,富邦台灣半導體,38.98,TSE,2026-07-24,2026-07-25 19:05:03
00893,國泰智能電動車,44.44,TSE,2026-07-24,2026-07-25 19:05:03
00894,中信小資高價30,45.2,TSE,2026-07-24,2026-07-25 19:05:03
00895,富邦未來車,49.32,TSE,2026-07-24,2026-07-25 19:05:03
00896,中信綠能及電動車,26.52,TSE,2026-07-24,2026-07-25 19:05:03
00897,富邦基因免疫生技,11.01,TSE,2026-07-24,2026-07-25 19:05:03
00898,國泰基因免疫革命,9.39,TSE,2026-07-24,2026-07-25 19:05:03
00899,FT潔淨能源,24.65,TSE,2026-07-24,2026-07-25 19:05:03
00900,富邦特選高股息30,18.33,TSE,2026-07-24,2026-07-25 19:05:03
00901,永豐智能車供應鏈,43.4,TSE,2026-07-24,2026-07-25 19:05:03
00902,中信電池及儲能,12.75,TSE,2026-07-24,2026-07-25 19:05:03
00903,富邦元宇宙,20.41,TSE,2026-07-24,2026-07-25 19:05:03
00904,台新臺灣半導體30,38.62,TSE,2026-07-24,2026-07-25 19:05:03
00905,FT臺灣Smart,25.07,TSE,2026-07-24,2026-07-25 19:05:03
00907,永豐優息存股,16.53,TSE,2026-07-24,2026-07-25 19:05:03
00908,富邦入息REITs+,15.58,TSE,2026-07-24,2026-07-25 19:05:03
00909,國泰數位支付服務,47.21,TSE,2026-07-24,2026-07-25 19:05:03
00910,第一金太空衛星,55.7,TSE,2026-07-24,2026-07-25 19:05:03
00911,兆豐洲際半導體,56.65,TSE,2026-07-24,2026-07-25 19:05:03
00912,中信臺灣智慧50,31.73,TSE,2026-07-24,2026-07-25 19:05:03
00913,兆豐台灣晶圓製造,47.36,TSE,2026-07-24,2026-07-25 19:05:03
00915,凱基優選高股息30,31.3,TSE,2026-07-24,2026-07-25 19:05:03
00916,國泰全球品牌50,25.62,TSE,2026-07-24,2026-07-25 19:05:03
00917,中信特選金融,23.6,TSE,2026-07-24,2026-07-25 19:05:03
00918,大華優利高填息30,32.5,TSE,2026-07-24,2026-07-25 19:05:03
00919,群益台灣精選高息,29.49,TSE,2026-07-24,2026-07-25 19:05:03
00920,富邦ESG綠色電力,24.42,TSE,2026-07-24,2026-07-25 19:05:03
00921,兆豐龍頭等權重,22.85,TSE,2026-07-24,2026-07-25 19:05:03
00922,國泰台灣領袖50,39.03,TSE,2026-07-24,2026-07-25 19:05:03
00923,群益台ESG低碳50,40.32,TSE,2026-07-24,2026-07-25 19:05:03
00924,復華S&P500成長,32.22,TSE,2026-07-24,2026-07-25 19:05:03
00926,凱基全球菁英55,25.45,TSE,2026-07-24,2026-07-25 19:05:03
00927,群益半導體收益,35.9,TSE,2026-07-24,2026-07-25 19:05:03
00929,復華台灣科技優息,28.78,TSE,2026-07-24,2026-07-25 19:05:03
00930,永豐ESG低碳高息,24.03,TSE,2026-07-24,2026-07-25 19:05:03
00932,兆豐永續高息等權,17.25,TSE,2026-07-24,2026-07-25 19:05:03
00934,中信成長高股息,27.45,TSE,2026-07-24,2026-07-25 19:05:03
00935,野村臺灣新科技50,55.15,TSE,2026-07-24,2026-07-25 19:05:03
00936,台新永續高息中小,20.53,TSE,2026-07-24,2026-07-25 19:05:03
00938,凱基優選30,24.35,TSE,2026-07-24,2026-07-25 19:05:03
00939,統一台灣高息動能,21.78,TSE,2026-07-24,2026-07-25 19:05:03
00940,元大台灣價值高息,12.2,TSE,2026-07-24,2026-07-25 19:05:03
00941,中信上游半導體,26.77,TSE,2026-07-24,2026-07-25 19:05:03
00943,兆豐電子高息等權,21.67,TSE,2026-07-24,2026-07-25 19:05:03
00944,野村趨勢動能高息,20.66,TSE,2026-07-24,2026-07-25 19:05:03
00945B,凱基美國非投等債,14.62,TSE,2026-07-24,2026-07-25 19:05:03
00946,群益科技高息成長,15.08,TSE,2026-07-24,2026-07-25 19:05:03
00947,台新臺灣IC設計,33.62,TSE,2026-07-24,2026-07-25 19:05:03
00949,復華日本龍頭,20.42,TSE,2026-07-24,2026-07-25 19:05:03
00951,台新日本半導體,17.82,TSE,2026-07-24,2026-07-25 19:05:03
00952,凱基台灣AI50,17.81,TSE,2026-07-24,2026-07-25 19:05:03
00953B,群益優選非投等債,9.79,TSE,2026-07-24,2026-07-25 19:05:03
00954,中信日本半導體,19.01,TSE,2026-07-24,2026-07-25 19:05:03
00956,中信日經高股息,12.62,TSE,2026-07-24,2026-07-25 19:05:03
00960,野村全球航運龍頭,18.56,TSE,2026-07-24,2026-07-25 19:05:03
00961,FT臺灣永續高息,12.75,TSE,2026-07-24,2026-07-25 19:05:03
00962,台新AI優息動能,14.84,TSE,2026-07-24,2026-07-25 19:05:03
00963,中信全球高股息,13.18,TSE,2026-07-24,2026-07-25 19:05:03
00964,中信亞太高股息,14.04,TSE,2026-07-24,2026-07-25 19:05:03
00965,元大航太防衛科技,25.08,TSE,2026-07-24,2026-07-25 19:05:03
00971,野村美國研發龍頭,16.62,TSE,2026-07-24,2026-07-25 19:05:03
00972,野村日本動能高息,20.69,TSE,2026-07-24,2026-07-25 19:05:03
009800,中信NASDAQ,12.78,TSE,2026-07-24,2026-07-25 19:05:03
009801,中信美國創新科技,12.28,TSE,2026-07-24,2026-07-25 19:05:03
009802,富邦旗艦50,18.42,TSE,2026-07-24,2026-07-25 19:05:03
009803,玉山市值動能50,20.6,TSE,2026-07-24,2026-07-25 19:05:03
