代號,名稱,年度,季別,歸屬於母公司業主之權益合計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1314,中石化,114,Q1,79382498.0,,,65788391.0,,31500311.0,28328041.0,75094.0,20.97
1314,中石化,114,Q2,76616200.0,,,64575098.0,,30197776.0,28423353.0,69905.0,20.24
1315,達新,114,Q1,9088752.0,,,6437483.0,,912851.0,259341.0,30776.0,95.14
1315,達新,114,Q2,8902495.0,,,5782989.0,,482065.0,235544.0,28762.0,93.19
1316,上曜,114,Q1,4023851.0,,,15101163.0,,8586111.0,1065463.0,6104019.0,11.68
1316,上曜,114,Q3,4036178.0,,,16590324.0,,8598798.0,1100976.0,7803204.0,12.17
1316,上曜,114,Q2,3888035.0,,,14941260.0,,8706373.0,1073339.0,5941412.0,11.46
1319,東陽,114,Q1,29173810.0,,,14646151.0,,6949406.0,3019808.0,590736.0,49.32
1319,東陽,114,Q3,26724208.0,,,10912250.0,,5974512.0,2959476.0,574714.0,45.18
1319,東陽,114,Q2,26002782.0,,,13807512.0,,9327559.0,3027862.0,551060.0,43.96
1321,大洋,114,Q3,5812635.0,,,2009084.0,,1056127.0,4564211.0,,26.34
1321,大洋,114,Q1,5941240.0,,,2340410.0,,1257507.0,4608417.0,,26.92
1321,大洋,114,Q2,5752818.0,,,2155738.0,,1083925.0,4629734.0,,26.07
1323,永裕,114,Q1,2617086.0,,,2568577.0,,607384.0,1689291.0,0.0,28.67
1323,永裕,114,Q2,2378626.0,,,2316288.0,,762472.0,1344437.0,0.0,26.06
1323,永裕,114,Q3,2464922.0,,,2416670.0,,780664.0,1362516.0,0.0,27.01
1324,地球,114,Q1,950804.0,,,732284.0,,190368.0,38806.0,,12.66
1324,地球,114,Q2,896255.0,,,693262.0,,197743.0,35851.0,0.0,11.93
1324,地球,114,Q3,894095.0,,,680410.0,,186806.0,33831.0,0.0,11.9
1325,恆大,114,Q2,2570240.0,,,1648756.0,,68478.0,52220.0,71530.0,30.14
1325,恆大,114,Q1,2676201.0,,,1734291.0,,40415.0,57302.0,81709.0,31.38
1326,台化,114,Q2,258252584.0,,,148249843.0,,115068282.0,64108084.0,30482862.0,44.15
1326,台化,114,Q1,273290563.0,,,167187863.0,,128839677.0,66949485.0,32831839.0,46.72
1326,台化,114,Q3,280098654.0,,,155094880.0,,116873902.0,53100577.0,32336848.0,47.89
1336,台翰,114,Q3,1777094.0,,,1238528.0,,1017090.0,299288.0,,22.9
1336,台翰,114,Q1,1925804.0,,,1191974.0,,938407.0,310224.0,,24.81
1337,再生-KY,114,Q2,3577401.0,,,1958098.0,,1834061.0,418213.0,,13.3
1337,再生-KY,114,Q1,4111902.0,,,2260818.0,,2000215.0,467487.0,,15.29
1337,再生-KY,114,Q3,3616060.0,,,1959873.0,,2006099.0,434479.0,,13.44
1338,廣華-KY,114,Q2,5234627.0,,,4865273.0,,3262523.0,868980.0,327378.0,64.52
1338,廣華-KY,114,Q1,6102612.0,,,5798895.0,,3538444.0,1030246.0,346194.0,74.66
1338,廣華-KY,114,Q3,5540579.0,,,4952238.0,,3411902.0,860438.0,363771.0,68.61
1339,昭輝,114,Q2,3847425.0,,,1505606.0,,805299.0,251512.0,67914.0,51.91
1339,昭輝,114,Q1,3970698.0,,,1658400.0,,825177.0,292622.0,76003.0,53.57
1340,勝悅-KY,114,Q1,3024988.0,,,960317.0,,125508.0,183787.0,0.0,19.78
1340,勝悅-KY,114,Q2,2629338.0,,,797757.0,,110165.0,147687.0,0.0,17.19
1340,勝悅-KY,114,Q3,2721312.0,,,788719.0,,94715.0,154920.0,0.0,17.8
1341,富林-KY,114,Q3,1178145.0,,,1460162.0,,810431.0,30265.0,,22.29
1341,富林-KY,114,Q2,1115504.0,,,1370990.0,,777526.0,29706.0,,21.11
1341,富林-KY,114,Q1,1246089.0,,,1858090.0,,1213005.0,34685.0,,23.58
1342,八貫,114,Q1,,,,2452311.0,,1097694.0,536322.0,,27.65
1342,八貫,114,Q2,,,,1984052.0,,582201.0,507960.0,,28.8
1342,八貫,114,Q3,,,,2112793.0,,614811.0,478981.0,,29.98
1402,遠東新,114,Q2,216532953.0,,,146298819.0,,144322183.0,213803524.0,80075400.0,40.46
1402,遠東新,114,Q1,238627244.0,,,152314585.0,,129824129.0,221979111.0,88197227.0,44.59
1409,新纖,114,Q2,37000612.0,,,141351056.0,,131594617.0,27785594.0,11006551.0,22.93
1409,新纖,114,Q1,37624428.0,,,153421314.0,,143375410.0,27893312.0,11623356.0,23.32
1410,南染,114,Q2,1017666.0,,,630358.0,,65339.0,185525.0,38173.0,16.41
1410,南染,114,Q3,1044521.0,,,622175.0,,49014.0,162391.0,36376.0,16.85
1410,南染,114,Q1,1060639.0,,,669446.0,,71241.0,185967.0,42287.0,16.84
1413,宏洲,114,Q2,,,,636111.0,,408147.0,892297.0,,8.44
1413,宏洲,114,Q3,,,,645763.0,,408978.0,876165.0,,8.54
1413,宏洲,114,Q1,,,,727773.0,,552005.0,908429.0,,8.02
1414,東和,114,Q1,3092751.0,,,1019326.0,,553292.0,678744.0,,14.06
1414,東和,114,Q3,3103606.0,,,864493.0,,367303.0,677335.0,,14.11
1414,東和,114,Q2,3084249.0,,,901339.0,,432344.0,678079.0,,14.02
1416,廣豐,114,Q3,4191563.0,,,1232563.0,,523716.0,1034053.0,66182.0,22.62
1416,廣豐,114,Q2,4046301.0,,,1214450.0,,610654.0,1008985.0,63893.0,21.83
1416,廣豐,114,Q1,4480401.0,,,992903.0,,395331.0,1081225.0,80779.0,24.17
1417,嘉裕,114,Q1,2387672.0,,,1708855.0,,462305.0,112812.0,,12.57
1417,嘉裕,114,Q2,2359023.0,,,1588061.0,,364556.0,111071.0,,12.42
1417,嘉裕,114,Q3,2354307.0,,,1593063.0,,373145.0,108905.0,,12.39
1418,東華,114,Q3,1178518.0,,,1460689.0,,3298769.0,804786.0,0.0,21.7
1418,東華,114,Q2,1217497.0,,,1389397.0,,3301694.0,677642.0,0.0,22.42
1418,東華,114,Q1,1263079.0,,,1413524.0,,18730.0,3942105.0,2.0,23.26
1419,新紡,114,Q1,15329593.0,,,5312054.0,,4247892.0,2562523.0,,51.23
1419,新紡,114,Q2,15072681.0,,,5777796.0,,4922953.0,2647129.0,,50.37
1423,利華,114,Q2,,,,999426.0,,113280.0,200304.0,,34.25
1423,利華,114,Q3,,,,1181646.0,,46245.0,200343.0,,39.53
1423,利華,114,Q1,,,,953298.0,,21404.0,200659.0,,34.09
1432,大魯閣,114,Q1,1017155.0,,,1388882.0,,1661546.0,2809417.0,208678.0,9.42
1432,大魯閣,114,Q2,930539.0,,,1292074.0,,1671275.0,2780930.0,192894.0,8.62
1434,福懋,114,Q2,34727079.0,,,15104235.0,,6731748.0,9401827.0,,20.64
1434,福懋,114,Q1,36859932.0,,,15857920.0,,7386012.0,9452116.0,,21.91
1434,福懋,114,Q3,37599309.0,,,14002574.0,,5035471.0,9368124.0,,22.35
1435,中福,114,Q3,,,,392725.0,,7779.0,177809.0,,8.04
1435,中福,114,Q1,,,,409066.0,,5994.0,177813.0,,8.2
1435,中福,114,Q2,,,,402437.0,,9195.0,177811.0,,8.11
1436,華友聯,114,Q1,5116153.0,,,18515630.0,,9897768.0,5379065.0,297815.0,38.76
1436,華友聯,114,Q3,6584005.0,,,20964722.0,,10095528.0,5668399.0,439734.0,33.91
1436,華友聯,114,Q2,5512615.0,,,20002717.0,,10959837.0,5310096.0,370193.0,41.54
1437,勤益控,114,Q2,8050042.0,,,2390894.0,,1345989.0,4291277.0,1480.0,39.58
1437,勤益控,114,Q1,8316983.0,,,2582070.0,,1419497.0,4237093.0,1444.0,40.9
1438,三地開發,114,Q1,,,,8023870.0,,4575916.0,5117574.0,,26.18
1438,三地開發,114,Q2,,,,12051244.0,,8676340.0,1121034.0,,25.93
1439,雋揚,114,Q1,2782372.0,,,3407656.0,,2194658.0,513421.0,406098.0,30.24
1439,雋揚,114,Q2,2806623.0,,,3509549.0,,2178479.0,506440.0,407088.0,30.51
1440,南紡,114,Q3,27442735.0,,,12070251.0,,9602648.0,7840016.0,326363.0,16.56
1440,南紡,114,Q1,28529575.0,,,13605091.0,,11489089.0,7531601.0,331557.0,17.22
1440,南紡,114,Q2,26840017.0,,,12389793.0,,10636646.0,7430070.0,300893.0,16.2
1441,大東,114,Q2,476446.0,,,720934.0,,665054.0,374840.0,0.0,6.64
1441,大東,114,Q1,596871.0,,,987550.0,,1003935.0,299729.0,0.0,8.32
1442,名軒,114,Q3,7806251.0,,,12730280.0,,2233042.0,3960565.0,,21.32
1442,名軒,114,Q1,9017430.0,,,13364826.0,,2948614.0,2680928.0,,24.62
1442,名軒,114,Q2,7639652.0,,,13240222.0,,4187600.0,2693139.0,,20.86
1443,立益物流,114,Q2,2271261.0,,,534792.0,,2383950.0,3420782.0,349228.0,16.78
1443,立益物流,114,Q3,2288044.0,,,607636.0,,2516488.0,3431708.0,409919.0,16.91
1443,立益物流,114,Q1,2204396.0,,,555813.0,,2554036.0,3371087.0,437038.0,16.29
1444,力麗,114,Q3,9702223.0,,,6578523.0,,7428312.0,1654548.0,1267890.0,9.86
1444,力麗,114,Q1,10692349.0,,,6512523.0,,7163722.0,1852125.0,1370085.0,10.86
1444,力麗,114,Q2,10048276.0,,,5938898.0,,6223747.0,2368165.0,1259797.0,10.21
1445,大宇,114,Q2,2101149.0,,,887643.0,,502617.0,1965020.0,,16.08
1445,大宇,114,Q1,2292409.0,,,950072.0,,332711.0,79673.0,,17.54
1446,宏和,114,Q1,2883452.0,,,3333312.0,,851771.0,14493.0,0.0,20.94
1446,宏和,114,Q2,2748696.0,,,3116460.0,,769090.0,11388.0,0.0,19.96
1446,宏和,114,Q3,2830724.0,,,2794040.0,,364826.0,8268.0,0.0,20.56
1447,力鵬,114,Q3,7873161.0,,,8841568.0,,7368146.0,1807828.0,788682.0,9.33
1447,力鵬,114,Q2,7942525.0,,,8036640.0,,6418680.0,1976687.0,773812.0,9.42
1447,力鵬,114,Q1,8750797.0,,,10059160.0,,7889392.0,1975134.0,871624.0,10.37
1449,佳和,114,Q2,1983896.0,,,1954203.0,,2149900.0,2058542.0,73077.0,19.24
1449,佳和,114,Q1,1956870.0,,,2226753.0,,2227328.0,2088582.0,62469.0,18.98
1451,年興,114,Q3,7243587.0,,,5267976.0,,869084.0,334262.0,,36.58
1451,年興,114,Q1,7169735.0,,,5586432.0,,1158000.0,330695.0,,36.21
1451,年興,114,Q2,6964899.0,,,4798471.0,,772431.0,329717.0,,35.18
1452,宏益,114,Q2,2696695.0,,,2027538.0,,157482.0,45937.0,,20.33
1452,宏益,114,Q3,2685641.0,,,1987459.0,,85773.0,45937.0,,20.25
1452,宏益,114,Q1,2728723.0,,,2081018.0,,163284.0,46993.0,,20.57
1453,大將,114,Q1,1423456.0,,,2461849.0,,1055076.0,159416.0,13354.0,12.95
1453,大將,114,Q2,1424113.0,,,2537946.0,,1129564.0,159085.0,13373.0,12.95
1454,台富,114,Q1,1527472.0,,,1144082.0,,468672.0,16337.0,28.0,12.51
1454,台富,114,Q3,1437829.0,,,1039713.0,,593866.0,10328.0,28.0,11.77
1454,台富,114,Q2,1452123.0,,,1037150.0,,586913.0,12644.0,26.0,11.89
1455,集盛,114,Q1,6191927.0,,,3925104.0,,2117597.0,2434162.0,,11.65
1455,集盛,114,Q3,5950472.0,,,2659970.0,,979803.0,2414501.0,,11.19
1455,集盛,114,Q2,5976324.0,,,3153494.0,,1509609.0,2424983.0,,11.24
1456,怡華,114,Q1,1572451.0,,,10099946.0,,7599337.0,3601730.0,,16.78
1456,怡華,114,Q3,1532851.0,,,9975241.0,,8157191.0,2938671.0,,16.36
1456,怡華,114,Q2,1564948.0,,,10038803.0,,8134702.0,2995453.0,,16.7
1457,宜進,114,Q2,5167652.0,,,2071654.0,,1883526.0,6656364.0,3440457.0,22.13
1457,宜進,114,Q1,5185881.0,,,2802484.0,,2448241.0,6826246.0,3449815.0,22.21
1459,聯發,114,Q1,2923141.0,,,1885470.0,,1535744.0,384368.0,5364.0,9.21
1459,聯發,114,Q3,3289070.0,,,1735716.0,,1075726.0,130121.0,3561.0,10.36
1459,聯發,114,Q2,3147125.0,,,1998950.0,,1331655.0,278945.0,4277.0,9.91
1460,宏遠,114,Q1,5939310.0,,,6090971.0,,5143132.0,781599.0,6.0,8.81
1460,宏遠,114,Q3,5492336.0,,,5824797.0,,4783594.0,966673.0,5.0,8.14
1460,宏遠,114,Q2,5409882.0,,,5478322.0,,4406215.0,1082530.0,5.0,8.02
1463,強盛新,114,Q1,3049268.0,,,2345096.0,,319300.0,117962.0,139620.0,17.78
1463,強盛新,114,Q2,2583918.0,,,2257301.0,,649816.0,109999.0,124738.0,15.06
1463,強盛新,114,Q3,2691816.0,,,2343234.0,,647069.0,105680.0,128360.0,15.69
1464,得力,114,Q1,5699267.0,,,10028687.0,,9010534.0,3500157.0,857192.0,14.04
1464,得力,114,Q2,4674582.0,,,8958748.0,,8239642.0,3579945.0,752750.0,11.54
1465,偉全,114,Q2,,,,864894.0,,174994.0,43479.0,,14.79
1465,偉全,114,Q1,,,,917617.0,,210845.0,63675.0,,15.85
1465,偉全,114,Q3,,,,1108812.0,,112866.0,47609.0,,15.0
1466,聚隆,114,Q3,1557838.0,,,1703023.0,,443696.0,1649416.0,79317.0,14.01
1466,聚隆,114,Q2,1451340.0,,,1456784.0,,351638.0,1655378.0,32900.0,13.06
1466,聚隆,114,Q1,1479625.0,,,1449672.0,,731469.0,1178719.0,33697.0,13.31
1467,南緯,114,Q2,2540316.0,,,3584116.0,,3381025.0,2167054.0,77639.0,11.01
