代號,名稱,年度,季別,現金股利,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
4720,德淵,106,Y1,0.2,107/06/27,106/01/01~106/12/31,股東會確認,0.2,0.0,0
4721,美琪瑪,106,Y1,2.4,107/06/29,106/01/01~106/12/31,股東會確認,2.4,0.0,0
4722,國精化,106,Y1,1.5,107/05/29,106/01/01~106/12/31,股東會確認,1.5,0.5,4762341
4726,永昕,106,Y1,0.0,107/05/29,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4728,雙美,106,Y1,0.3,107/06/13,106/01/01~106/12/31,股東會確認,0.3,0.0,0
4729,熒茂,106,Y1,0.0,107/06/14,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4735,豪展,106,Y1,2.14,107/06/12,106/01/01~106/12/31,股東會確認,2.14,0.0,0
4736,泰博,106,Y1,4.0,107/05/30,106/01/01~106/12/31,股東會確認,4.0,0.0,0
4737,華廣,106,Y1,0.0,107/06/20,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4739,康普,106,Y1,3.01376,107/06/01,106/01/01~106/12/31,股東會確認,3.01376,0.0,0
4741,泓瀚,106,Y1,3.0,107/06/15,106/01/01~106/12/31,股東會確認,3.0,0.0,0
4743,合一,106,Y1,0.0,107/06/21,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4744,皇將,106,Y1,1.13429941,107/06/26,106/01/01~106/12/31,股東會確認,1.13429941,0.0,0
4745,合富-KY,106,Y1,0.2,107/06/06,106/01/01~106/12/31,股東會確認,0.2,1.0,5769809
4746,台耀,106,Y1,2.0,107/06/19,106/01/01~106/12/31,股東會確認,2.0,0.0,0
4747,強生製藥,106,Y1,1.8,107/05/29,106/01/01~106/12/31,股東會確認,1.8,0.0,0
4754,國碳科,106,Y1,2.6,107/06/14,106/01/01~106/12/31,股東會確認,2.6,0.0,0
4755,三福化,106,Y1,2.6,107/06/14,106/01/01~106/12/31,股東會確認,2.6,0.0,0
4760,勤凱科技,106,Y1,0.8,107/06/01,106/01/01~106/12/31,股東會確認,0.8,0.1,251516
4763,材料*-KY,106,Y1,5.0,107/06/22,106/01/01~106/12/31,股東會確認,5.0,0.0,0
4764,雙鍵,106,Y1,2.7,107/06/20,106/01/01~106/12/31,股東會確認,2.7,0.0,0
4766,南寶,106,Y1,5.0,107/06/14,106/01/01~106/12/31,股東會確認,5.0,0.0,0
4767,誠泰科技,106,Y1,1.5,107/06/27,106/01/01~106/12/31,股東會確認,1.5,0.0,0
4768,晶呈科技,106,Y1,0.09,107/06/29,106/01/01~106/12/31,股東會確認,0.09,0.45,1168128
4804,大略-KY,106,Y1,0.5,107/06/19,106/01/01~106/12/31,股東會確認,0.5,0.0,0
4806,桂田文創,106,Y1,0.0,107/06/21,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4807,日成-KY,106,Y1,3.0,107/05/28,106/01/01~106/12/31,股東會確認,3.0,0.0,0
4903,聯光通,106,Y1,0.0,107/06/27,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4904,遠傳,106,Y1,3.037,107/06/14,106/01/01~106/12/31,股東會確認,3.037,0.0,0
4905,台聯電,106,Y1,2.0,107/06/15,106/01/01~106/12/31,股東會確認,2.0,0.0,0
4906,正文,106,Y1,0.8,107/06/15,106/01/01~106/12/31,股東會確認,0.8,0.0,0
4907,富宇,106,Y1,1.5,107/04/26,106/01/01~106/12/31,股東會確認,1.5,0.0,0
4908,前鼎,106,Y1,0.81,107/06/28,106/01/01~106/12/31,股東會確認,0.81,0.0,0
4909,新復興,106,Y1,0.6,107/06/26,106/01/01~106/12/31,股東會確認,0.6,0.0,0
4911,德英,106,Y1,0.0,107/06/19,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4912,聯德控股-KY,106,Y1,2.5,107/06/11,106/01/01~106/12/31,股東會確認,2.5,0.0,0
4915,致伸,106,Y1,3.2,107/05/30,106/01/01~106/12/31,股東會確認,3.2,0.0,0
4916,事欣科,106,Y1,0.1,107/05/30,106/01/01~106/12/31,股東會確認,0.1,0.0,0
4919,新唐,106,Y1,2.5,107/06/12,106/01/01~106/12/31,股東會確認,2.5,0.0,0
4923,力士,106,Y1,0.0,107/06/08,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4924,欣厚-KY,106,Y1,0.0,107/06/28,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4927,泰鼎-KY,106,Y1,0.0,107/06/15,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4930,燦星網,106,Y1,0.0,107/06/20,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4931,新盛力,106,Y1,0.2,107/06/28,106/01/01~106/12/31,股東會確認,0.2,0.0,0
4933,友輝,106,Y1,0.3111,107/06/11,106/01/01~106/12/31,股東會確認,0.3111,0.0,0
4934,太極,106,Y1,0.0,107/06/26,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4935,茂林-KY,106,Y1,1.0,107/06/22,106/01/01~106/12/31,股東會確認,1.0,0.0,0
4938,和碩,106,Y1,4.0,107/06/21,106/01/01~106/12/31,股東會確認,4.0,0.0,0
4939,亞電,106,Y1,0.5,107/05/24,106/01/01~106/12/31,股東會確認,0.5,0.0,0
4942,嘉彰,106,Y1,1.2,107/06/11,106/01/01~106/12/31,股東會確認,1.2,0.0,0
4943,康控-KY,106,Y1,5.0,107/06/12,106/01/01~106/12/31,股東會確認,5.0,0.0,10717186
4946,辣椒,106,Y1,0.5,107/06/15,106/01/01~106/12/31,股東會確認,0.5,0.0,0
4949,有成精密,106,Y1,0.0,107/06/19,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4950,金耘國際,106,Y1,0.0,107/06/22,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4951,精拓科,106,Y1,0.6,107/06/06,106/01/01~106/12/31,股東會確認,0.6,0.0,0
4952,凌通,106,Y1,2.94,107/06/14,106/01/01~106/12/31,股東會確認,2.94,0.0,0
4953,緯軟,106,Y1,0.5,107/06/21,106/01/01~106/12/31,股東會確認,0.5,1.0,4335432
4956,光鋐,106,Y1,0.5,107/06/08,106/01/01~106/12/31,股東會確認,0.5,0.0,0
4958,臻鼎-KY,106,Y1,3.3,107/06/04,106/01/01~106/12/31,股東會確認,3.3,0.0,0
4960,誠美材,106,Y1,0.0,107/06/22,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4961,天鈺,106,Y1,0.5,107/06/21,106/01/01~106/12/31,股東會確認,0.5,0.0,0
4966,譜瑞-KY,106,Y1,12.22180817,107/06/21,106/01/01~106/12/31,股東會確認,12.22180817,0.0,0
4967,十銓,106,Y1,1.0,107/06/26,106/01/01~106/12/31,股東會確認,1.0,1.0,5059772
4968,立積,106,Y1,0.63,107/06/28,106/01/01~106/12/31,股東會確認,0.63,1.0,5488734
4971,IET-KY,106,Y1,2.0,107/06/27,106/01/01~106/12/31,股東會確認,2.0,0.0,0
4972,湯石照明,106,Y1,2.3,107/05/30,106/01/01~106/12/31,股東會確認,2.3,0.0,0
4973,廣穎電通,106,Y1,1.0,107/06/21,106/01/01~106/12/31,股東會確認,1.0,0.0,0
4974,亞泰,106,Y1,2.75,107/06/12,106/01/01~106/12/31,股東會確認,2.75,0.0,0
4976,佳凌,106,Y1,0.0,107/06/19,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4977,眾達-KY,106,Y1,4.02175926,107/06/08,106/01/01~106/12/31,股東會確認,4.02175926,0.0,0
4979,華星光,106,Y1,0.0,107/06/29,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4987,科誠,106,Y1,4.7,107/06/19,106/01/01~106/12/31,股東會確認,4.7,0.0,0
4989,榮科,106,Y1,3.5,107/06/27,106/01/01~106/12/31,股東會確認,3.5,0.0,0
4991,環宇-KY,106,Y1,1.0,107/05/15,106/01/01~106/12/31,股東會確認,1.0,0.0,0
4994,傳奇,106,Y1,0.0,107/06/27,106/01/01~106/12/31,股東會確認,0.0,0.0,0
4995,晶達,106,Y1,2.40960232,107/06/11,106/01/01~106/12/31,股東會確認,2.40960232,0.0,0
4999,鑫禾,106,Y1,2.7,107/06/26,106/01/01~106/12/31,股東會確認,2.7,0.0,0
5007,三星,106,Y1,3.0,107/06/14,106/01/01~106/12/31,股東會確認,3.0,0.0,0
5009,榮剛,106,Y1,0.3,107/05/29,106/01/01~106/12/31,股東會確認,0.3,0.0,0
5011,久陽,106,Y1,0.0,107/06/20,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5013,強新,106,Y1,0.8,107/06/08,106/01/01~106/12/31,股東會確認,0.8,0.0,0
5014,建錩,106,Y1,0.3,107/06/14,106/01/01~106/12/31,股東會確認,0.3,0.0,0
5015,華祺,106,Y1,3.1,107/06/19,106/01/01~106/12/31,股東會確認,3.1,0.0,0
5016,松和,106,Y1,3.0,107/06/05,106/01/01~106/12/31,股東會確認,3.0,0.0,0
5201,凱衛,106,Y1,0.3,107/06/25,106/01/01~106/12/31,股東會確認,0.3,0.0,0
5202,力新,106,Y1,0.0,107/06/12,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5203,訊連,106,Y1,1.7,107/06/19,106/01/01~106/12/31,股東會確認,1.7,0.0,0
5206,坤悅,106,Y1,0.7,107/06/08,106/01/01~106/12/31,股東會確認,0.7,0.0,0
5209,新鼎,106,Y1,2.877,107/05/29,106/01/01~106/12/31,股東會確認,2.877,0.0,0
5210,寶碩,106,Y1,0.0,107/06/22,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5211,蒙恬,106,Y1,0.32,107/06/13,106/01/01~106/12/31,股東會確認,0.32,0.0,0
5212,凌網,106,Y1,0.8,107/06/12,106/01/01~106/12/31,股東會確認,0.8,0.0,0
5213,亞昕,106,Y1,1.0,107/06/07,106/01/01~106/12/31,股東會確認,1.0,0.0,0
5215,科嘉-KY,106,Y1,1.0,107/06/21,106/01/01~106/12/31,股東會確認,1.0,0.0,0
5220,萬達光電,106,Y1,2.6,107/06/26,106/01/01~106/12/31,股東會確認,2.6,0.0,0
5222,全訊,106,Y1,0.0,107/05/16,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5223,安力-KY,106,Y1,2.25,107/05/25,106/01/01~106/12/31,股東會確認,2.25,0.0,0
5225,東科-KY,106,Y1,0.7,107/06/11,106/01/01~106/12/31,股東會確認,0.7,0.0,0
5227,立凱-KY,106,Y1,0.0,107/06/15,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5228,鈺鎧,106,Y1,0.0,107/06/22,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5230,雷笛克光學,106,Y1,1.8,107/05/30,106/01/01~106/12/31,股東會確認,1.8,0.0,0
5234,達興材料,106,Y1,3.5,107/05/24,106/01/01~106/12/31,股東會確認,3.5,1.0,9337810
5236,凌陽創新,106,Y1,0.0,107/06/13,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5243,乙盛-KY,106,Y1,1.0,107/06/21,106/01/01~106/12/31,股東會確認,1.0,0.0,0
5244,弘凱,106,Y1,1.5,107/06/08,106/01/01~106/12/31,股東會確認,1.5,0.0,0
5245,智晶,106,Y1,5.0,107/06/11,106/01/01~106/12/31,股東會確認,5.0,0.0,0
5251,天鉞電,106,Y1,0.0,107/06/14,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5258,虹堡,106,Y1,0.4,107/06/26,106/01/01~106/12/31,股東會確認,0.4,0.0,0
5263,智崴,106,Y1,4.0,107/05/29,106/01/01~106/12/31,股東會確認,4.0,2.0,8848795
5264,鎧勝-KY,106,Y1,2.5,107/06/19,106/01/01~106/12/31,股東會確認,2.5,0.0,0
5269,祥碩,106,Y1,6.0,107/06/14,106/01/01~106/12/31,股東會確認,6.0,0.0,0
5272,笙科,106,Y1,1.5,107/06/08,106/01/01~106/12/31,股東會確認,1.5,0.0,0
5274,信驊,106,Y1,15.0,107/05/30,106/01/01~106/12/31,股東會確認,15.0,0.0,0
5276,達輝-KY,106,Y1,0.178,107/06/20,106/01/01~106/12/31,股東會確認,0.178,0.0,0
5278,尚凡*,106,Y1,0.0,107/06/05,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5283,禾聯碩,106,Y1,7.0,107/06/13,106/01/01~106/12/31,股東會確認,7.0,0.0,0
5285,界霖,106,Y1,3.2,107/06/22,106/01/01~106/12/31,股東會確認,3.2,0.0,0
5287,數字,106,Y1,12.0,107/06/14,106/01/01~106/12/31,股東會確認,12.0,0.0,0
5288,豐祥-KY,106,Y1,4.0,107/06/14,106/01/01~106/12/31,股東會確認,4.0,0.0,0
5289,宜鼎,106,Y1,5.7,107/06/08,106/01/01~106/12/31,股東會確認,5.7,0.3,2234700
5291,邑昇,106,Y1,0.0,107/06/27,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5299,杰力,106,Y1,2.75,107/06/11,106/01/01~106/12/31,股東會確認,2.75,0.0,0
5301,寶得利,106,Y1,0.0,107/06/13,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5302,太欣,106,Y1,0.0,107/06/26,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5306,桂盟,106,Y1,4.5,107/06/22,106/01/01~106/12/31,股東會確認,4.5,0.5,6000000
5309,系統電,106,Y1,0.0,107/06/12,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5310,天剛,106,Y1,0.0,107/06/01,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5312,寶島科,106,Y1,3.8,107/06/25,106/01/01~106/12/31,股東會確認,3.8,0.0,0
5314,世紀*,106,Y1,0.0,107/06/26,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5315,光聯,106,Y1,1.0,107/05/29,106/01/01~106/12/31,股東會確認,1.0,0.0,0
5321,美而快,106,Y1,0.0,107/06/22,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5324,士開,106,Y1,0.0,107/06/08,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5328,華容,106,Y1,0.0,107/06/13,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5340,建榮,106,Y1,0.0,107/06/15,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5344,立衛,106,Y1,0.0,107/06/28,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5345,馥鴻,106,Y1,0.0,107/06/20,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5347,世界,106,Y1,3.0,107/06/14,106/01/01~106/12/31,股東會確認,3.0,0.0,0
5351,鈺創,106,Y1,0.0,107/06/15,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5353,台林,106,Y1,0.4,107/06/05,106/01/01~106/12/31,股東會確認,0.4,0.0,0
5355,佳總,106,Y1,0.0,107/06/15,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5356,協益,106,Y1,2.0,107/06/11,106/01/01~106/12/31,股東會確認,2.0,0.0,0
5364,力麗店,106,Y1,0.0,107/06/12,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5371,中光電,106,Y1,2.5,107/06/14,106/01/01~106/12/31,股東會確認,2.5,0.0,0
5381,合正,106,Y1,0.0,107/06/22,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5386,青雲,106,Y1,1.0,107/06/07,106/01/01~106/12/31,股東會確認,1.0,1.5,2027407
5388,中磊,106,Y1,3.75,107/06/05,106/01/01~106/12/31,股東會確認,3.75,0.0,0
5392,能率,106,Y1,1.0,107/06/12,106/01/01~106/12/31,股東會確認,1.0,1.1,12434595
5398,慕康生醫,106,Y1,0.13,107/06/27,106/01/01~106/12/31,股東會確認,0.13,0.0,0
5403,中菲,106,Y1,3.4,107/06/21,106/01/01~106/12/31,股東會確認,3.4,0.0,0
5410,國眾,106,Y1,1.23,107/06/08,106/01/01~106/12/31,股東會確認,1.23,0.0,0
5425,台半,106,Y1,3.0,107/06/15,106/01/01~106/12/31,股東會確認,3.0,0.0,0
5426,振發,106,Y1,0.0,107/06/06,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5432,新門,106,Y1,0.0,107/06/08,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5434,崇越,106,Y1,4.2,107/06/11,106/01/01~106/12/31,股東會確認,4.2,0.0,0
5438,東友,106,Y1,1.5,107/06/20,106/01/01~106/12/31,股東會確認,1.5,0.0,0
5439,高技,106,Y1,2.0,107/06/21,106/01/01~106/12/31,股東會確認,2.0,0.0,0
5443,均豪,106,Y1,1.217,107/06/22,106/01/01~106/12/31,股東會確認,1.217,0.0,0
5450,南良,106,Y1,0.0,107/06/26,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5452,佶優,106,Y1,0.0,107/06/20,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5455,昇益,106,Y1,0.0,107/06/14,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5457,宣德,106,Y1,0.0,107/05/31,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5460,同協,106,Y1,0.5,107/06/22,106/01/01~106/12/31,股東會確認,0.5,0.0,0
5464,霖宏,106,Y1,0.0,107/06/21,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5465,富驊,106,Y1,0.0,107/06/13,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5468,凱鈺,106,Y1,0.0,107/06/21,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5469,瀚宇博,106,Y1,0.8,107/06/15,106/01/01~106/12/31,股東會確認,0.8,0.0,0
5471,松翰,106,Y1,1.26,107/06/15,106/01/01~106/12/31,股東會確認,1.26,0.0,0
5474,聰泰,106,Y1,3.3,107/06/12,106/01/01~106/12/31,股東會確認,3.3,0.0,0
5475,德宏,106,Y1,0.0,107/05/29,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5478,智冠,106,Y1,2.0,107/06/14,106/01/01~106/12/31,股東會確認,2.0,0.0,0
5481,新華,106,Y1,0.0,107/05/28,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5483,中美晶,106,Y1,0.0,107/06/26,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5484,慧友,106,Y1,0.0,107/06/14,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5487,通泰,106,Y1,1.0,107/06/20,106/01/01~106/12/31,股東會確認,1.0,0.0,0
5488,松普,106,Y1,0.0,107/06/26,106/01/01~106/12/31,股東會確認,0.0,0.0,0
5489,彩富,106,Y1,1.5,107/06/08,106/01/01~106/12/31,股東會確認,1.5,0.0,0
5490,同亨,106,Y1,1.0,107/06/08,106/01/01~106/12/31,股東會確認,1.0,0.0,0
5493,三聯,106,Y1,1.5628,107/06/15,106/01/01~106/12/31,股東會確認,1.5628,0.0,0
5498,凱崴,106,Y1,0.018,107/06/13,106/01/01~106/12/31,股東會確認,0.018,0.162,26227120
5508,永信建,106,Y1,2.722,107/06/12,106/01/01~106/12/31,股東會確認,2.722,0.0,0
5511,德昌,106,Y1,1.2,107/06/15,106/01/01~106/12/31,股東會確認,1.2,0.0,0
5512,力麒,106,Y1,0.7,107/06/21,106/01/01~106/12/31,股東會確認,0.7,0.0,0
