代號,名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1307,三芳,107,Q1,114/10/29,,2385362.0,1831632.0,0.26
1307,三芳,107,Q3,114/10/29,,7067383.0,5640765.0,0.59
1307,三芳,107,Q4,114/10/29,,9492260.0,7564352.0,0.76
1308,亞聚,107,Q4,114/10/29,,6375134.0,6090668.0,0.52
1308,亞聚,107,Q3,114/10/29,,4488953.0,4306701.0,0.48
1308,亞聚,107,Q2,114/10/29,,2961396.0,2819950.0,0.29
1308,亞聚,107,Q1,114/10/29,,1326214.0,1248416.0,0.16
1309,台達化,107,Q4,114/10/29,,21683702.0,20639959.0,0.63
1309,台達化,107,Q2,114/10/29,,10788137.0,9945162.0,1.17
1309,台達化,107,Q1,114/10/29,,4842167.0,4466915.0,0.58
1309,台達化,107,Q3,114/10/29,,16585574.0,15537431.0,1.17
1310,台苯,107,Q2,114/10/29,,8076162.0,6907983.0,1.4
1310,台苯,107,Q3,114/10/29,,11981852.0,10142676.0,2.2
1310,台苯,107,Q4,114/10/29,,15382654.0,13405660.0,2.3
1310,台苯,107,Q1,114/10/29,,4004442.0,3458303.0,0.75
1312,國喬,107,Q1,114/10/29,,6386708.0,5261882.0,1.08
1312,國喬,107,Q2,114/10/29,,12291297.0,10112383.0,1.96
1312,國喬,107,Q3,114/10/29,,19019410.0,15571342.0,3.0
1312,國喬,107,Q4,114/10/29,,24741138.0,20685790.0,3.26
1313,聯成,107,Q1,114/10/29,,13569504.0,12550060.0,0.37
1313,聯成,107,Q4,114/10/29,,61258498.0,58153633.0,0.59
1313,聯成,107,Q3,114/10/29,,44029802.0,41262027.0,0.68
1313,聯成,107,Q2,114/10/29,,30044450.0,28004862.0,0.46
1314,中石化,107,Q2,114/10/29,,18942433.0,16297625.0,0.86
1314,中石化,107,Q4,114/10/29,,38503121.0,33326959.0,1.59
1314,中石化,107,Q1,114/10/29,,9494452.0,8236559.0,0.41
1314,中石化,107,Q3,114/10/29,,29910755.0,25468679.0,1.47
1315,達新,107,Q3,114/10/29,,1901697.0,1606564.0,1.47
1315,達新,107,Q2,114/10/29,,1175379.0,1011132.0,0.09
1315,達新,107,Q1,114/10/29,,573452.0,491263.0,0.04
1315,達新,107,Q4,114/10/29,,2543342.0,2161263.0,1.2
1316,上曜,107,Q2,114/10/29,,1184595.0,787229.0,1.99
1316,上曜,107,Q3,114/10/29,,1380657.0,945553.0,2.24
1316,上曜,107,Q4,114/10/29,,1522292.0,1075800.0,1.39
1316,上曜,107,Q1,114/10/29,,766579.0,517488.0,1.25
1319,東陽,107,Q1,114/10/29,,6245138.0,4781822.0,0.84
1319,東陽,107,Q2,114/10/29,,12051478.0,9330588.0,1.82
1319,東陽,107,Q3,114/10/29,,17445980.0,13510508.0,2.44
1319,東陽,107,Q4,114/10/29,,23006584.0,17744695.0,3.26
1321,大洋,107,Q3,114/10/29,,3543824.0,3401043.0,0.09
1321,大洋,107,Q4,114/10/29,,4777348.0,4590598.0,0.33
1321,大洋,107,Q2,114/10/29,,2447215.0,2355237.0,0.15
1321,大洋,107,Q1,114/10/29,,1190142.0,1109736.0,0.18
1323,永裕,107,Q2,114/10/29,,1809540.0,1372445.0,1.61
1323,永裕,107,Q3,114/10/29,,2785344.0,2115621.0,2.45
1323,永裕,107,Q1,114/10/29,,825302.0,630073.0,0.67
1323,永裕,107,Q4,114/10/29,,3759197.0,2864593.0,3.32
1324,地球,107,Q4,114/10/29,,1137469.0,959230.0,0.02
1324,地球,107,Q2,114/10/29,,567590.0,473900.0,0.01
1324,地球,107,Q3,114/10/29,,847465.0,708620.0,0.05
1324,地球,107,Q1,114/10/29,,261060.0,221932.0,0.07
1325,恆大,107,Q4,114/10/29,,914449.0,812852.0,0.7
1325,恆大,107,Q2,114/10/29,,447137.0,395471.0,0.38
1325,恆大,107,Q3,114/10/29,,663339.0,587898.0,0.53
1325,恆大,107,Q1,114/10/29,,229124.0,202659.0,0.1
1326,台化,107,Q4,114/10/29,,407859765.0,354287425.0,8.36
1326,台化,107,Q1,114/10/29,,98956552.0,83205670.0,2.22
1326,台化,107,Q3,114/10/29,,306288815.0,260865947.0,8.06
1326,台化,107,Q2,114/10/29,,198653498.0,168716960.0,4.67
1336,台翰,107,Q3,114/10/29,,2075040.0,1757631.0,1.06
1336,台翰,107,Q2,114/10/29,,1269314.0,1084994.0,0.57
1336,台翰,107,Q1,114/10/29,,602809.0,512425.0,0.14
1336,台翰,107,Q4,114/10/29,,2788241.0,2358101.0,1.28
1337,再生-KY,107,Q3,114/10/29,,1052252.0,1183773.0,1.74
1337,再生-KY,107,Q1,114/10/29,,343807.0,386350.0,0.51
1337,再生-KY,107,Q2,114/10/29,,716771.0,801531.0,1.07
1337,再生-KY,107,Q4,114/10/29,,1464797.0,2241085.0,7.02
1338,廣華-KY,107,Q3,114/10/29,,6011677.0,4565203.0,5.23
1338,廣華-KY,107,Q1,114/10/29,,1987165.0,1485360.0,2.26
1338,廣華-KY,107,Q4,114/10/29,,8062421.0,6087675.0,6.51
1338,廣華-KY,107,Q2,114/10/29,,4036378.0,3048630.0,4.02
1339,昭輝,107,Q3,114/10/29,,2091162.0,1583536.0,4.01
1339,昭輝,107,Q2,114/10/29,,1431877.0,1042938.0,3.49
1339,昭輝,107,Q4,114/10/29,,2854734.0,2107793.0,4.15
1339,昭輝,107,Q1,114/10/29,,722810.0,505852.0,0.75
1340,勝悅-KY,107,Q4,114/10/29,,2071989.0,1722629.0,0.97
1340,勝悅-KY,107,Q3,114/10/29,,1741245.0,1384401.0,1.47
1340,勝悅-KY,107,Q1,114/10/29,,490794.0,350479.0,0.58
1340,勝悅-KY,107,Q2,114/10/29,,1239618.0,956425.0,1.38
1341,富林-KY,107,Q4,114/10/29,,2902091.0,2401269.0,3.68
1341,富林-KY,107,Q3,114/10/29,,2134205.0,1783443.0,2.23
1342,八貫,107,Q4,114/10/29,,1331066.0,1008816.0,3.79
1402,遠東新,107,Q4,114/10/29,,228661933.0,184261821.0,2.41
1402,遠東新,107,Q2,114/10/29,,105396469.0,82368563.0,1.48
1402,遠東新,107,Q3,114/10/29,,167195139.0,131908636.0,2.17
1402,遠東新,107,Q1,114/10/29,,51457884.0,40691833.0,0.49
1409,新纖,107,Q1,114/10/29,,,,0.13
1409,新纖,107,Q4,114/10/29,,,,1.52
1409,新纖,107,Q2,114/10/29,,,,0.69
1409,新纖,107,Q3,114/10/29,,,,1.26
1410,南染,107,Q1,114/10/29,,122940.0,75115.0,0.25
1410,南染,107,Q4,114/10/29,,505982.0,310974.0,1.44
1410,南染,107,Q3,114/10/29,,387468.0,237217.0,1.09
1410,南染,107,Q2,114/10/29,,265883.0,161977.0,0.73
1413,宏洲,107,Q1,114/10/29,,901228.0,825495.0,0.39
1413,宏洲,107,Q3,114/10/29,,2717076.0,2498817.0,1.35
1413,宏洲,107,Q2,114/10/29,,1766781.0,1614271.0,1.0
1413,宏洲,107,Q4,114/10/29,,3651036.0,3367592.0,1.83
1414,東和,107,Q3,114/10/29,,744635.0,673927.0,0.17
1414,東和,107,Q1,114/10/29,,261472.0,236287.0,0.02
1414,東和,107,Q4,114/10/29,,974924.0,890439.0,0.17
1414,東和,107,Q2,114/10/29,,505154.0,457950.0,0.07
1416,廣豐,107,Q1,114/10/29,,56620.0,348.0,0.44
1416,廣豐,107,Q4,114/10/29,,271003.0,80922.0,1.35
1416,廣豐,107,Q2,114/10/29,,117677.0,723.0,0.29
1416,廣豐,107,Q3,114/10/29,,212640.0,20931.0,0.26
1417,嘉裕,107,Q3,114/10/29,,1072834.0,909638.0,0.39
1417,嘉裕,107,Q2,114/10/29,,781105.0,663511.0,0.23
1417,嘉裕,107,Q1,114/10/29,,458157.0,396384.0,0.16
1417,嘉裕,107,Q4,114/10/29,,1499660.0,1253558.0,0.61
1418,東華,107,Q4,114/10/29,,653059.0,765179.0,4.01
1418,東華,107,Q2,114/10/29,,434924.0,468676.0,1.77
1418,東華,107,Q1,114/10/29,,154720.0,184042.0,1.11
1418,東華,107,Q3,114/10/29,,574598.0,637162.0,2.82
1419,新紡,107,Q3,114/10/29,,1132303.0,869574.0,0.85
1419,新紡,107,Q4,114/10/29,,1605981.0,1195968.0,0.94
1419,新紡,107,Q1,114/10/29,,345626.0,289822.0,0.19
1419,新紡,107,Q2,114/10/29,,723271.0,572850.0,0.01
1423,利華,107,Q1,114/10/29,,218911.0,207254.0,0.1
1423,利華,107,Q4,114/10/29,,761087.0,683730.0,0.64
1423,利華,107,Q2,114/10/29,,425512.0,391435.0,0.3
1423,利華,107,Q3,114/10/29,,594754.0,532240.0,0.54
1432,大魯閣,107,Q2,114/10/29,,409776.0,81609.0,0.66
1432,大魯閣,107,Q4,114/10/29,,1020869.0,286998.0,1.1
1432,大魯閣,107,Q1,114/10/29,,201861.0,44754.0,0.33
1432,大魯閣,107,Q3,114/10/29,,811455.0,253620.0,0.72
1434,福懋,107,Q2,114/10/29,,22467681.0,19606601.0,0.91
1434,福懋,107,Q4,114/10/29,,44545053.0,39264007.0,2.82
1434,福懋,107,Q3,114/10/29,,33804379.0,29569355.0,2.72
1434,福懋,107,Q1,114/10/29,,10730423.0,9439184.0,0.17
1435,中福,107,Q2,114/10/29,,16596.0,929.0,0.05
1435,中福,107,Q4,114/10/29,,30136.0,1691.0,0.1
1435,中福,107,Q1,114/10/29,,9097.0,625.0,0.04
1435,中福,107,Q3,114/10/29,,23307.0,1344.0,0.02
1436,華友聯,107,Q2,114/10/29,,1027713.0,728786.0,2.18
1436,華友聯,107,Q4,114/10/29,,2621467.0,1912536.0,4.48
1436,華友聯,107,Q1,114/10/29,,631448.0,443623.0,1.52
1436,華友聯,107,Q3,114/10/29,,1664090.0,1207098.0,2.93
1437,勤益控,107,Q2,114/10/29,,308261.0,79358.0,0.76
1437,勤益控,107,Q4,114/10/29,,583070.0,173914.0,1.23
1437,勤益控,107,Q3,114/10/29,,434707.0,117027.0,1.05
1437,勤益控,107,Q1,114/10/29,,176684.0,35700.0,0.44
1438,三地開發,107,Q4,114/10/29,,17.0,53.0,0.12
1438,三地開發,107,Q3,114/10/29,,9.0,47.0,0.04
1438,三地開發,107,Q2,114/10/29,,4.0,44.0,0.03
1438,三地開發,107,Q1,114/10/29,,1.0,41.0,0.02
1439,雋揚,107,Q3,114/10/29,,208223.0,200348.0,0.47
1439,雋揚,107,Q2,114/10/29,,145358.0,139649.0,0.18
1439,雋揚,107,Q1,114/10/29,,65031.0,61984.0,0.03
1439,雋揚,107,Q4,114/10/29,,264022.0,255558.0,0.75
1440,南紡,107,Q3,114/10/29,,18818213.0,16300366.0,0.69
1440,南紡,107,Q2,114/10/29,,12481670.0,10805556.0,0.44
1440,南紡,107,Q1,114/10/29,,6000881.0,5251784.0,0.1
1440,南紡,107,Q4,114/10/29,,24946094.0,22211162.0,0.65
1441,大東,107,Q4,114/10/29,,1624251.0,1668517.0,11.66
1441,大東,107,Q1,114/10/29,,426702.0,411107.0,0.95
1441,大東,107,Q3,114/10/29,,1205666.0,1195849.0,13.69
1441,大東,107,Q2,114/10/29,,869131.0,868566.0,14.56
1442,名軒,107,Q2,114/10/29,,739188.0,508861.0,0.4
1442,名軒,107,Q3,114/10/29,,861493.0,576970.0,0.5
1442,名軒,107,Q1,114/10/29,,482232.0,343300.0,0.27
1442,名軒,107,Q4,114/10/29,,944582.0,669007.0,0.4
1443,立益物流,107,Q1,114/10/29,,278480.0,287336.0,0.25
1443,立益物流,107,Q3,114/10/29,,914987.0,914370.0,2.17
1443,立益物流,107,Q4,114/10/29,,1128161.0,1142162.0,2.38
1443,立益物流,107,Q2,114/10/29,,597889.0,586254.0,0.01
1444,力麗,107,Q3,114/10/29,,9393299.0,8617827.0,0.47
1444,力麗,107,Q2,114/10/29,,6091552.0,5587220.0,0.38
1444,力麗,107,Q4,114/10/29,,12882065.0,11974832.0,0.44
1444,力麗,107,Q1,114/10/29,,2956803.0,2704432.0,0.06
1445,大宇,107,Q4,114/10/29,,1572270.0,1490830.0,0.17
1445,大宇,107,Q3,114/10/29,,1192414.0,1132981.0,0.13
1445,大宇,107,Q1,114/10/29,,374293.0,362701.0,0.11
1445,大宇,107,Q2,114/10/29,,804050.0,766295.0,0.12
1446,宏和,107,Q2,114/10/29,,217990.0,208244.0,0.2
1446,宏和,107,Q1,114/10/29,,71062.0,75671.0,0.23
1446,宏和,107,Q3,114/10/29,,341779.0,324971.0,0.28
1446,宏和,107,Q4,114/10/29,,447125.0,422023.0,0.21
1447,力鵬,107,Q2,114/10/29,,9457406.0,8966385.0,0.42
1447,力鵬,107,Q3,114/10/29,,14013230.0,13328384.0,0.53
1447,力鵬,107,Q1,114/10/29,,4803791.0,4568719.0,0.02
1447,力鵬,107,Q4,114/10/29,,17599267.0,17263518.0,0.19
1449,佳和,107,Q1,114/10/29,,552697.0,554588.0,0.73
1449,佳和,107,Q2,114/10/29,,1184683.0,1168870.0,1.26
1449,佳和,107,Q3,114/10/29,,1810158.0,1744387.0,0.51
1449,佳和,107,Q4,114/10/29,,2459080.0,2320982.0,0.85
1451,年興,107,Q3,114/10/29,,6436105.0,5773461.0,1.4
1451,年興,107,Q2,114/10/29,,4033511.0,3683486.0,0.62
1451,年興,107,Q1,114/10/29,,1749914.0,1658990.0,0.4
1451,年興,107,Q4,114/10/29,,8799524.0,7938257.0,2.03
1452,宏益,107,Q2,114/10/29,,1003964.0,846515.0,0.67
1452,宏益,107,Q1,114/10/29,,532312.0,442690.0,0.38
1452,宏益,107,Q4,114/10/29,,2130850.0,1819600.0,1.47
1452,宏益,107,Q3,114/10/29,,1610675.0,1363699.0,1.24
1453,大將,107,Q1,114/10/29,,2174.0,4210.0,3.94
1453,大將,107,Q3,114/10/29,,27615.0,28137.0,3.97
1453,大將,107,Q4,114/10/29,,28277.0,28755.0,3.74
1453,大將,107,Q2,114/10/29,,20716.0,19873.0,3.93
1454,台富,107,Q4,114/10/29,,1947905.0,1802306.0,0.15
1454,台富,107,Q3,114/10/29,,1458400.0,1334204.0,0.2
1454,台富,107,Q1,114/10/29,,458086.0,423415.0,0.01
1454,台富,107,Q2,114/10/29,,962694.0,870775.0,0.2
1455,集盛,107,Q1,114/10/29,,4112022.0,3867230.0,0.15
1455,集盛,107,Q4,114/10/29,,15832053.0,15355580.0,0.15
1455,集盛,107,Q2,114/10/29,,8097406.0,7674399.0,0.41
1455,集盛,107,Q3,114/10/29,,12015866.0,11441357.0,0.55
1456,怡華,107,Q3,114/10/29,,358157.0,279484.0,0.23
1456,怡華,107,Q4,114/10/29,,474359.0,370214.0,0.13
1456,怡華,107,Q1,114/10/29,,89991.0,63761.0,0.07
1456,怡華,107,Q2,114/10/29,,204335.0,160051.0,0.26
1457,宜進,107,Q2,114/10/29,,2744334.0,2402435.0,1.76
1457,宜進,107,Q4,114/10/29,,5646982.0,4949289.0,2.13
1457,宜進,107,Q1,114/10/29,,1412619.0,1239827.0,1.58
1457,宜進,107,Q3,114/10/29,,4198022.0,3678856.0,1.95
1459,聯發,107,Q1,114/10/29,,876409.0,857633.0,0.07
1459,聯發,107,Q2,114/10/29,,1785401.0,1738628.0,0.43
1459,聯發,107,Q3,114/10/29,,2652455.0,2601362.0,0.34
1459,聯發,107,Q4,114/10/29,,3519248.0,3512866.0,1.18
1460,宏遠,107,Q2,114/10/29,,4527357.0,3718452.0,0.25
1460,宏遠,107,Q3,114/10/29,,6754447.0,5549461.0,0.31
1460,宏遠,107,Q4,114/10/29,,9405379.0,7715556.0,0.33
1460,宏遠,107,Q1,114/10/29,,2370487.0,1936069.0,0.09
1463,強盛新,107,Q4,114/10/29,,972877.0,620503.0,1.62
1463,強盛新,107,Q1,114/10/29,,348121.0,198917.0,0.66
1463,強盛新,107,Q3,114/10/29,,804514.0,501196.0,1.42
1463,強盛新,107,Q2,114/10/29,,610344.0,364439.0,1.09
1464,得力,107,Q1,114/10/29,,2005111.0,1701956.0,0.09
1464,得力,107,Q3,114/10/29,,6557095.0,5524665.0,0.45
1464,得力,107,Q4,114/10/29,,9132401.0,7668062.0,0.61
1464,得力,107,Q2,114/10/29,,4175927.0,3527105.0,0.3
1465,偉全,107,Q4,114/10/29,,697152.0,606604.0,0.12
1465,偉全,107,Q3,114/10/29,,1314810.0,1191208.0,0.04
1465,偉全,107,Q2,114/10/29,,800534.0,737215.0,0.03
