代號,名稱,年度,季別,營業活動之淨現金流入（流出）
6727,亞泰金屬,109,Q4,202835.00
6728,上洋,109,Q1,-96943.00
6728,上洋,109,Q3,98680.00
6728,上洋,109,Q2,-14097.00
6728,上洋,109,Q4,203423.00
6732,昇佳電子,109,Q1,464358.00
6732,昇佳電子,109,Q2,373051.00
6732,昇佳電子,109,Q3,1254096.00
6732,昇佳電子,109,Q4,1881658.00
6733,博晟生醫,109,Q2,-51038.00
6733,博晟生醫,109,Q3,-94781.00
6733,博晟生醫,109,Q4,-117127.00
6735,美達科技,109,Q2,43819.00
6735,美達科技,109,Q4,139401.00
6739,竹陞科技,109,Q4,80772.00
6739,竹陞科技,109,Q2,58306.00
6741,91APP*-KY,109,Q4,382100.00
6742,澤米,109,Q2,8846.00
6742,澤米,109,Q4,71641.00
6743,安普新,109,Q4,-256150.00
6743,安普新,109,Q2,-158066.00
6743,安普新,109,Q3,-245427.00
6747,亨泰光,109,Q3,59984.00
6747,亨泰光,109,Q1,-7975.00
6747,亨泰光,109,Q4,166055.00
6747,亨泰光,109,Q2,3310.00
6751,智聯服務,109,Q1,54806.00
6751,智聯服務,109,Q2,40654.00
6751,智聯服務,109,Q4,150279.00
6751,智聯服務,109,Q3,33354.00
6752,叡揚,109,Q1,10411.00
6752,叡揚,109,Q2,50407.00
6752,叡揚,109,Q4,225620.00
6752,叡揚,109,Q3,121306.00
6753,龍德造船,109,Q4,-189540.00
6753,龍德造船,109,Q2,-352468.00
6754,匯僑設計,109,Q3,100161.00
6754,匯僑設計,109,Q4,281234.00
6754,匯僑設計,109,Q1,96332.00
6754,匯僑設計,109,Q2,-20205.00
6756,威鋒電子,109,Q1,62386.00
6756,威鋒電子,109,Q2,130721.00
6756,威鋒電子,109,Q3,251361.00
6756,威鋒電子,109,Q4,317561.00
6757,台灣虎航,109,Q2,-2190835.00
6757,台灣虎航,109,Q4,-3307509.00
6761,穩得,109,Q4,74131.00
6761,穩得,109,Q2,43240.00
6762,達亞,109,Q2,90384.00
6762,達亞,109,Q3,136603.00
6762,達亞,109,Q4,225805.00
6763,綠界科技*,109,Q4,657523.00
6763,綠界科技*,109,Q2,298973.00
6767,台微醫,109,Q4,-39170.00
6767,台微醫,109,Q2,-31076.00
6767,台微醫,109,Q3,-39400.00
6768,志強-KY,109,Q4,1261038.00
6770,力積電,109,Q4,9638179.00
6770,力積電,109,Q2,4390298.00
6771,平和環保-創,109,Q4,133544.00
