代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1294,漢田生技,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,8058490,4.0,0.0,0.0,3223396
1301,台塑,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,2.4,0.0,0.0,15277777874,0.0,0.0,0.0,0
1301,台塑,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,2.4,0.0,0.0,15277777874,0.0,0.0,0.0,0
1301,台塑,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,2.4,0.0,0.0,15277777874,0.0,0.0,0.0,0
1303,南亞,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,2.4,0.0,0.0,19033971814,0.0,0.0,0.0,0
1303,南亞,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,2.4,0.0,0.0,19033971814,0.0,0.0,0.0,0
1303,南亞,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,2.4,0.0,0.0,19033971814,0.0,0.0,0.0,0
1304,台聚,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,1188763500,0.0,0.0,0.0,0
1304,台聚,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,1188763500,0.0,0.0,0.0,0
1304,台聚,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,1188763500,0.0,0.0,0.0,0
1305,華夏,109,Y1,110/05/28,109/01/01~109/12/31,股東會確認,1.8,0.0,0.0,996086561,0.5,0.0,0.0,27669071
1305,華夏,109,Y1,110/05/28,109/01/01~109/12/31,股東會確認,1.8,0.0,0.0,996086561,0.5,0.0,0.0,27669071
1305,華夏,109,Y1,110/05/28,109/01/01~109/12/31,股東會確認,1.8,0.0,0.0,996086561,0.5,0.0,0.0,27669071
1307,三芳,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.5,0.0,0.0,198909063,0.0,0.0,0.0,0
1307,三芳,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.5,0.0,0.0,198909063,0.0,0.0,0.0,0
1307,三芳,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.5,0.0,0.0,198909063,0.0,0.0,0.0,0
1308,亞聚,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,1.2,0.0,0.0,698522258,0.2,0.0,0.0,11642037
1308,亞聚,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,1.2,0.0,0.0,698522258,0.2,0.0,0.0,11642037
1308,亞聚,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,1.2,0.0,0.0,698522258,0.2,0.0,0.0,11642037
