"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1593 - 祺驊","董事會決議","114年 第2季","114/04/01~114/06/30","1","114/08/07","不適用","        115,139,794","         34,504,444","        149,644,238","        149,644,238","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之，盈餘分派以現金發放者，依公司法規定，由董事會決議辦理。
本公司每年決算如有盈餘，應先提繳稅款，彌補虧損及提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，依法令、本章程所訂程序及下列原則，分派股東股息紅利。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將應分派股息及紅利之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將法定盈餘公積及資本公積之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","無",
"1593 - 祺驊","董事會決議","114年 第1季","114/01/01~114/03/31","1","114/05/08","不適用","        115,139,794","         16,878,008","        132,017,802","        132,017,802","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之，盈餘分派以現金發放者，依公司法規定，由董事會決議辦理。
本公司每年決算如有盈餘，應先提繳稅款，彌補虧損及提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，依法令、本章程所訂程序及下列原則，分派股東股息紅利。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將應分派股息及紅利之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將法定盈餘公積及資本公積之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","無",
"1595 - 川寶","董事會決議","114年 年度","114/01/01~114/12/31","1","115/03/11","不適用","      1,143,810,950","       -105,504,203","      1,035,421,293","      1,008,438,053","0.50000000","0.0","0.0","         26,983,240","0.0","0.0","0.0","                  0","本公司年度決算如有盈餘，依法繳納稅捐，
彌補累積虧損後，再提百分之十為法定盈餘公積，
但法定盈餘公積已達本公司實收資本額時，得不再
提列，其餘再依法令規定提列或迴轉特別盈餘公
積；如尚有餘額，併同累積未分配盈餘，由董事會
擬具盈餘分配議案，以發行新股方式為之時，應提
請股東會決議後分派之。
本公司分派股息及紅利或法定盈餘公積及資本公積
之全部或一部，如以發放現金之方式為之，得授權
董事會以三分之二以上董事之出席，及出席董事過
半數同意後為之，並報告股東會。","無",
"1599 - 宏佳騰","董事會決議","114年 年度","114/01/01~114/12/31","1","115/03/12","不適用","        570,616,418","        -61,163,742","        482,727,019","        446,712,637","0.50000000","0.0","0.0","         36,014,382","0.0","0.0","0.0","                  0","本公司每年度決算如有盈餘時，應依法提繳稅捐、彌補虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達公司資本總額時，不在此限。另依相關法令規定提列或迴轉特別盈餘公積，剩餘部分併同期初未分配盈餘為股東累積可分配盈餘，由董事會擬定盈餘分配案提請股東會決議分配之。 本公司授權董事會以三分之二以上董事之出席，及出席董事過半數同意之決議，將應分派股息及紅利之全部或一部份，以發放現金之方式為之，並報告股東會。不適用本章程條文有關股東會決議之規定。","無",
"1742 - 台蠟","股東會確認","114年 年度","114/01/01~114/12/31","1","115/03/10","115/05/25","        154,322,686","       -100,497,889","         53,824,797","                  0","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司應依當年度獲利情況，提撥不低於百分之一為員工酬勞（其中應提撥0.5%為基層員工分派酬勞），以及不高於百分之三為董事酬勞。但公司尚有累積虧損時，應預先保留彌補數額。員工酬勞得以股票或現金為之，且發給股票或現金之對象，得包括符合一定條件之從屬公司員工。","",
"1777 - 生泰","董事會決議","114年 年度","114/01/01~114/12/31","1","115/02/23","不適用","        620,848,138","        261,609,382","        860,603,366","        682,236,514","4.00000000","0.0","0.0","        178,366,852","0.0","0.0","0.0","                  0","本公司考量產業環境多變及企業之成長性，因應未來資金需求及長期規劃，
並滿足股東對現金流入之需求，本公司決算後如有盈餘，依下列順序分派之：
1.提繳稅捐。
2.彌補虧損。
3.提列百分之十為法定盈餘公積。但法定盈餘公積已達實收資本額時，
不在此限。
4.必要時提列或迴轉特別盈餘公積。
5.餘額併同上一年度累積未分配盈餘為累積可分配盈餘，由董事會擬具
盈餘分配議案，送交股東會決議分配股東紅利。
本公司授權董事會以董事三分之二以上之出席及出席董事過半數同意之
決議，將應分派股息及紅利、法定盈餘公積及資本公積之全部或一部，
以發放現金方式為之，並報告股東會；採發行新股方式為之時，應提請
股東會決議分派之。
董事會擬具之盈餘分配議案，應提撥至少百分之十之累積可分配盈餘為
股東紅利，其中現金股利不得低於股利總數百分之二十，但現金股利每
股若低於0.2元，得經股東會決議，改以股票股利發放。","無",
"1780 - 立弘","股東會確認","114年 年度","114/01/01~114/12/31","1","115/02/09","115/05/20","         40,581,485","        129,456,323","        158,150,856","         37,846,890","1.25000000","0.0","0.0","        120,303,966","0.0","0.0","0.0","                  0","摘錄公司章程文字：本公司每年度如有獲利，應先提撥不高於百分之三作為董事酬勞，提撥百分之三至百分之八之間作為員工酬勞。但公司尚有累積虧損時，應預先保留彌補數額。當期決算如有盈餘，依法繳納稅捐後，應先彌補虧損，次就其餘額提存百分之十為法定盈餘公積，但法定盈餘公積累積已達本公司資本總額時，不在此限。","",
"1781 - 合世","股東會確認","114年 年度","114/01/01~114/12/31","1","115/03/13","115/06/12","        -87,995,059","        -61,666,203","       -149,843,205","       -149,843,205","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司應以當年度獲利狀況之百分之一至百分之十分派員工酬勞及應以不高於當年度獲利狀況之百分之三分派董事酬勞；其員工酬勞數額中，應提撥不低於百分之二十為基層員工分派酬勞。但公司尚有累積虧損時，應予彌補。
前項所稱之當年度獲利狀況係指當年度稅前利益扣除分派員工酬勞及董事、酬勞前之利益。
員工酬勞及董事酬勞之分派應由董事會以董事三分之二以上之出席及出席董事過半數同意之決議行之，並報告股東會。","",
"1784 - 訊聯","董事會決議","114年 下半年","114/07/01~114/12/31","1","115/03/04","不適用","                  0","         51,426,446","         45,772,415","                  0","0.87236746","0.0","0.0","         45,772,415","0.0","0.0","0.0","                  0","股利分派條次：第二十條之一公司章程連結網址：https://www.bionetcorp.com/article?ac_id=32&amp;ac_sub_id=35&amp;a_id=39","無",
"1784 - 訊聯","董事會決議","114年 上半年","114/01/01~114/06/30","1","114/08/07","不適用","                  0","          3,777,745","          3,777,745","          3,777,745","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","第二十條之一：
本公司盈餘分派或虧損撥補得於每半會計年度終了後為之，每半會計年度決算如有盈餘，應先提繳稅捐、彌補累積虧損(包括調整未分配盈餘金額)、預估保留員工酬勞及董事酬勞、次提百分之十為法定盈餘公積；但法定盈餘公積累積已達本公司資本總額時，不在此限。並依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，其餘額加計上半會計年度累計未分配盈餘數為股東紅利，由董事會擬具分派議案，以發行新股方式為之時，應提請股東會決議後分派之；以現金方式為之時，應經董事會決議。
本公司年度總決算如有盈餘，應先提繳稅捐、彌補累積虧損(包括調整未分配盈餘金額)、次提撥百分之十為法定盈餘公積，但法定盈餘公積累積已達本公司資本總額時，不在此限。並依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，其餘額加計上半會計年度累計未分配盈餘數為股東紅利，由董事會擬具分派議案，以發行新股方式為之時，應提請股東會決議後分派之。
本公司依公司法第二百四十條第五項規定，授權董事會以三分之二以上董事之出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發放現金之方式為之，並報告股東會。","董事會決議114年上半年度不分配股利。",
