出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","110","2","2064","晉椿","1287425.00","1154180.00","--","--","133245.00","0.00","--","133245.00","64748.00","--","68497.00","-23492.00","45005.00","573.00","44432.00","--","--","44432.00","-5781.00","--","38651.00","44475.00","--","-43.00","38707.00","--","-56.00","0.64"
"114/10/28","110","2","2065","世豐","1451395.00","1196412.00","--","--","254983.00","--","--","254983.00","102062.00","--","152921.00","-11113.00","141808.00","29193.00","112615.00","--","--","112615.00","24962.00","--","137577.00","112615.00","0.00","0.00","137577.00","0.00","0.00","2.48"
"114/10/28","110","2","2066","世德","1176947.00","865586.00","--","--","311361.00","--","--","311361.00","239736.00","--","71625.00","-8174.00","63451.00","11270.00","52181.00","--","--","52181.00","-8262.00","--","43919.00","51234.00","--","947.00","47480.00","--","-3561.00","1.43"
"114/10/28","110","2","2067","嘉鋼","475413.00","387227.00","--","--","88186.00","--","--","88186.00","84710.00","--","3476.00","1708.00","5184.00","2803.00","2381.00","--","--","2381.00","-2837.00","--","-456.00","2104.00","--","277.00","-415.00","--","-41.00","0.05"
"114/10/28","110","2","2070","精湛","280026.00","152479.00","--","--","127547.00","--","--","127547.00","83800.00","--","43747.00","-3989.00","39758.00","6946.00","32812.00","--","--","32812.00","-1945.00","--","30867.00","32812.00","--","--","30867.00","--","--","0.92"
"114/10/28","110","2","2073","雄順","303381.00","205160.00","--","--","98221.00","--","--","98221.00","39680.00","--","58541.00","-1485.00","57056.00","11429.00","45627.00","--","--","45627.00","189.00","--","45816.00","--","--","--","--","--","--","1.87"
"114/10/28","110","2","2221","大甲","654814.00","506098.00","--","--","148716.00","--","--","148716.00","62447.00","--","86269.00","-6764.00","79505.00","15880.00","63625.00","--","--","63625.00","-1032.00","--","62593.00","57467.00","--","6158.00","56435.00","0.00","6158.00","1.36"
"114/10/28","110","2","2230","泰茂","297462.00","252500.00","--","--","44962.00","--","--","44962.00","40055.00","-48.00","4859.00","-3870.00","989.00","210.00","779.00","--","--","779.00","-4621.00","--","-3842.00","596.00","--","183.00","-3573.00","--","-269.00","0.01"
"114/10/28","110","2","2235","謚源","314738.00","245501.00","--","--","69237.00","0.00","0.00","69237.00","39549.00","--","29688.00","-5408.00","24280.00","5092.00","19188.00","--","--","19188.00","0.00","0.00","19188.00","--","--","--","--","--","--","0.53"
"114/10/28","110","2","2596","綠意","374400.00","278342.00","--","--","96058.00","--","--","96058.00","48456.00","--","47602.00","2555.00","50157.00","5399.00","44758.00","--","--","44758.00","--","--","44758.00","46431.00","--","-1673.00","46431.00","--","-1673.00","0.46"
"114/10/28","110","2","2640","大車隊","1012934.00","544146.00","--","--","468788.00","--","--","468788.00","313267.00","--","155521.00","-7496.00","148025.00","33841.00","114184.00","--","--","114184.00","0.00","--","114184.00","114144.00","--","40.00","114144.00","--","40.00","2.02"
"114/10/28","110","2","2641","正德","488960.00","350489.00","--","--","138471.00","--","--","138471.00","35823.00","--","102648.00","-2551.00","100097.00","0.00","100097.00","--","--","100097.00","-47912.00","--","52185.00","100097.00","--","--","52185.00","--","--","0.66"
"114/10/28","110","2","2643","捷迅","2202202.00","1970002.00","--","--","232200.00","--","--","232200.00","96757.00","--","135443.00","832.00","136275.00","27329.00","108946.00","--","--","108946.00","-15449.00","--","93497.00","108946.00","--","--","93497.00","--","--","3.63"
"114/10/28","110","2","2718","全心投控","23279.00","22161.00","--","--","1118.00","--","--","1118.00","17098.00","--","-15980.00","1467.00","-14513.00","97.00","-14610.00","0.00","--","-14610.00","-3120.00","--","-17730.00","-14610.00","--","--","-17730.00","--","--","-0.21"
"114/10/28","110","2","2719","燦星旅","19716.00","16762.00","--","--","2954.00","--","--","2954.00","36200.00","0.00","-33246.00","4817.00","-28429.00","-12.00","-28417.00","--","--","-28417.00","--","--","-28417.00","-28417.00","--","--","-28417.00","--","--","-0.89"
"114/10/28","110","2","2724","藝舍-KY","40534.00","17294.00","--","--","23240.00","--","--","23240.00","33920.00","--","-10680.00","-7684.00","-18364.00","349.00","-18713.00","--","--","-18713.00","-576.00","--","-19289.00","-18713.00","--","--","-19289.00","--","--","-0.25"
"114/10/28","110","2","2726","雅茗-KY","809225.00","420974.00","--","--","388251.00","--","--","388251.00","374423.00","--","13828.00","16625.00","30453.00","13947.00","16506.00","--","--","16506.00","-17057.00","--","-551.00","18242.00","--","-1736.00","1851.00","--","-2402.00","0.51"
"114/10/28","110","2","2729","瓦城","2192716.00","1066501.00","--","--","1126215.00","--","--","1126215.00","985823.00","--","140392.00","-6991.00","133401.00","28291.00","105110.00","--","--","105110.00","1282.00","--","106392.00","105110.00","--","0.00","106392.00","--","0.00","4.59"
"114/10/28","110","2","2732","六角","2048419.00","1218037.00","--","--","830382.00","0.00","1819.00","832201.00","787808.00","24737.00","69130.00","-7420.00","61710.00","21995.00","39715.00","--","--","39715.00","-14689.00","--","25026.00","42888.00","--","-3173.00","34219.00","--","-9193.00","0.99"
"114/10/28","110","2","2734","易飛網","118549.00","93785.00","--","--","24764.00","--","--","24764.00","62597.00","--","-37833.00","14638.00","-23195.00","8.00","-23203.00","--","--","-23203.00","-56.00","--","-23259.00","-23180.00","--","-23.00","-23236.00","--","-23.00","-0.77"
"114/10/28","110","2","2736","富野","260437.00","124652.00","--","--","135785.00","--","--","135785.00","149202.00","--","-13417.00","5117.00","-8300.00","3425.00","-11725.00","--","--","-11725.00","-45003.00","--","-56728.00","-11725.00","--","--","-56728.00","--","--","-0.24"
"114/10/28","110","2","2740","天蔥","63916.00","36304.00","--","--","27612.00","--","--","27612.00","50735.00","--","-23123.00","6234.00","-16889.00","0.00","-16889.00","--","--","-16889.00","1028.00","--","-15861.00","-16889.00","--","--","-15861.00","--","--","-1.28"
"114/10/28","110","2","2743","山富","128006.00","100324.00","--","--","27682.00","--","--","27682.00","76522.00","--","-48840.00","24316.00","-24524.00","-1069.00","-23455.00","--","--","-23455.00","--","--","-23455.00","-23455.00","--","--","-23455.00","--","--","-0.73"
"114/10/28","110","2","2745","五福","73684.00","62829.00","--","--","10855.00","--","--","10855.00","91955.00","--","-81100.00","12795.00","-68305.00","0.00","-68305.00","--","--","-68305.00","--","--","-68305.00","-68305.00","--","--","-68305.00","--","--","-2.33"
"114/10/28","110","2","2751","王座","359482.00","227121.00","--","--","132361.00","--","--","132361.00","192158.00","9027.00","-50770.00","947.00","-49823.00","--","-49823.00","--","--","-49823.00","-252.00","--","-50075.00","-49823.00","--","--","-50075.00","--","--","-2.93"
