出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","2","3346","麗清","3071885.00","477362.00","3549247.00","1529239.00","777713.00","2306952.00","682840.00","327299.00","346419.00","-114263.00","--","1242295.00","--","--","--","1242295.00","--","0.00","0.00","18.19"
"114/11/30","106","2","3356","奇偶","2303933.00","287942.00","2591875.00","1021577.00","0.00","1021577.00","887473.00","193007.00","500409.00","-20766.00","0.00","1560123.00","--","--","10175.00","1570298.00","0.00","0.00","0.00","20.19"
"114/11/30","106","2","3376","新日興","8355156.00","7267422.00","15622578.00","3932396.00","220392.00","4152788.00","1787253.00","2965046.00","6957737.00","-240246.00","--","11469790.00","--","--","--","11469790.00","--","0.00","0.00","64.18"
"114/11/30","106","2","3380","明泰","11498141.00","2614483.00","14112624.00","5377561.00","424628.00","5802189.00","4344697.00","2144447.00","2142631.00","-317844.00","-3496.00","8310435.00","--","--","--","8310435.00","--","0.00","210000.00","19.14"
"114/11/30","106","2","3406","玉晶光","3490232.00","7297765.00","10787997.00","3892068.00","487739.00","4379807.00","997711.00","5375773.00","156059.00","-180589.00","--","6348954.00","--","--","59236.00","6408190.00","0.00","0.00","0.00","63.64"
"114/11/30","106","2","3413","京鼎","4586872.00","1245967.00","5832839.00","2733179.00","49146.00","2782325.00","787500.00","780288.00","1318742.00","163984.00","--","3050514.00","--","--","--","3050514.00","0.00","0.00","0.00","40.67"
"114/11/30","106","2","3416","融程電","1364756.00","585091.00","1949847.00","450502.00","2822.00","453324.00","601815.00","596171.00","294889.00","3648.00","--","1496523.00","--","--","0.00","1496523.00","0.00","0.00","0.00","24.87"
"114/11/30","106","2","3419","譁裕","1550231.00","788200.00","2338431.00","701080.00","16668.00","717748.00","1204804.00","311825.00","132535.00","-39002.00","0.00","1610162.00","--","--","10521.00","1620683.00","15000.00","0.00","0.00","13.37"
"114/11/30","106","2","3432","台端","1269404.00","484281.00","1753685.00","268772.00","138220.00","406992.00","665860.00","376889.00","357632.00","-53688.00","--","1346693.00","--","--","--","1346693.00","--","0.00","0.00","20.22"
"114/11/30","106","2","3437","榮創","3929487.00","1250068.00","5179555.00","1926239.00","2091.00","1928330.00","1494500.00","969040.00","954012.00","3974.00","-170301.00","3251225.00","--","--","--","3251225.00","0.00","0.00","5000000.00","22.51"
"114/11/30","106","2","3443","創意","6170163.00","632499.00","6802662.00","3223876.00","65693.00","3289569.00","1340119.00","29853.00","2151909.00","-8788.00","--","3513093.00","--","--","--","3513093.00","--","0.00","0.00","26.21"
"114/11/30","106","2","3447","展達","2893766.00","493875.00","3387641.00","2179324.00","431.00","2179755.00","916186.00","103523.00","167152.00","21025.00","--","1207886.00","--","--","--","1207886.00","0.00","0.00","0.00","14.62"
"114/11/30","106","2","3450","聯鈞","5306368.00","2735572.00","8041940.00","2928011.00","244926.00","3172937.00","1324376.00","447448.00","1667589.00","-30984.00","--","3408429.00","--","--","1460574.00","4869003.00","--","0.00","0.00","30.88"
"114/11/30","106","2","3454","晶睿","3561812.00","949282.00","4511094.00","1776396.00","71016.00","1847412.00","819181.00","483806.00","1240067.00","-5331.00","0.00","2537723.00","0.00","--","125959.00","2663682.00","--","0.00","0.00","31.75"
"114/11/30","106","2","3481","群創","148401881.00","234681171.00","383083052.00","131742994.00","2309171.00","134052165.00","99520720.00","99646905.00","53237001.00","-3373739.00","--","249030887.00","--","--","--","249030887.00","0.00","0.00","0.00","25.02"
"114/11/30","106","2","3494","誠研","1643279.00","2586652.00","4229931.00","1020027.00","709542.00","1729569.00","1794506.00","573554.00","-206391.00","-52270.00","0.00","2109399.00","--","--","390963.00","2500362.00","0.00","0.00","0.00","11.75"
"114/11/30","106","2","3501","維熹","4952626.00","2569771.00","7522397.00","1899692.00","351662.00","2251354.00","1182579.00","1745758.00","2557162.00","-202825.00","--","5282674.00","--","--","-11631.00","5271043.00","0.00","0.00","0.00","44.67"
"114/11/30","106","2","3504","揚明光","2887706.00","2235182.00","5122888.00","1681727.00","56753.00","1738480.00","1140598.00","1648711.00","712671.00","-122321.00","--","3379659.00","--","--","4749.00","3384408.00","0.00","0.00","0.00","29.63"
"114/11/30","106","2","3515","華擎","8843313.00","347628.00","9190941.00","3814692.00","16454.00","3831146.00","1150416.00","2811758.00","1648072.00","-223681.00","--","5386565.00","--","--","-26770.00","5359795.00","0.00","0.00","0.00","46.82"
"114/11/30","106","2","3518","柏騰","1381544.00","1268265.00","2649809.00","504132.00","32997.00","537129.00","807072.00","1445313.00","38994.00","-124180.00","-54529.00","2112670.00","--","--","10.00","2112680.00","--","0.00","1769000.00","26.76"
"114/11/30","106","2","3528","安馳","2323835.00","144088.00","2467923.00","1117431.00","18178.00","1135609.00","637678.00","254568.00","401797.00","38271.00","0.00","--","--","--","--","1332314.00","0.00","0.00","0.00","21.10"
"114/11/30","106","2","3530","晶相光","860472.00","303730.00","1164202.00","335041.00","0.00","335041.00","675269.00","36349.00","117516.00","27.00","--","829161.00","--","--","--","829161.00","--","0.00","0.00","12.28"
"114/11/30","106","2","3532","台勝科","10061851.00","12461707.00","22523558.00","1856850.00","359335.00","2216185.00","7756966.00","5739080.00","6791973.00","19354.00","--","20307373.00","--","--","--","20307373.00","--","0.00","0.00","26.18"
"114/11/30","106","2","3533","嘉澤","6902743.00","3509069.00","10411812.00","2608806.00","40584.00","2649390.00","934779.00","2383441.00","4656129.00","-290439.00","0.00","7683910.00","--","--","78512.00","7762422.00","0.00","0.00","0.00","82.20"
"114/11/30","106","2","3535","晶彩科","1382610.00","499880.00","1882490.00","850301.00","188183.00","1038484.00","790523.00","98490.00","-40977.00","-4030.00","--","844006.00","--","--","--","844006.00","--","0.00","0.00","10.68"
"114/11/30","106","2","3543","州巧","4079775.00","1369139.00","5448914.00","1945456.00","269464.00","2214920.00","814361.00","1792345.00","889670.00","-237520.00","-24862.00","3233994.00","--","--","0.00","3233994.00","0.00","0.00","2000000.00","40.71"
"114/11/30","106","2","3545","敦泰","8842668.00","5441578.00","14284246.00","3021066.00","340285.00","3361351.00","2971581.00","6652998.00","1341288.00","86138.00","-134976.00","10917029.00","--","--","5866.00","10922895.00","--","0.00","4516000.00","37.31"
"114/11/30","106","2","3550","聯穎","3058506.00","474256.00","3532762.00","1113706.00","457346.00","1571052.00","850000.00","426592.00","822882.00","-210552.00","--","1888922.00","--","--","72788.00","1961710.00","0.00","0.00","0.00","22.22"
"114/11/30","106","2","3557","嘉威","363712.00","424942.00","788654.00","70462.00","759.00","71221.00","1432470.00","4908.00","-719945.00","--","--","717433.00","--","--","0.00","717433.00","--","0.00","0.00","5.01"
"114/11/30","106","2","3563","牧德","1346357.00","253487.00","1599844.00","508933.00","8753.00","517686.00","426082.00","59489.00","546708.00","-3246.00","0.00","1029033.00","--","--","53125.00","1082158.00","0.00","0.00","0.00","24.15"
"114/11/30","106","2","3576","聯合再生","15845769.00","19563815.00","35409584.00","13253713.00","7576858.00","20830571.00","10175097.00","6023103.00","-1863211.00","-384235.00","0.00","13950754.00","0.00","--","628259.00","14579013.00","0.00","0.00","0.00","13.71"
"114/11/30","106","2","3583","辛耘","1893247.00","1442279.00","3335526.00","993177.00","334428.00","1327605.00","811390.00","521480.00","726720.00","-6020.00","-45649.00","2007921.00","--","--","--","2007921.00","--","0.00","811000.00","25.00"
"114/11/30","106","2","3588","通嘉","1040549.00","464033.00","1504582.00","294519.00","15671.00","310190.00","474092.00","344687.00","408220.00","-32607.00","0.00","1194392.00","--","--","0.00","1194392.00","0.00","0.00","0.00","25.19"
"114/11/30","106","2","3591","艾笛森","1945914.00","2234549.00","4180463.00","831975.00","71080.00","903055.00","1323544.00","2182305.00","-49535.00","-123932.00","-205401.00","3126981.00","0.00","--","150427.00","3277408.00","0.00","0.00","9500000.00","25.45"
"114/11/30","106","2","3592","瑞鼎","5959657.00","543236.00","6502893.00","2764813.00","10023.00","2774836.00","722300.00","623401.00","2832400.00","3012.00","-453056.00","3728057.00","--","--","--","3728057.00","0.00","0.00","8266574.00","58.28"
"114/11/30","106","2","3593","力銘","543335.00","1116105.00","1659440.00","865755.00","163141.00","1028896.00","1127431.00","0.00","-525052.00","28165.00","0.00","630544.00","--","--","--","630544.00","0.00","0.00","0.00","5.59"
"114/11/30","106","2","3596","智易","13249742.00","2810496.00","16060238.00","7403589.00","134120.00","7537709.00","1891190.00","2656103.00","3709158.00","-113510.00","--","8142941.00","--","--","379588.00","8522529.00","--","0.00","0.00","43.06"
"114/11/30","106","2","3605","宏致","4131949.00","2850474.00","6982423.00","1801302.00","1095140.00","2896442.00","1233559.00","483695.00","2262110.00","-68345.00","-40733.00","3870286.00","--","--","215695.00","4085981.00","0.00","0.00","960000.00","31.62"
"114/11/30","106","2","3607","谷崧","5930178.00","4148308.00","10078486.00","2638711.00","2088127.00","4726838.00","1216622.00","2749231.00","1464196.00","-262457.00","0.00","5167592.00","--","--","184056.00","5351648.00","--","0.00","0.00","42.47"
"114/11/30","106","2","3617","碩天","5025937.00","3421152.00","8447089.00","3679260.00","829936.00","4509196.00","809510.00","1398242.00","1820409.00","-77966.00","--","3950195.00","--","--","-12302.00","3937893.00","--","0.00","0.00","48.80"
"114/11/30","106","2","3622","洋華","2929702.00","1709523.00","4639225.00","579783.00","25757.00","605540.00","1513276.00","2335828.00","-67598.00","223754.00","--","4005260.00","--","--","28425.00","4033685.00","--","0.00","0.00","26.47"
"114/11/30","106","2","3645","達邁","1352184.00","2179232.00","3531416.00","801866.00","619438.00","1421304.00","1232576.00","389054.00","470481.00","-1389.00","--","2090722.00","--","--","19390.00","2110112.00","--","0.00","0.00","16.96"
