出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/12","114","3","6720","久昌","976800.00","214833.00","1191633.00","221925.00","57324.00","279249.00","301796.00","--","534689.00","117181.00","-8303.00","-32979.00","912384.00","--","--","0.00","912384.00","--","43500.00","250000.00","30.58"
"114/11/12","114","3","6727","亞泰金屬","2948665.00","704299.00","3652964.00","2242740.00","88687.00","2331427.00","268842.00","--","394221.00","666063.00","-7589.00","--","1321537.00","--","--","--","1321537.00","--","0.00","0.00","49.16"
"114/11/12","114","3","6732","昇佳電子","3721760.00","1666963.00","5388723.00","1123690.00","111212.00","1234902.00","489126.00","--","2202370.00","1402194.00","60131.00","--","--","--","--","--","4153821.00","--","0.00","0.00","84.92"
"114/11/12","114","3","6733","博晟生醫","650656.00","187877.00","838533.00","34714.00","24185.00","58899.00","1243560.00","--","-273.00","-461666.00","-20115.00","--","761506.00","--","--","18128.00","779634.00","0.00","0.00","0.00","6.12"
"114/11/12","114","3","6735","美達科技","617311.00","417254.00","1034565.00","115011.00","1.00","115012.00","461823.00","--","341234.00","113749.00","2747.00","--","919553.00","--","--","--","919553.00","0.00","0.00","0.00","19.91"
"114/11/12","114","3","6739","竹陞科技","697835.00","392886.00","1090721.00","208578.00","1330.00","209908.00","232613.00","--","370099.00","283672.00","-2458.00","-3113.00","880813.00","--","--","--","880813.00","0.00","0.00","57000.00","37.96"
"114/11/12","114","3","6747","亨泰光","711863.00","776981.00","1488844.00","275013.00","56669.00","331682.00","272000.00","--","407341.00","464367.00","150324.00","-138548.00","1155484.00","--","--","1678.00","1157162.00","--","0.00","692740.00","43.59"
"114/11/12","114","3","6751","智聯服務","682586.00","663332.00","1345918.00","302671.00","33690.00","336361.00","222000.00","--","598772.00","155859.00","-21051.00","--","955580.00","--","--","53977.00","1009557.00","--","0.00","0.00","43.04"
"114/11/12","114","3","6752","叡揚","1182204.00","1377031.00","2559235.00","1038205.00","192593.00","1230798.00","371441.00","--","138303.00","735185.00","67542.00","--","1312471.00","--","--","15966.00","1328437.00","--","0.00","0.00","35.33"
"114/11/12","114","3","6761","穩得","1493211.00","1030339.00","2523550.00","636883.00","162064.00","798947.00","349559.00","--","900918.00","501780.00","-12056.00","-15598.00","1724603.00","--","--","--","1724603.00","0.00","0.00","174000.00","49.58"
"114/11/12","114","3","6762","達亞","499594.00","2354323.00","2853917.00","931090.00","609307.00","1540397.00","351717.00","--","665467.00","296336.00","0.00","--","--","--","--","--","1313520.00","0.00","0.00","0.00","37.35"
"114/11/12","114","3","6767","台微醫","505756.00","210566.00","716322.00","43999.00","79995.00","123994.00","391836.00","--","325191.00","-124664.00","-35.00","--","592328.00","--","--","--","592328.00","--","0.00","0.00","15.12"
"114/11/12","114","3","6785","昱展新藥","2378873.00","136640.00","2515513.00","89790.00","4796.00","94586.00","668000.00","--","1578777.00","174150.00","--","--","--","--","--","--","2420927.00","--","0.00","0.00","36.24"
"114/11/12","114","3","6788","華景電","2971295.00","743648.00","3714943.00","944367.00","209921.00","1154288.00","387397.00","--","1209373.00","981840.00","-27567.00","--","2551043.00","--","--","9612.00","2560655.00","0.00","0.00","0.00","65.85"
"114/11/12","114","3","6791","虎門科技","585722.00","198263.00","783985.00","244832.00","29420.00","274252.00","208470.00","--","116177.00","148757.00","0.00","--","473404.00","--","--","36329.00","509733.00","--","0.00","0.00","22.71"
