股票代號,股票名稱,收盤價,收盤日,配股方式,近一年股利,近一年股利值利率,115現金股利,114現金股利,113現金股利,112現金股利,111現金股利,110現金股利,109現金股利,108現金股利,107現金股利,115殖利率,114殖利率,113殖利率,112殖利率,111殖利率,110殖利率,109殖利率,108殖利率,107殖利率,115ROE,114ROE,113ROE,112ROE,111ROE,110ROE,109ROE,108ROE,107ROE,115EPS_年度,114EPS_年度,113EPS_年度,112EPS_年度,111EPS_年度,110EPS_年度,109EPS_年度,108EPS_年度,107EPS_年度,近3年平均股息,近5年平均股息,近8年平均股息,近3年平均殖利率,近5年平均殖利率,近8年平均殖利率,近3年平均ROE,近5年平均ROE,近8年平均ROE,近3年平均配息率,近5年平均配息率,近8年平均配息率,114Q4_EPS,114Q3_EPS,114Q2_EPS,114Q1_EPS,113Q4_EPS,113Q3_EPS,113Q2_EPS,113Q1_EPS,114Q4_vs_113Q4_EPS差率,114Q3_vs_113Q3_EPS差率,114Q2_vs_113Q2_EPS差率,114Q1_vs_113Q1_EPS差率,近四季EPS總合,近四季_vs_前年度_EPS差率
1229,聯華,42.5,2026-04-24,季配,1.8,4.24,,1.8,1.3,1.3,1.3,1.8,1.7,1.6,1.6,,4.24,3.06,3.06,3.06,4.24,4.0,3.76,3.76,,7.32,6.99,8.04,8.81,9.41,8.53,10.11,9.91,,2.57,2.46,2.64,2.63,2.92,2.43,2.51,2.35,1.47,1.5,1.55,3.45,3.53,3.65,7.45,8.11,8.64,57.38,56.64,60.62,2.57,2.0,1.29,0.55,2.46,1.88,1.44,0.7,4.47,6.38,-10.42,-21.43,2.57,4.47
1231,聯華食,86.9,2026-04-24,年配,1.5,1.73,,1.5,1.6,1.6,1.6,1.5,1.6,1.6,1.8,,1.73,1.84,1.84,1.84,1.73,1.84,1.84,2.07,,16.47,18.57,17.71,17.89,18.85,17.76,14.8,16.5,,3.81,4.22,3.93,3.89,4.03,3.74,3.0,3.26,1.57,1.56,1.6,1.8,1.8,1.84,17.58,17.9,17.32,39.33,39.27,43.46,3.81,2.24,1.3,0.46,4.22,2.71,2.05,1.18,-9.72,-17.34,-36.59,-61.02,3.81,-9.72
1232,大統益,149.0,2026-04-24,年配,7.2,4.83,,7.2,7.0,6.6,6.0,6.0,6.0,5.0,5.0,,4.83,4.7,4.43,4.03,4.03,4.03,3.36,3.36,,23.06,24.06,23.17,24.79,26.54,30.15,24.75,23.85,,8.25,8.24,7.53,7.66,7.76,8.08,6.09,5.67,6.93,6.56,6.1,4.65,4.4,4.1,23.43,24.32,25.05,86.62,83.1,82.51,8.25,5.84,3.93,1.93,8.24,6.02,4.42,1.76,0.12,-2.99,-11.09,9.66,8.25,0.12
1233,天仁,28.6,2026-04-24,年配,0.2,0.7,,0.2,0.95,0.9,0.85,0.7999999999999999,0.8,1.6,1.9,,0.7,3.32,3.15,2.97,2.8,2.8,5.59,6.64,,4.81,5.93,6.44,3.5,2.93,3.68,9.73,11.24,,0.75,0.97,1.06,0.57,0.48,0.63,1.73,1.93,0.68,0.74,1.0,2.39,2.59,3.5,5.73,4.72,6.03,69.84,105.06,105.4,0.75,0.55,0.41,0.27,0.97,0.72,0.6,0.37,-22.68,-23.61,-31.67,-27.03,0.75,-22.68
1234,黑松,35.45,2026-04-24,年配,1.65,4.65,,1.65,1.9,1.9,1.8,1.7,1.8,1.7,1.6,,4.65,5.36,5.36,5.08,4.8,5.08,4.8,4.51,,4.27,5.06,5.13,4.86,4.4,4.95,4.77,3.96,,2.0,2.36,2.36,2.21,1.98,2.22,2.11,1.73,1.82,1.79,1.76,5.12,5.05,4.96,4.82,4.74,4.68,81.17,82.17,83.12,2.0,1.57,0.96,0.61,2.36,1.97,1.06,0.44,-15.25,-20.3,-9.43,38.64,2.0,-15.25
1235,興泰,44.9,2026-04-24,年配,0.5,1.11,,0.5,0.5,0.5,1.0,1.0,1.5,0.55,,,1.11,1.11,1.11,2.23,2.23,3.34,1.22,,,-2.72,-5.79,4.71,7.37,2.48,2.35,1.22,2.29,,-0.03,0.08,1.1,1.31,0.81,0.65,0.49,1.25,0.5,0.7,0.79,1.11,1.56,1.76,-1.27,1.21,1.49,-332.07,-159.28,-64.77,-0.03,0.59,0.71,0.12,0.08,1.66,1.01,0.41,-137.5,-64.46,-29.7,-70.73,-0.03,-137.5
1236,宏亞,25.55,2026-04-24,年配,1.65,6.46,,1.65,0.6,0.65,1.0,0.5,0.2,0.3,0.4,,6.46,2.35,2.54,3.91,1.96,0.78,1.17,1.57,,-1.45,-0.97,0.59,16.76,-1.46,0.01,0.9,0.74,,-0.43,-0.28,0.16,3.91,-0.25,0.0,0.15,0.12,0.97,0.88,0.66,3.78,3.44,2.59,-0.61,2.69,1.89,-63.92,-73.24,23.88,-0.43,-0.23,-0.52,0.06,-0.28,-0.21,-0.21,0.09,-53.57,-9.52,-147.62,-33.33,-0.43,-53.57
1240,茂生農經,58.6,2026-04-27,年配,3.0,5.12,,3.0,2.7,2.2,1.0,2.0,2.0,2.0,1.5,,5.12,4.61,3.75,1.71,3.41,3.41,3.41,2.56,,,11.45,9.95,-1.41,8.27,12.77,12.43,9.57,,,4.34,4.12,0.14,3.57,4.44,4.01,3.2,2.63,2.18,2.05,4.49,3.72,3.5,10.7,7.06,9.0,57.8,221.48,146.82,,3.84,2.5,1.15,4.34,3.07,2.02,0.98,,25.08,23.76,17.35,3.84,-11.52
1256,鮮活果汁-KY,158.0,2026-04-24,年配,6.6,4.18,,6.6,4.7,6.6,6.5,13.0,12.0,6.2,6.2,,4.18,2.97,4.18,4.11,8.23,7.59,3.92,3.92,,10.36,7.71,11.45,11.44,21.08,32.85,28.54,26.73,,11.19,8.56,12.41,11.92,20.94,22.99,16.2,14.35,5.97,7.48,7.72,3.78,4.73,4.89,9.84,12.41,18.77,55.69,56.74,52.17,11.19,9.32,4.33,0.72,8.56,8.21,4.06,1.34,30.72,13.52,6.65,-46.27,11.19,30.72
1259,安心,0.0,2026-04-27,年配,1.2,,,1.2,1.2,1.8,2.6,2.3,3.0,3.2,3.0,,,,,,,,,,,,2.31,7.43,5.76,4.41,7.91,8.06,6.78,,,2.05,5.17,4.02,3.07,4.96,5.02,4.36,1.4,1.82,2.29,,,,4.87,4.98,6.09,46.68,58.24,60.86,,1.03,0.93,0.27,2.05,2.22,2.08,1.01,,-53.6,-55.29,-73.27,1.03,-49.76
