股票代號,股票名稱,收盤價,收盤日,配股方式,近一年股利,近一年股利值利率,115現金股利,114現金股利,113現金股利,112現金股利,111現金股利,110現金股利,109現金股利,108現金股利,107現金股利,115殖利率,114殖利率,113殖利率,112殖利率,111殖利率,110殖利率,109殖利率,108殖利率,107殖利率,115ROE,114ROE,113ROE,112ROE,111ROE,110ROE,109ROE,108ROE,107ROE,115EPS_年度,114EPS_年度,113EPS_年度,112EPS_年度,111EPS_年度,110EPS_年度,109EPS_年度,108EPS_年度,107EPS_年度,近3年平均股息,近5年平均股息,近8年平均股息,近3年平均殖利率,近5年平均殖利率,近8年平均殖利率,近3年平均ROE,近5年平均ROE,近8年平均ROE,近3年平均配息率,近5年平均配息率,近8年平均配息率,114Q4_EPS,114Q3_EPS,114Q2_EPS,114Q1_EPS,113Q4_EPS,113Q3_EPS,113Q2_EPS,113Q1_EPS,114Q4_vs_113Q4_EPS差率,114Q3_vs_113Q3_EPS差率,114Q2_vs_113Q2_EPS差率,114Q1_vs_113Q1_EPS差率,近四季EPS總合,近四季_vs_前年度_EPS差率
5011,久陽,13.5,2026-04-27,年配,0.0,0.0,,,0.2,1.0,2.0,1.2999999999999998,,,1.0,,,1.48,7.41,14.81,9.63,,,7.41,,,-4.83,5.75,11.14,9.97,-11.3,-5.48,9.84,,,-0.36,1.51,3.02,1.74,-1.66,-0.73,1.31,0.6,1.12,1.1,4.44,8.33,8.15,0.46,5.51,2.16,5.34,37.9,45.59,,-1.24,-0.77,-0.27,-0.36,0.46,0.7,-0.15,,-369.57,-210.0,-80.0,-1.24,-244.44
5013,強新,29.3,2026-04-27,年配,0.7,2.39,,0.7,0.8,0.9,1.6,2.0,0.5,0.5,0.5,,2.39,2.73,3.07,5.46,6.83,1.71,1.71,1.71,,,7.59,8.29,15.56,19.36,9.1,7.62,11.74,,,1.66,1.93,4.06,4.41,1.58,1.24,2.2,0.8,1.2,0.94,2.73,4.1,3.2,7.94,12.7,11.32,47.41,44.9,39.18,,1.04,0.63,0.41,1.66,1.35,0.85,0.46,,-22.96,-25.88,-10.87,1.04,-37.35
5014,建錩,9.91,2026-04-27,年配,0.3,3.03,,,0.3,1.0,0.8,1.2,,,,,,3.03,10.09,8.07,12.11,,,,,,6.88,0.85,13.4,22.57,8.81,0.29,-5.4,,,1.17,0.14,2.04,3.14,1.06,0.09,-0.5,0.65,0.82,0.82,6.56,8.32,8.32,3.86,10.92,6.77,369.96,204.34,204.34,,-1.68,-1.78,0.0,1.17,0.68,1.23,0.56,,-347.06,-244.72,-100.0,-1.68,-243.59
5015,華祺,23.9,2026-04-27,年配,0.5,2.09,,0.5,2.3,3.0,5.6,3.5,1.9,2.4,4.2,,2.09,9.62,12.55,23.43,14.64,7.95,10.04,17.57,,,11.18,5.47,40.36,21.09,10.18,11.78,25.14,,,2.51,1.34,9.46,4.1,1.94,2.38,5.02,1.93,2.98,2.92,8.09,12.47,12.24,8.32,19.52,17.89,157.76,115.02,106.08,,-0.35,-0.88,0.49,2.51,1.24,1.36,0.76,,-128.23,-164.71,-35.53,-0.35,-113.94
5016,松和,25.55,2026-04-27,年配,1.0,3.91,,1.0,1.2,0.7,1.4,3.3,2.0,1.3,2.5,,3.91,4.7,2.74,5.48,12.92,7.83,5.09,9.78,,,5.76,3.19,6.69,16.15,11.61,7.23,14.44,,,1.71,0.93,2.02,4.75,3.15,1.91,3.81,0.97,1.52,1.67,3.78,5.95,6.56,4.47,7.95,9.3,72.72,71.06,68.77,,0.97,0.66,0.42,1.71,1.3,0.71,0.33,,-25.38,-7.04,27.27,0.97,-43.27
5201,凱衛,30.15,2026-04-27,年配,0.5,1.66,,0.5,1.35,1.5,0.45,1.5,2.8,0.3,1.4,,1.66,4.48,4.98,1.49,4.98,9.29,1.0,4.64,,,15.78,19.07,4.56,11.69,24.79,11.49,11.52,,,2.25,2.44,0.56,1.56,3.1,1.34,1.35,1.12,1.06,1.23,3.71,3.52,4.07,17.42,12.78,14.13,60.74,74.5,73.49,,-0.13,-0.66,-0.33,2.25,0.85,1.04,0.32,,-115.29,-163.46,-203.12,-0.13,-105.78
5202,力新,13.1,2026-04-27,年配,0.2,1.53,,0.2,0.5,0.7,,0.679,,,0.43,,1.53,3.82,5.34,,5.18,,,3.28,,,12.99,15.38,-8.96,-1.98,-2.46,1.29,6.3,,,1.75,1.81,-0.97,-0.32,-0.55,-0.23,0.15,0.47,0.52,0.5,3.56,3.97,3.83,14.18,4.36,3.22,33.62,-48.32,35.43,,-0.57,-0.69,-0.35,1.75,2.13,2.3,0.08,,-126.76,-130.0,-537.5,-0.57,-132.57
5203,訊連,62.5,2026-04-24,年配,3.6,5.76,,3.6,3.9,2.8,2.3,1.72,2.26,3.6,3.0,,5.76,6.24,4.48,3.68,2.75,3.62,5.76,4.8,,6.13,6.86,4.88,4.99,-17.26,4.71,9.47,8.56,,3.63,3.98,2.81,2.34,-7.21,2.26,4.53,3.88,3.43,2.86,2.9,5.49,4.58,4.64,5.96,1.12,3.54,98.93,74.25,78.5,3.63,2.58,0.91,1.29,3.98,2.89,2.34,1.26,-8.79,-10.73,-61.11,2.38,3.63,-8.79
5205,中茂,23.4,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-17.95,-26.45,26.26,-252.15,-209.88,-147.8,6.58,,,-1.49,-1.55,1.02,-1.69,-0.58,-0.94,0.06,,,,,,,-22.2,-67.57,-88.77,,,,,-0.91,-0.65,-0.33,-1.49,-0.99,-0.68,-0.38,,8.08,4.41,13.16,-0.91,38.93
5206,坤悅,22.4,2026-04-27,年配,1.0,4.46,,1.0,0.5,1.3,0.5,0.48,1.3,0.75,0.7,,4.46,2.23,5.8,2.23,2.14,5.8,3.35,3.12,,,10.31,12.27,-3.64,2.77,16.77,14.63,9.49,,,2.06,2.3,-0.67,0.54,3.11,2.53,1.51,0.93,0.76,0.82,4.16,3.37,3.64,11.29,5.43,8.94,40.4,23.76,30.41,,3.69,4.3,0.97,2.06,2.29,0.43,-0.41,,61.14,900.0,336.59,3.69,79.13
5209,新鼎,163.0,2026-04-27,年配,13.0,7.98,,13.0,11.33,10.54,7.55823355,8.8881,4.0,2.9761,2.7767,,7.98,6.95,6.47,4.64,5.45,2.45,1.83,1.7,,,39.92,43.86,34.89,45.57,25.41,13.49,14.06,,,13.37,12.51,8.78,10.02,5.74,3.19,3.25,11.62,10.26,7.63,7.13,6.3,4.68,41.89,41.06,31.03,84.5,85.94,84.6,,12.34,6.61,1.57,13.37,11.17,7.41,3.77,,10.47,-10.8,-58.36,12.34,-7.7
5210,寶碩,22.75,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-9.67,-20.81,-2.36,-4.27,-13.07,-3.41,-2.58,,,-0.83,-1.56,-0.2,-0.37,-1.26,-0.36,-0.28,,,,,,,-15.24,-9.28,-8.02,,,,,0.19,0.14,0.05,-0.83,-1.48,-1.19,-0.47,,112.84,111.76,110.64,0.19,122.89
5211,蒙恬,20.25,2026-04-27,年配,0.0,0.0,,,,,0.75,0.7,,0.4,,,,,,3.7,3.46,,1.98,,,,-10.04,-29.83,4.44,7.57,-2.4,3.48,0.19,,,-1.17,-4.56,0.94,1.48,-0.31,0.56,0.03,,0.72,0.62,,3.58,3.05,-19.93,-6.96,-3.8,,63.54,66.17,,-0.68,-0.59,-0.28,-1.17,-0.92,-0.52,-0.21,,26.09,-13.46,-33.33,-0.68,41.88
5212,凌網,46.85,2026-04-27,年配,4.2,8.96,,4.2,3.5,3.0,2.6,2.5,2.85,2.18,1.5,,8.96,7.47,6.4,5.55,5.34,6.08,4.65,3.2,,,22.92,22.77,19.69,18.79,23.3,19.4,14.99,,,3.84,3.36,2.8,2.68,3.2,2.48,1.77,3.57,3.16,2.79,7.61,6.74,5.96,22.84,21.04,20.27,90.22,91.65,89.76,,2.82,0.04,0.48,3.84,2.86,1.6,0.44,,-1.4,-97.5,9.09,2.82,-26.56
5213,亞昕,25.6,2026-04-27,年配,2.8,10.94,,2.8,1.27,1.65,0.73,1.0,2.0,,2.0,,10.94,4.96,6.45,2.85,3.91,7.81,,7.81,,,7.05,10.94,2.39,3.02,7.33,1.18,8.36,,,1.65,2.59,0.67,0.73,1.76,0.34,2.05,1.91,1.49,1.64,7.45,5.82,6.39,8.99,5.85,5.75,70.34,96.66,99.64,,1.45,1.79,1.55,1.65,-0.6,-0.22,-0.02,,341.67,913.64,7850.0,1.45,-12.12
5215,科嘉-KY,37.9,2026-04-24,年配,2.0,5.28,,2.0,2.5,1.5,2.0,5.0,8.67,3.28,2.5,,5.28,6.6,3.96,5.28,13.19,22.88,8.65,6.6,,4.03,6.97,5.34,8.43,17.78,30.99,12.03,9.23,,2.04,3.74,2.75,4.62,8.76,13.11,4.56,3.4,2.0,2.6,3.43,5.28,6.86,9.06,5.45,8.51,11.85,73.14,63.96,66.42,2.04,1.4,-0.12,0.47,3.74,2.83,1.93,0.49,-45.45,-50.53,-106.22,-4.08,2.04,-45.45
5220,萬達光電,20.35,2026-04-27,年配,0.3,1.47,,0.3,0.5,0.9,1.8,2.2,3.0,0.4,3.0,,1.47,2.46,4.42,8.85,10.81,14.74,1.97,14.74,,,1.4,4.57,13.84,16.89,25.59,11.56,23.76,,,0.28,0.95,2.88,3.43,4.71,2.0,3.84,0.57,1.14,1.51,2.78,5.6,7.43,2.99,9.18,13.94,136.66,99.99,80.25,,-0.38,-0.14,0.17,0.28,0.3,0.45,0.26,,-226.67,-131.11,-34.62,-0.38,-235.71
5222,全訊,138.0,2026-04-24,年配,2.5,1.81,,2.5,4.0,4.0,3.0,3.5,1.5,3.0,0.5,,1.81,2.9,2.9,2.17,2.54,1.09,2.17,0.36,,9.06,16.76,20.49,12.52,17.19,22.9,29.54,13.23,,2.51,4.84,5.88,3.71,4.04,4.42,3.84,1.46,3.5,3.4,2.75,2.54,2.46,1.99,15.44,15.2,17.71,83.42,83.55,70.51,2.51,1.89,1.32,0.91,4.84,3.78,2.53,0.96,-48.14,-50.0,-47.83,-5.21,2.51,-48.14
5223,安力-KY,25.35,2026-04-27,年配,0.0,0.0,,,,,2.0,2.7,3.5,1.2,2.3,,,,,7.89,10.65,13.81,4.73,9.07,,,-1.22,-0.19,9.79,12.46,17.38,10.29,13.06,,,-0.54,-0.08,4.4,5.22,6.56,3.57,4.4,,2.35,2.34,,9.27,9.23,-0.7,5.21,8.8,,48.58,47.28,,0.13,0.02,-0.05,-0.54,-0.52,-0.61,-0.38,,125.0,103.28,86.84,0.13,124.07
5225,東科-KY,75.7,2026-04-24,年配,7.21,9.52,,7.20999801,10.47151662,6.61466011,3.1,0.6,,0.51,1.3,,9.52,13.83,8.74,4.1,0.79,,0.67,1.72,,22.44,29.48,20.94,18.92,25.84,-44.29,17.29,15.37,,10.26,12.68,8.02,6.03,6.03,-11.09,5.04,4.05,8.1,5.6,4.26,10.7,7.4,5.62,24.29,23.52,13.25,78.44,59.34,48.42,10.26,9.66,5.52,2.5,12.68,10.62,6.08,2.52,-19.09,-9.04,-9.21,-0.79,10.26,-19.09
5227,立凱-KY,20.45,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-36.85,-70.66,-65.76,-72.45,-56.08,-32.57,-48.93,,,-3.46,-7.0,-6.0,-9.31,-4.73,-2.09,-5.26,,,,,,,-53.76,-61.43,-54.76,,,,,2.99,-2.01,-0.52,-3.46,-3.0,-2.02,-1.0,,199.67,0.5,48.0,2.99,186.42
5228,鈺鎧,30.2,2026-04-27,年配,0.0,0.0,,,,,0.3,0.5,0.2,,0.2,,,,,0.99,1.66,0.66,,0.66,,,-14.46,-11.95,8.15,11.03,6.09,-4.58,3.41,,,-2.11,-2.0,1.38,1.71,0.87,-0.66,0.49,,0.4,0.3,,1.32,0.99,-13.2,-1.81,-0.33,,25.49,28.7,,-0.91,-0.44,-0.1,-2.11,-1.83,-1.43,-0.8,,50.27,69.23,87.5,-0.91,56.87
5230,雷笛克光學,17.35,2026-04-27,年配,0.5,2.88,,0.5,0.5,0.6,0.8,0.8,0.6000000000000001,0.1,1.2,,2.88,2.88,3.46,4.61,4.61,3.46,0.58,6.92,,,2.81,0.55,-1.29,5.06,-0.25,3.19,7.1,,,0.62,0.07,-0.32,1.28,-0.06,0.8,1.88,0.53,0.64,0.64,3.07,3.69,3.68,1.68,1.78,2.45,468.9,187.57,-24.77,,-1.28,-1.13,-0.49,0.62,0.58,0.34,0.21,,-320.69,-432.35,-333.33,-1.28,-306.45
5234,達興材料,424.0,2026-04-24,年配,6.5,1.53,,6.5,5.0,4.1,3.3,5.3,5.0,5.0,5.0,,1.53,1.18,0.97,0.78,1.25,1.18,1.18,1.18,,22.23,17.78,17.21,14.17,22.8,22.22,23.96,26.42,,7.37,5.56,5.1,4.15,6.62,6.15,6.33,6.38,5.2,4.84,4.9,1.23,1.14,1.16,19.07,18.84,20.85,86.17,83.62,82.1,7.37,5.33,3.43,1.88,5.56,3.81,2.51,1.11,32.55,39.9,36.65,69.37,7.37,32.55
5236,凌陽創新,158.5,2026-04-27,年配,9.0,5.68,,9.0,7.733,7.0,7.0,10.0,8.0,2.35,0.954,,5.68,4.88,4.42,4.42,6.31,5.05,1.48,0.6,,,18.82,17.1,14.76,32.67,41.27,14.83,7.23,,,8.25,7.36,6.52,11.83,9.09,2.64,1.18,7.91,8.15,6.5,4.99,5.14,4.1,17.96,20.84,20.95,94.42,95.18,91.23,,6.47,4.17,2.08,8.25,6.24,3.83,1.94,,3.69,8.88,7.22,6.47,-21.58
5243,乙盛-KY,119.0,2026-04-24,年配,2.2,1.85,,2.2,1.5,1.6,1.6,1.4,1.7,1.6,1.5,,1.85,1.26,1.34,1.34,1.18,1.43,1.34,1.26,,9.34,7.54,8.38,12.46,7.79,7.81,8.53,6.36,,4.4,3.36,3.55,4.75,2.75,2.74,2.96,2.14,1.77,1.66,1.64,1.48,1.39,1.38,8.42,9.1,8.53,46.57,44.86,51.31,4.4,3.37,2.16,1.0,3.36,2.37,1.41,0.6,30.95,42.19,53.19,66.67,4.4,30.95
5244,弘凱,40.25,2026-04-24,年配,0.4,0.99,,0.4,1.5,1.2,1.5,3.0,2.0,1.5,1.0,,0.99,3.73,2.98,3.73,7.45,4.97,3.73,2.48,,1.9,9.54,9.95,12.12,25.91,20.19,13.5,9.42,,0.51,2.46,2.4,2.58,5.05,3.43,2.11,1.48,1.03,1.52,1.51,2.57,3.78,3.76,7.13,11.88,12.82,63.14,61.39,62.99,0.51,0.64,0.22,0.43,2.46,1.71,1.07,0.57,-79.27,-62.57,-79.44,-24.56,0.51,-79.27
5245,智晶,24.4,2026-04-27,年配,0.0,0.0,,,,,2.5,4.5,1.0,0.43,1.5,,,,,10.25,18.44,4.1,1.76,6.15,,,-14.12,-12.67,14.74,17.19,8.25,1.46,11.93,,,-3.13,-3.22,4.09,4.47,1.99,0.35,3.07,,3.5,1.99,,14.34,8.14,-13.4,1.29,3.83,,80.9,76.75,,-3.24,-2.18,-0.91,-3.13,-2.21,-1.33,-0.72,,-46.61,-63.91,-26.39,-3.24,-3.51
5251,天鉞電,29.0,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.5,-14.63,-4.19,-15.47,-9.41,-8.0,-7.58,,,0.06,-1.84,-0.57,-2.32,-1.6,-1.48,-1.52,,,,,,,-7.06,-8.45,-8.4,,,,,-0.13,-0.29,0.13,0.06,-0.17,0.22,0.06,,23.53,-231.82,116.67,-0.13,-316.67
5258,虹堡,48.55,2026-04-24,年配,1.0,2.06,,1.0,2.5,1.2,0.8,0.53925377,0.6,,,,2.06,5.15,2.47,1.65,1.11,1.24,,,,10.72,17.26,27.48,34.71,14.72,14.56,3.35,-23.93,,4.23,6.35,8.65,8.19,2.51,2.23,0.19,-4.97,1.57,1.21,1.11,3.23,2.49,2.28,18.49,20.98,12.36,25.63,21.63,22.51,4.23,1.56,0.3,0.28,6.35,4.59,3.21,1.75,-33.39,-66.01,-90.65,-84.0,4.23,-33.39
5263,智崴,91.2,2026-04-27,年配,0.0,0.0,,,0.9,0.5,1.5,,,5.6,3.38,,,0.99,0.55,1.64,,,6.14,3.71,,,2.05,-5.67,-2.0,-4.69,-1.82,12.92,9.06,,,1.1,-2.79,-0.99,-2.31,-0.88,6.57,4.84,0.7,0.97,2.38,0.77,1.06,2.61,-1.81,-2.58,1.41,31.95,-29.21,13.49,,-2.97,-3.97,-0.63,1.1,0.2,-0.24,0.12,,-1585.0,-1554.17,-625.0,-2.97,-370.0
5269,祥碩,1295.0,2026-04-24,年配,45.0,3.47,,45.0,30.0,20.0,20.0,26.0,24.0,13.8,12.0,,3.47,2.32,1.54,1.54,2.01,1.85,1.07,0.93,,15.61,14.09,12.77,16.57,21.02,35.1,39.32,46.96,,72.7,51.57,32.19,37.86,46.23,44.16,16.08,15.93,31.67,28.2,23.85,2.44,2.18,1.84,14.16,16.01,25.18,60.73,58.25,63.35,72.7,52.62,31.41,16.39,51.57,39.03,25.97,12.8,40.97,34.82,20.95,28.05,72.7,40.97
5272,笙科,24.5,2026-04-27,年配,0.0,0.0,,,,,0.70550931,0.86067386,,,,,,,,2.88,3.51,,,,,,-0.48,-2.83,4.43,5.25,-3.58,1.33,-1.9,,,-0.09,-0.56,0.88,0.96,-0.61,0.22,-0.33,,0.78,0.78,,3.2,3.2,-1.66,1.59,0.32,,84.91,84.91,,-0.85,-0.61,-0.3,-0.09,0.21,0.21,-0.27,,-504.76,-390.48,-11.11,-0.85,-844.44
5274,信驊,16000.0,2026-04-27,年配,80.0,0.5,,80.0,52.0,20.0,45.0,35.0,26.0,22.0,18.0,,0.5,0.33,0.12,0.28,0.22,0.16,0.14,0.11,,,54.28,24.2,52.42,40.09,35.65,33.5,31.13,,,68.04,26.66,55.72,38.3,29.38,24.39,20.2,50.67,46.4,37.25,0.32,0.29,0.23,39.24,42.75,38.75,75.72,80.9,84.49,,72.23,40.11,23.46,68.04,43.09,23.79,10.36,,67.63,68.6,126.45,72.23,6.16
5276,達輝-KY,22.2,2026-04-27,年配,0.8,3.6,,0.8,0.6,0.6,0.6,0.1095,,,0.54,,3.6,2.7,2.7,2.7,0.49,,,2.43,,,6.25,-5.52,5.44,4.39,1.44,-2.17,4.36,,,0.74,-0.71,0.74,0.58,0.19,-0.29,0.62,0.67,0.54,0.54,3.0,2.44,2.44,0.37,2.64,2.03,-1.72,24.13,36.73,,0.88,0.59,0.33,0.74,0.6,0.14,0.02,,46.67,321.43,1550.0,0.88,18.92
5278,尚凡*,23.55,2026-04-27,季配,1.21,5.14,,1.20658698,4.97559527,9.290563249999998,10.799836899999999,15.57720882,10.89959684,13.20821532,,,5.12,21.13,39.45,45.86,66.15,46.28,56.09,,,,34.9,63.33,55.73,57.86,48.22,59.91,73.84,,,0.67,13.39,11.09,16.52,12.33,15.45,13.48,5.16,8.37,9.42,21.9,35.54,40.01,49.11,52.96,56.26,406.0,250.92,196.26,,0.72,0.53,0.37,0.67,4.44,3.34,0.33,,-83.78,-84.13,12.12,0.72,7.46
5283,禾聯碩,53.7,2026-04-24,半年配,0.4,0.74,,0.4,0.5,8.0,8.0,8.0,8.0,8.0,9.0,,0.74,0.93,14.9,14.9,14.9,14.9,14.9,16.76,,10.76,10.92,13.53,18.07,19.77,24.63,22.54,27.78,,5.63,6.4,7.78,10.21,10.69,12.73,10.73,12.13,2.97,4.98,6.24,5.52,9.27,11.62,11.74,14.61,18.5,39.25,54.19,60.32,5.63,4.23,2.43,-0.16,6.4,5.43,2.3,-0.46,-12.03,-22.1,5.65,65.22,5.63,-12.03
5284,jpp-KY,330.5,2026-04-24,半年配,5.0,1.51,,5.0,1.5,5.0,2.8,2.3,2.1,1.9,2.6,,1.51,0.45,1.51,0.85,0.7,0.64,0.57,0.79,,19.27,2.14,17.92,13.0,7.12,6.26,5.16,9.45,,12.05,1.02,8.33,5.45,3.0,2.65,2.31,3.74,3.83,3.32,2.9,1.16,1.0,0.88,13.11,11.89,10.04,82.86,75.32,75.96,12.05,9.16,4.61,2.51,1.02,-0.53,-1.03,-1.26,1081.37,1828.3,547.57,299.21,12.05,1081.37
5285,界霖,53.7,2026-04-24,年配,1.5,2.79,,1.5,2.0,2.0,3.5,4.0,2.5,0.8,3.6,,2.79,3.72,3.72,6.52,7.45,4.66,1.49,6.7,,5.24,8.76,5.97,13.46,17.27,5.39,9.32,17.77,,1.53,2.52,1.75,4.08,4.82,1.37,2.46,4.54,1.83,2.6,2.49,3.41,4.84,4.63,6.66,10.14,10.4,97.23,92.09,94.35,1.53,1.0,0.46,0.43,2.52,1.67,1.61,0.55,-39.29,-40.12,-71.43,-21.82,1.53,-39.29
5287,數字,156.0,2026-04-27,半年配,10.25,6.57,,10.25,10.46,10.0,9.0,11.3,12.0,12.2,10.6,,6.57,6.71,6.41,5.77,7.24,7.69,7.82,6.79,,,34.62,35.84,33.71,31.72,34.54,34.39,33.97,,,12.67,12.74,13.12,12.13,14.74,14.14,14.04,10.24,10.2,10.73,6.56,6.54,6.88,35.23,33.97,34.11,80.53,80.7,80.86,,9.92,6.26,2.87,12.67,9.47,6.49,3.05,,4.75,-3.54,-5.9,9.92,-21.7
5288,豐祥-KY,169.5,2026-04-24,半年配,6.5,3.83,,6.5,8.69,7.81,7.1,4.5,4.0,5.5,5.0,,3.83,5.13,4.61,4.19,2.65,2.36,3.24,2.95,,13.76,20.42,21.77,24.04,19.45,18.01,21.0,20.15,,12.25,17.01,15.6,14.29,9.53,8.4,9.5,8.35,7.67,6.92,6.14,4.52,4.08,3.62,18.65,19.89,19.83,51.4,50.22,52.06,12.25,8.74,5.22,3.78,17.01,10.83,8.37,3.91,-27.98,-19.3,-37.63,-3.32,12.25,-27.98
5289,宜鼎,1190.0,2026-04-27,年配,16.9,1.42,,16.9,9.4,10.2,13.8,11.7,6.8,7.5,6.0,,1.42,0.79,0.86,1.16,0.98,0.57,0.63,0.5,,,14.91,16.04,28.61,29.03,20.1,24.47,23.33,,,12.2,12.98,21.46,18.94,11.46,12.72,10.87,12.17,12.4,10.29,1.02,1.04,0.86,15.48,22.15,22.36,77.82,70.43,65.03,,12.46,5.7,3.68,12.2,9.23,7.16,3.98,,34.99,-20.39,-7.54,12.46,2.13
5291,邑昇,58.7,2026-04-27,年配,0.0,0.0,,,,0.8,2.7,2.1,1.1,1.2,0.8,,,,1.36,4.6,3.58,1.87,2.04,1.36,,,0.56,1.22,17.55,18.54,8.84,9.48,6.03,,,0.39,0.34,4.42,4.18,1.86,2.04,1.2,0.8,1.87,1.45,1.36,3.18,2.47,0.89,9.47,8.89,235.29,115.54,88.54,,0.24,0.02,0.01,0.39,0.33,0.43,0.12,,-27.27,-95.35,-91.67,0.24,-38.46
5292,華懋,247.0,2026-04-24,年配,5.5,2.23,,5.5,4.5,4.5,3.0,1.5,2.0,2.0,,,2.23,1.82,1.82,1.21,0.61,0.81,0.81,,,23.19,24.04,25.63,30.44,23.55,21.48,14.48,12.48,,9.93,9.86,9.75,7.9,5.42,4.33,2.8,3.11,4.83,3.8,3.29,1.96,1.54,1.33,24.29,25.37,21.91,49.06,42.57,47.21,9.93,6.88,4.65,2.64,9.86,6.71,4.48,2.45,0.71,2.53,3.79,7.76,9.93,0.71
5299,杰力,88.9,2026-04-27,年配,3.66,4.12,,3.66,4.15,4.11,8.4,11.6,6.5,5.5,5.1,,4.12,4.67,4.62,9.45,13.05,7.31,6.19,5.74,,,9.48,10.55,32.99,43.72,28.33,27.38,33.63,,,5.93,5.13,15.89,17.68,9.26,7.96,7.3,3.97,6.38,6.13,4.47,7.18,6.89,10.02,24.18,26.58,75.05,67.14,68.25,,3.3,1.24,1.39,5.93,4.79,4.04,2.27,,-31.11,-69.31,-38.77,3.3,-44.35
5301,寶得利,8.85,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-10.13,-12.93,-10.8,-33.95,-39.06,-37.11,-2.19,,,-0.44,-0.61,-0.66,-2.09,-3.51,-3.19,-0.24,,,,,,,-11.53,-16.95,-20.88,,,,,-0.96,-0.39,-0.12,-0.44,-0.24,-0.22,-0.06,,-300.0,-77.27,-100.0,-0.96,-118.18
5302,太欣,11.65,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-3.44,-4.09,-3.81,-3.11,-4.11,-4.24,-3.22,,,-0.27,-0.34,-0.32,-0.27,-0.37,-0.39,-0.3,,,,,,,-3.76,-3.61,-3.72,,,,,-0.2,-0.18,-0.09,-0.27,-0.2,-0.13,-0.06,,0.0,-38.46,-50.0,-0.2,25.93
5306,桂盟,82.5,2026-04-24,季配,3.75,4.55,,3.7456754400000003,4.36154388,3.5325791300000002,9.0,9.0,7.2,4.5,4.5,,4.54,5.29,4.28,10.91,10.91,8.73,5.45,5.45,,11.21,11.48,9.78,27.33,31.02,25.93,19.47,19.22,,7.66,7.27,5.89,15.26,15.94,12.02,8.0,7.52,3.88,5.93,5.73,4.7,7.19,6.94,10.82,18.16,19.43,56.29,56.86,57.54,7.66,6.27,4.54,3.11,7.27,5.83,3.28,1.21,5.36,7.55,38.41,157.02,7.66,5.36
5309,系統電,62.3,2026-04-27,年配,0.5,0.8,,0.5,0.7,0.7,,,,,,,0.8,1.12,1.12,,,,,,,,3.32,10.39,21.5,8.39,-9.19,-27.59,-12.8,,,0.61,1.41,2.14,0.62,-0.64,-1.88,-1.22,0.63,0.63,0.63,1.01,1.01,1.01,6.86,10.9,-0.85,82.2,82.2,82.2,,0.04,0.14,0.12,0.61,0.43,0.64,0.35,,-90.7,-78.12,-65.71,0.04,-93.44
5310,天剛,23.3,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,40.84,0.21,-16.7,-23.23,-86.06,-57.87,-28.15,,,3.02,0.01,-1.07,-1.22,-2.61,-3.54,-2.74,,,,,,,20.52,0.28,-24.42,,,,,0.99,0.63,0.51,3.02,3.43,1.2,1.31,,-71.14,-47.5,-61.07,0.99,-67.22
5312,寶島科,97.0,2026-04-27,年配,6.5,6.7,,6.5,7.5,6.0,4.3,4.3,4.0,4.0,3.8,,6.7,7.73,6.19,4.43,4.43,4.12,4.12,3.92,,,15.35,15.03,6.49,10.87,11.87,15.32,10.62,,,8.24,6.96,2.83,4.83,5.13,6.31,4.22,6.67,5.72,5.05,6.87,5.9,5.2,15.19,11.93,12.22,88.62,104.55,92.8,,5.36,2.76,2.0,8.24,6.65,4.16,2.37,,-19.4,-33.65,-15.61,5.36,-34.95
5314,世紀*,74.3,2026-04-27,年配,0.2,0.27,,0.2,0.2725,1.8,,,,,,,0.27,0.37,2.42,,,,,,,,84.65,20.23,-1.86,-17.62,-15.98,-10.34,4.59,,,18.25,2.11,-0.18,-0.5,-0.51,-0.4,0.22,0.76,0.76,0.76,1.02,1.02,1.02,52.44,21.35,9.1,43.4,43.4,43.4,,2.67,1.58,0.78,18.25,9.56,8.69,5.38,,-72.07,-81.82,-85.5,2.67,-85.37
5315,光聯,22.3,2026-04-27,年配,1.6,7.17,,1.6,1.5,0.8,1.8,1.3,0.85,0.8,1.5,,7.17,6.73,3.59,8.07,5.83,3.81,3.59,6.73,,,7.85,5.72,15.94,12.61,7.02,6.93,16.32,,,1.21,0.85,2.38,1.74,0.9,0.88,2.04,1.3,1.4,1.27,5.83,6.28,5.69,6.78,10.53,10.34,109.04,92.11,89.62,,1.53,0.93,0.59,1.21,0.83,0.53,0.17,,84.34,75.47,247.06,1.53,26.45
