出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","2","1323","永裕","2441769.00","1787964.00","4229733.00","697553.00","1402931.00","2100484.00","912745.00","57128.00","934924.00","-54102.00","-2813.00","1847882.00","--","--","281367.00","2129249.00","0.00","0.00","1200017.00","20.52"
"114/10/29","107","2","1324","地球","879384.00","457910.00","1337294.00","292043.00","38669.00","330712.00","751219.00","0.00","262199.00","-6836.00","0.00","1006582.00","--","--","0.00","1006582.00","0.00","0.00","0.00","13.40"
"114/10/29","107","2","1325","恆大","1060016.00","855274.00","1915290.00","78376.00","64973.00","143349.00","852812.00","3263.00","858051.00","-15152.00","--","1698974.00","--","--","72967.00","1771941.00","0.00","0.00","0.00","19.92"
"114/10/29","107","2","1326","台化","297845272.00","346454894.00","644300166.00","135704944.00","63742948.00","199447892.00","58611863.00","8682742.00","172507956.00","143569432.00","-626468.00","382745525.00","--","--","62106749.00","444852274.00","0.00","0.00","27418610.00","65.61"
"114/10/29","107","2","1337","再生-KY","3806867.00","6386919.00","10193786.00","423746.00","65305.00","489051.00","2689547.00","2966493.00","4253080.00","-204385.00","--","9704735.00","--","--","--","9704735.00","--","0.00","0.00","36.24"
"114/10/29","107","2","1338","廣華-KY","6048150.00","3878113.00","9926263.00","2616384.00","554820.00","3171204.00","838400.00","2787090.00","3190110.00","-342114.00","--","6473486.00","--","--","281573.00","6755059.00","0.00","0.00","0.00","77.21"
"114/10/29","107","2","1339","昭輝","2429886.00","4157763.00","6587649.00","2052760.00","1075997.00","3128757.00","741389.00","1188790.00","1394915.00","-40730.00","--","3284364.00","--","--","174528.00","3458892.00","--","0.00","0.00","44.30"
"114/10/29","107","2","1340","勝悅-KY","5745120.00","1495741.00","7240861.00","465817.00","10318.00","476135.00","1390208.00","2540814.00","3112632.00","-278928.00","--","6764726.00","--","--","--","6764726.00","--","0.00","0.00","53.53"
"114/10/29","107","2","1402","遠東新","132304352.00","421941122.00","554245474.00","129373651.00","163956886.00","293330537.00","53528751.00","2860321.00","145722129.00","-2446520.00","-25063.00","199639618.00","--","--","61275319.00","260914937.00","--","0.00","779000.00","37.30"
"114/10/29","107","2","1410","南染","829284.00","769006.00","1598290.00","218904.00","176525.00","395429.00","720000.00","21784.00","428321.00","-15425.00","--","1154680.00","--","--","48181.00","1202861.00","0.00","0.00","0.00","16.04"
"114/10/29","107","2","1413","宏洲","741072.00","1447747.00","2188819.00","709207.00","454155.00","1163362.00","1321124.00","0.00","-293987.00","-1680.00","--","--","--","--","--","1025457.00","--","0.00","0.00","7.76"
"114/10/29","107","2","1414","東和","887111.00","3577097.00","4464208.00","677696.00","699432.00","1377128.00","2200000.00","0.00","968065.00","-80985.00","0.00","--","--","--","--","3087080.00","0.00","0.00","0.00","14.03"
"114/10/29","107","2","1416","廣豐","2142804.00","6468624.00","8611428.00","1799151.00","2724265.00","4523416.00","1853422.00","119515.00","1988887.00","126188.00","--","4088012.00","--","--","0.00","4088012.00","--","0.00","0.00","22.06"
"114/10/29","107","2","1417","嘉裕","2188499.00","2175683.00","4364182.00","752828.00","122968.00","875796.00","3798837.00","--","-816876.00","506425.00","--","3488386.00","--","--","--","3488386.00","--","0.00","0.00","9.18"
