出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","108","4","6584","南俊國際","614403.00","2693267.00","3307670.00","559123.00","1533997.00","2093120.00","520000.00","196000.00","498951.00","-401.00","--","1214550.00","--","--","--","1214550.00","0.00","0.00","0.00","23.36"
"114/10/29","108","4","6588","東典光電","384820.00","313218.00","698038.00","74885.00","116612.00","191497.00","232758.00","14420.00","259432.00","-69.00","--","506541.00","--","--","--","506541.00","--","0.00","0.00","21.76"
"114/10/29","108","4","6590","普鴻","377617.00","153929.00","531546.00","128786.00","23034.00","151820.00","182913.00","109437.00","60514.00","295.00","--","353159.00","--","--","26567.00","379726.00","--","0.00","0.00","19.31"
"114/10/29","108","4","6593","台灣銘板","213795.00","537298.00","751093.00","154747.00","127972.00","282719.00","201709.00","70447.00","208366.00","-12148.00","--","--","--","--","--","468374.00","--","0.00","0.00","23.22"
"114/10/29","108","4","6596","寬宏藝術","595025.00","458374.00","1053399.00","313099.00","32205.00","345304.00","278300.00","187337.00","243573.00","-1115.00","--","708095.00","0.00","--","0.00","708095.00","--","0.00","0.00","25.44"
"114/10/29","108","4","6597","立誠","281970.00","305946.00","587916.00","337369.00","8413.00","345782.00","208648.00","6717.00","26769.00","--","--","--","--","--","--","242134.00","0.00","0.00","0.00","11.60"
"114/10/29","108","4","6603","富強鑫","3409966.00","2083734.00","5493700.00","2056253.00","1292639.00","3348892.00","1476488.00","25615.00","639648.00","-146019.00","-36252.00","1959480.00","--","--","185328.00","2144808.00","--","0.00","2915000.00","13.55"
"114/10/29","108","4","6609","瀧澤科","2980927.00","949445.00","3930372.00","1395117.00","398504.00","1793621.00","724562.00","146793.00","1289221.00","-23825.00","--","2136751.00","--","--","--","2136751.00","--","0.00","0.00","29.49"
"114/10/29","108","4","6612","奈米醫材","460729.00","331333.00","792062.00","93283.00","45736.00","139019.00","337445.00","141117.00","150809.00","-5883.00","--","623488.00","0.00","--","29555.00","653043.00","--","0.00","0.00","18.48"
"114/10/29","108","4","6613","朋億*","4114592.00","216576.00","4331168.00","1807869.00","276537.00","2084406.00","339280.00","866545.00","1118971.00","-78034.00","--","2246762.00","--","--","--","2246762.00","0.00","0.00","0.00","66.22"
"114/10/29","108","4","6615","慧智","360922.00","360665.00","721587.00","110036.00","96355.00","206391.00","212152.00","224921.00","76396.00","809.00","--","514278.00","--","--","918.00","515196.00","0.00","0.00","0.00","24.24"
"114/10/29","108","4","6616","特昇-KY","552737.00","274441.00","827178.00","175457.00","260159.00","435616.00","236250.00","32651.00","94057.00","14522.00","--","377480.00","--","--","14082.00","391562.00","--","0.00","0.00","15.98"
"114/10/29","108","4","6617","共信-KY","656168.00","118551.00","774719.00","48201.00","29926.00","78127.00","1031031.00","556413.00","-879810.00","-42063.00","--","665571.00","--","--","31021.00","696592.00","0.00","0.00","0.00","6.46"
"114/10/29","108","4","6624","萬年清","409251.00","303670.00","712921.00","151389.00","210000.00","361389.00","180000.00","96583.00","78796.00","-3847.00","--","351532.00","--","--","--","351532.00","--","0.00","0.00","19.53"
"114/10/29","108","4","6629","泰金-KY","672747.00","527830.00","1200577.00","446302.00","54738.00","501040.00","335300.00","143602.00","184579.00","35869.00","--","699350.00","--","--","187.00","699537.00","0.00","0.00","0.00","20.86"
"114/10/29","108","4","6637","醫影","250000.00","352885.00","602885.00","112228.00","126935.00","239163.00","214500.00","--","155239.00","-6017.00","--","363722.00","--","--","--","363722.00","--","0.00","0.00","16.96"
"114/10/29","108","4","6640","均華","1226187.00","364009.00","1590196.00","506746.00","167522.00","674268.00","282765.00","416534.00","242207.00","-25578.00","--","915928.00","--","--","--","915928.00","0.00","0.00","0.00","32.39"
"114/10/29","108","4","6642","富致","592455.00","60979.00","653434.00","108008.00","21228.00","129236.00","313996.00","99012.00","116142.00","-4952.00","--","524198.00","--","--","--","524198.00","0.00","0.00","0.00","16.69"
"114/10/29","108","4","6643","M31","1395569.00","204146.00","1599715.00","156153.00","1993.00","158146.00","313180.00","634551.00","490655.00","3183.00","--","1441569.00","--","--","--","1441569.00","--","0.00","0.00","46.03"
"114/10/29","108","4","6649","台生材","432648.00","227854.00","660502.00","64418.00","71723.00","136141.00","330000.00","265660.00","-71299.00","--","--","524361.00","--","--","--","524361.00","0.00","0.00","0.00","15.89"
"114/10/29","108","4","6651","全宇昕","818176.00","61048.00","879224.00","409841.00","17328.00","427169.00","260027.00","39720.00","152308.00","0.00","--","--","--","--","--","452055.00","--","0.00","0.00","17.38"
"114/10/29","108","4","6654","天正國際","1172498.00","170160.00","1342658.00","539471.00","65697.00","605168.00","331027.00","283015.00","144851.00","-21403.00","--","737490.00","--","--","--","737490.00","--","0.00","0.00","22.28"
"114/10/29","108","4","6661","威健生技","321228.00","101022.00","422250.00","148796.00","22702.00","171498.00","207043.00","6091.00","38001.00","-594.00","--","250541.00","--","--","211.00","250752.00","--","0.00","0.00","12.10"
"114/10/29","108","4","6662","樂斯科","367029.00","164521.00","531550.00","51825.00","12487.00","64312.00","256124.00","102042.00","95193.00","13879.00","--","--","--","--","--","467238.00","--","0.00","0.00","18.24"
"114/10/29","108","4","6664","群翊","2306055.00","1006247.00","3312302.00","1330420.00","164191.00","1494611.00","550000.00","287021.00","1015872.00","-35202.00","--","1817691.00","0.00","--","0.00","1817691.00","--","0.00","0.00","33.05"
"114/10/29","108","4","6667","信紘科","986897.00","765476.00","1752373.00","520435.00","477250.00","997685.00","350519.00","159385.00","245004.00","-220.00","--","754688.00","--","--","--","754688.00","--","0.00","0.00","21.53"
"114/10/29","108","4","6679","鈺太","1190406.00","94608.00","1285014.00","198034.00","8544.00","206578.00","412733.00","450597.00","214687.00","419.00","--","1078436.00","--","--","--","1078436.00","--","0.00","0.00","26.13"
