出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","111","3","1447","力鵬","463911.00","-321320.00","1307477.00","98852.00","1548920.00","1331196.00","2880116.00"
"114/10/29","111","3","1449","佳和","31075.00","-52994.00","-31436.00","109.00","-53246.00","215315.00","162069.00"
"114/10/29","111","3","1451","年興","-348165.00","-379.00","3659.00","152215.00","-192670.00","1547404.00","1354734.00"
"114/10/29","111","3","1452","宏益","497345.00","-99063.00","-265742.00","--","132540.00","317015.00","449555.00"
"114/10/29","111","3","1453","大將","27980.00","-10173.00","-18379.00","--","-572.00","14657.00","14085.00"
"114/10/29","111","3","1454","台富","125869.00","-143961.00","-196753.00","--","-214845.00","386047.00","171202.00"
"114/10/29","111","3","1455","集盛","743092.00","-218405.00","-486597.00","-18.00","38072.00","71448.00","109520.00"
"114/10/29","111","3","1456","怡華","-1879601.00","-52916.00","1749216.00","--","-183301.00","267980.00","84679.00"
"114/10/29","111","3","1457","宜進","-490174.00","662215.00","-226367.00","--","-54326.00","499153.00","444827.00"
"114/10/29","111","3","1459","聯發","103458.00","236982.00","-548944.00","31245.00","-177259.00","698161.00","520902.00"
"114/10/29","111","3","1460","宏遠","116573.00","-376993.00","189227.00","29028.00","-42165.00","481903.00","439738.00"
"114/10/29","111","3","1463","強盛新","108103.00","-45468.00","-65871.00","--","-3236.00","223377.00","220141.00"
"114/10/29","111","3","1464","得力","1272003.00","366189.00","-1906392.00","170140.00","-98060.00","1045569.00","947509.00"
"114/10/29","111","3","1465","偉全","132692.00","-72580.00","-31664.00","0.00","28448.00","83931.00","112379.00"
"114/10/29","111","3","1466","聚隆","18271.00","-515976.00","249071.00","--","-248634.00","364478.00","115844.00"
"114/10/29","111","3","1467","南緯","397965.00","-58349.00","8117.00","34842.00","382575.00","1343026.00","1725601.00"
"114/10/29","111","3","1468","昶和","219427.00","289008.00","-721725.00","3586.00","-209704.00","416125.00","206421.00"
"114/10/29","111","3","1470","大統新創","183272.00","-38494.00","-71604.00","1753.00","74927.00","138983.00","213910.00"
"114/10/29","111","3","1471","首利","-7430.00","-300247.00","-51579.00","47119.00","-312137.00","528907.00","216770.00"
"114/10/29","111","3","1472","三洋實業","-97099.00","-219550.00","143815.00","97.00","-172737.00","283190.00","110453.00"
"114/10/29","111","3","1473","台南","520306.00","-29783.00","-340394.00","115259.00","265388.00","681095.00","946483.00"
"114/10/29","111","3","1474","弘裕","308631.00","-82147.00","-229488.00","4936.00","1932.00","604986.00","606918.00"
"114/10/29","111","3","1475","業旺","195674.00","-35372.00","0.00","--","160302.00","530217.00","690519.00"
"114/10/29","111","3","1476","儒鴻","8723233.00","-1622860.00","-2629520.00","-9686.00","4461167.00","1759847.00","6221014.00"
"114/10/29","111","3","1477","聚陽","2989105.00","-650449.00","-2698529.00","183123.00","-176750.00","2642635.00","2465885.00"
"114/10/29","111","3","1503","士電","834349.00","-571651.00","-418311.00","123623.00","-31990.00","3525350.00","3493360.00"
"114/10/29","111","3","1504","東元","3484868.00","2119280.00","-4136887.00","1352679.00","2819940.00","17274143.00","20094083.00"
"114/10/29","111","3","1506","正道","45968.00","-40759.00","170458.00","-2151.00","173516.00","253608.00","427124.00"
"114/10/29","111","3","1512","瑞利","-49034.00","53889.00","58710.00","2830.00","66395.00","133525.00","199920.00"
"114/10/29","111","3","1513","中興電","4102093.00","-2849079.00","-1522795.00","59143.00","-210638.00","2344201.00","2133563.00"
"114/10/29","111","3","1514","亞力","19052.00","-84029.00","150931.00","2294.00","88248.00","499304.00","587552.00"
