code,year,quarter,eps,profit,equity,cash_dividend
1570,111,Q2,1.06,54489.0,859898.0,
1570,111,Q1,0.54,27952.0,899169.0,
1570,111,Y1,,,,1.0
1570,110,Q4,2.61,134525.0,866221.0,
1570,110,Q3,2.07,106487.0,837957.0,
1570,110,Q2,1.58,81581.0,854529.0,
1570,110,Q1,0.32,16664.0,789946.0,
1570,110,Y1,,,,1.0
1570,109,Q4,0.93,47864.0,773369.0,
1570,109,Q3,,,760100.0,
1570,109,Q2,0.57,29279.0,754085.0,
1570,109,Q1,0.35,18219.0,784562.0,
1570,109,Y1,,,,0.8
1570,108,Q4,1.42,73298.0,766479.0,
1570,108,Q3,1.0,51758.0,745683.0,
1570,108,Q2,0.6,30820.0,725286.0,
1570,108,Q1,0.18,9363.0,745271.0,
1570,108,Y1,,,,0.8
1570,107,Q4,1.62,83512.0,735458.0,
1570,107,Q3,1.17,60415.0,712786.0,
1570,107,Q2,0.64,32866.0,685941.0,
1570,107,Q1,0.19,9912.0,704291.0,
1570,107,Y1,,,,0.8
1570,106,Q4,1.48,76354.0,693887.0,
1570,106,Q3,1.28,65933.0,684026.0,
1570,106,Q2,0.54,27896.0,645508.0,
1570,106,Q1,0.17,8807.0,651629.0,
1570,106,Y1,,,,0.8
1580,114,Q3,9.37,496553.0,3071379.0,
1580,114,Q2,,,2801407.0,
1580,114,Q1,2.7,145701.0,3063172.0,
1580,113,Q4,13.59,728363.0,3313700.0,
1580,113,Q3,10.06,537709.0,3146034.0,
1580,113,Q2,6.62,354741.0,2908517.0,
1580,113,Q1,2.73,146745.0,2687608.0,
1580,113,Y1,,,,9.0
1580,112,Q4,12.01,636359.0,2980825.0,
1580,112,Q3,9.48,501089.0,2897640.0,
1580,112,Q2,5.35,281445.0,2624242.0,
1580,112,Q1,2.31,122508.0,2515265.0,
1580,112,Y1,,,,9.0
1580,111,Q4,6.7,354686.0,2706346.0,
1580,111,Q3,5.48,283950.0,2653661.0,
1580,111,Q2,3.56,182908.0,2519625.0,
1580,111,Q1,1.15,59371.0,2558995.0,
1580,111,Y1,,,,6.0
1580,110,Q4,10.16,519458.0,2424902.0,
1580,110,Q3,6.41,330819.0,2229920.0,
1580,110,Q2,3.86,200603.0,2447194.0,
1580,110,Q1,1.47,77161.0,2392471.0,
1580,110,Y1,,,,7.0
1580,109,Q4,6.79,353546.0,2332025.0,
1580,109,Q3,,,2164715.0,
1580,109,Q2,1.86,96933.0,2025436.0,
1580,109,Q1,0.61,31420.0,2244947.0,
1580,109,Y1,,,,6.79
1580,108,Q4,10.02,515502.0,2235378.0,
1580,108,Q3,7.04,363502.0,2112276.0,
1580,108,Q2,3.89,200217.0,2003905.0,
1580,108,Q1,1.48,75659.0,2231173.0,
1580,108,Y1,,,,5.0
1580,107,Q4,9.43,485232.0,2118475.0,
1580,107,Q3,6.25,323604.0,1946757.0,
1580,107,Q2,3.68,191271.0,1858859.0,
1580,107,Q1,0.98,50052.0,2118681.0,
1580,107,Y1,,,,6.5
1580,106,Q4,11.01,547123.0,2044652.0,
1580,106,Q3,7.92,393686.0,1871331.0,
1580,106,Q2,4.23,211330.0,1673195.0,
1580,106,Q1,1.44,72001.0,1929857.0,
1580,106,Y1,,,,8.0
1584,114,Q3,0.23,47747.0,4826817.0,
1584,114,Q2,,,4832029.0,
1584,114,Q1,0.27,61269.0,5099346.0,
1584,113,Q4,1.57,307590.0,5074756.0,
1584,113,Q3,1.75,334339.0,3813996.0,
1584,113,Q2,1.3,248848.0,3729255.0,
1584,113,Q1,0.3,55995.0,3827662.0,
1584,113,Y1,,,,0.7
1584,112,Q4,3.01,502172.0,3772186.0,
1584,112,Q3,1.34,211932.0,3473897.0,
1584,112,Q2,0.85,127681.0,2198948.0,
1584,112,Q1,0.33,49179.0,2217198.0,
1584,112,Y1,,,,1.5
1584,111,Q4,1.12,146431.0,2073127.0,
1584,111,Q3,0.9,111355.0,2014952.0,
1584,111,Q2,0.63,76749.0,1424464.0,
1584,111,Q1,0.27,32577.0,1410925.0,
1584,111,Y1,,,,0.7
1584,110,Q4,0.46,54290.0,1371035.0,
1584,110,Q3,0.22,26130.0,1345746.0,
1584,110,Q2,0.09,9993.0,1329472.0,
1584,110,Q1,0.04,4674.0,1194429.0,
1584,110,Y1,,,,0.2
1584,109,Q4,0.41,33468.0,827345.0,
1584,109,Q3,,,799256.0,
1584,109,Q2,0.04,3280.0,778041.0,
1584,109,Q1,-0.06,-5201.0,761798.0,
1584,109,Y1,,,,
1584,108,Q4,-0.72,-58572.0,818864.0,
1584,108,Q3,-0.43,-34711.0,865817.0,
1584,108,Q2,-0.28,-22549.0,910038.0,
1584,108,Q1,-0.16,-13213.0,953564.0,
1584,108,Y1,,,,
1584,107,Q4,-0.84,-69059.0,881368.0,
1584,107,Q3,-0.54,-43653.0,920877.0,
1584,107,Q2,-0.5,-41514.0,949577.0,
1584,107,Q1,-0.4,-33388.0,990769.0,
1584,107,Y1,,,,
1584,106,Q4,-0.96,-79849.0,1004279.0,
1584,106,Q3,-0.57,-47309.0,1041444.0,
1584,106,Q2,-0.45,-37305.0,1048888.0,
1584,106,Q1,-0.17,-14725.0,1075597.0,
1584,106,Y1,,,,
1586,114,Q3,-0.46,-44979.0,1836052.0,
1586,114,Q2,,,1783942.0,
1586,114,Q1,-0.33,-29685.0,1947365.0,
1586,113,Q4,0.43,35282.0,1530830.0,
1586,113,Q3,0.42,34471.0,1538011.0,
1586,113,Q2,0.41,33415.0,1516931.0,
1586,113,Q1,0.33,27160.0,1498275.0,
1586,113,Y1,,,,0.3
1586,112,Q4,-0.67,-54313.0,1459143.0,
1586,112,Q3,-0.93,-75164.0,1467334.0,
1586,112,Q2,-0.8,-64783.0,1411377.0,
1586,112,Q1,-0.7,-56305.0,1468217.0,
1586,112,Y1,,,,0.1
1586,111,Q4,0.53,43134.0,1542155.0,
1586,111,Q3,0.72,58921.0,1588663.0,
1586,111,Q2,0.74,61338.0,1585386.0,
1586,111,Q1,0.32,26351.0,1606732.0,
1586,111,Y1,,,,0.2
1586,110,Q4,1.29,107662.0,1621504.0,
1586,110,Q3,1.19,96514.0,1597740.0,
1586,110,Q2,0.85,69008.0,1531828.0,
1586,110,Q1,0.48,39315.0,1557651.0,
1586,110,Y1,,,,0.65
1586,109,Q4,1.69,137632.0,1567931.0,
1586,109,Q3,,,1453912.0,
1586,109,Q2,0.74,56840.0,1371842.0,
1586,109,Q1,0.17,12971.0,1377112.0,
1586,109,Y1,,,,0.8
1586,108,Q4,0.26,20061.0,1372271.0,
1586,108,Q3,0.01,883.0,1366812.0,
1586,108,Q2,-0.01,-561.0,1412212.0,
1586,108,Q1,-0.46,-34048.0,1431377.0,
1586,108,Y1,,,,0.06
1586,107,Q4,1.36,102009.0,1435669.0,
1586,107,Q3,1.34,100743.0,1534652.0,
1586,107,Q2,0.76,57268.0,1427899.0,
1586,107,Q1,0.2,15154.0,1530141.0,
1586,107,Y1,,,,0.5
1586,106,Q4,0.42,30189.0,1496855.0,
1586,106,Q3,0.25,17579.0,1411695.0,
