出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
114/10/28,112,2,1444,力麗,1062413.00,-856371.00,-80999.00,-5824.00,119219.00,1496152.00,1615371.00
114/10/28,112,2,1445,大宇,-48997.00,-28038.00,-133.00,--,-77168.00,302038.00,224870.00
114/10/28,112,2,1446,宏和,-93582.00,0.00,86444.00,204.00,-6934.00,277840.00,270906.00
114/10/28,112,2,1447,力鵬,-102511.00,-275456.00,-61126.00,23391.00,-415702.00,2360351.00,1944649.00
114/10/28,112,2,1449,佳和,93732.00,-51509.00,28970.00,138.00,71331.00,87976.00,159307.00
114/10/28,112,2,1451,年興,110024.00,-397412.00,-522.00,36270.00,-251640.00,1606649.00,1355009.00
114/10/28,112,2,1452,宏益,101455.00,-164291.00,-255.00,--,-63091.00,607542.00,544451.00
114/10/28,112,2,1453,大將,29615.00,-28811.00,5992.00,--,6796.00,7495.00,14291.00
114/10/28,112,2,1454,台富,91715.00,-69669.00,-70376.00,--,-48330.00,197895.00,149565.00
114/10/28,112,2,1455,集盛,-378732.00,-367531.00,765129.00,-649.00,18217.00,85324.00,103541.00
114/10/28,112,2,1456,怡華,-1131497.00,-98757.00,1525224.00,--,294970.00,141378.00,436348.00
114/10/28,112,2,1457,宜進,-114596.00,-378168.00,339802.00,--,-152962.00,401534.00,248572.00
114/10/28,112,2,1459,聯發,41175.00,678183.00,-684789.00,-11939.00,22630.00,447489.00,470119.00
114/10/28,112,2,1460,宏遠,923133.00,-209178.00,-748915.00,-23007.00,-57967.00,547231.00,489264.00
114/10/28,112,2,1463,強盛新,-53751.00,-7825.00,-1546.00,--,-63122.00,253973.00,190851.00
114/10/28,112,2,1464,得力,659018.00,1054109.00,-1616850.00,8422.00,104699.00,1351927.00,1456626.00
114/10/28,112,2,1465,偉全,55412.00,13550.00,-10920.00,--,58042.00,223016.00,281058.00
114/10/28,112,2,1466,聚隆,-3276.00,-110524.00,202201.00,--,88401.00,225398.00,313799.00
114/10/28,112,2,1467,南緯,-83996.00,-179050.00,-105907.00,-63508.00,-432461.00,2144613.00,1712152.00
114/10/28,112,2,1468,昶和,54753.00,-320903.00,392465.00,1384.00,127699.00,183657.00,311356.00
114/10/28,112,2,1470,大統新創,112268.00,-69829.00,-1660.00,962.00,41741.00,193619.00,235360.00
114/10/28,112,2,1471,首利,50552.00,-110261.00,-5069.00,-30305.00,-95083.00,274885.00,179802.00
114/10/28,112,2,1472,三洋實業,-199469.00,503119.00,-316934.00,59.00,-13225.00,258575.00,245350.00
114/10/28,112,2,1473,台南,430644.00,-31435.00,-202841.00,12818.00,209186.00,798957.00,1008143.00
114/10/28,112,2,1474,弘裕,-131211.00,-20162.00,7758.00,-3309.00,-146924.00,630487.00,483563.00
114/10/28,112,2,1475,業旺,250881.00,-16880.00,-1921.00,--,232080.00,638274.00,870354.00
114/10/28,112,2,1476,儒鴻,116387.00,2846233.00,-727931.00,9011.00,2243700.00,6022271.00,8265971.00
114/10/28,112,2,1477,聚陽,2267359.00,1007820.00,-3901661.00,12071.00,-614411.00,2760418.00,2146007.00
114/10/28,112,2,1503,士電,1711921.00,-539456.00,-1201784.00,-45784.00,-75103.00,3215162.00,3140059.00
114/10/28,112,2,1504,東元,1177625.00,331698.00,-227131.00,219915.00,1502107.00,21156796.00,22658903.00
114/10/28,112,2,1506,正道,95528.00,-100452.00,308172.00,-5298.00,297950.00,255822.00,553772.00
114/10/28,112,2,1512,瑞利,-116569.00,56421.00,-36512.00,8642.00,-88018.00,186685.00,98667.00
114/10/28,112,2,1513,中興電,2249676.00,-1599053.00,-1146412.00,-13290.00,-509079.00,2743814.00,2234735.00
114/10/28,112,2,1514,亞力,-591700.00,-24579.00,590028.00,-1782.00,-28033.00,670064.00,642031.00
114/10/28,112,2,1515,力山,-75170.00,-98933.00,-160629.00,1272.00,-333460.00,1970759.00,1637299.00
114/10/28,112,2,1516,川飛,45782.00,72042.00,--,--,117824.00,261319.00,379143.00
114/10/28,112,2,1517,利奇,292731.00,-133225.00,-1434.00,-19474.00,138598.00,1213645.00,1352243.00
114/10/28,112,2,1519,華城,751528.00,-19879.00,-643447.00,9187.00,97389.00,595630.00,693019.00
114/10/28,112,2,1521,大億,251522.00,-10548.00,20122.00,11.00,261107.00,154833.00,415940.00
114/10/28,112,2,1522,堤維西,1852289.00,-714503.00,-1720359.00,15681.00,-566892.00,1855266.00,1288374.00
114/10/28,112,2,1524,耿鼎,327430.00,-140493.00,-547397.00,--,-360460.00,699763.00,339303.00
114/10/28,112,2,1525,江申,47337.00,4440.00,-70084.00,-32342.00,-50649.00,1350072.00,1299423.00
114/10/28,112,2,1526,日馳,-227337.00,-61599.00,169343.00,29643.00,-89950.00,413273.00,323323.00
114/10/28,112,2,1527,鑽全,362000.00,-378346.00,51.00,--,-16295.00,361457.00,345162.00
114/10/28,112,2,1528,恩德,-105479.00,-77367.00,15622.00,427.00,-166797.00,851086.00,684289.00
114/10/28,112,2,1529,樂事綠能,-15104.00,-150205.00,121821.00,0.00,-43488.00,450322.00,406834.00
114/10/28,112,2,1530,亞崴,133944.00,171098.00,-863048.00,-16726.00,-574732.00,1132171.00,557439.00
114/10/28,112,2,1531,高林股,192838.00,-217226.00,-154072.00,-20864.00,-199324.00,1170341.00,971017.00
114/10/28,112,2,1532,勤美,1501132.00,-215886.00,-1207637.00,-108700.00,-31091.00,6068902.00,6037811.00
114/10/28,112,2,1533,車王電,-447305.00,-142911.00,587966.00,10467.00,8217.00,811276.00,819493.00
114/10/28,112,2,1535,中宇,-629273.00,33207.00,-27509.00,8477.00,-615098.00,1159129.00,544031.00
114/10/28,112,2,1536,和大,254828.00,-473958.00,-235937.00,17853.00,-437214.00,1072452.00,635238.00
114/10/28,112,2,1537,廣隆,419584.00,-96167.00,-3013.00,32355.00,352759.00,1719852.00,2072611.00
114/10/28,112,2,1538,正峰,31683.00,-133837.00,163181.00,-18539.00,42488.00,61422.00,103910.00
114/10/28,112,2,1539,巨庭,165597.00,49514.00,-246027.00,12.00,-30904.00,585041.00,554137.00
114/10/28,112,2,1540,喬福,98441.00,-70493.00,0.00,626.00,28574.00,182205.00,210779.00
114/10/28,112,2,1541,錩泰,-44119.00,-16468.00,59999.00,6024.00,5436.00,172827.00,178263.00
114/10/28,112,2,1558,伸興,1045129.00,-351402.00,-992837.00,-17513.00,-316623.00,3047053.00,2730430.00
114/10/28,112,2,1560,中砂,572010.00,-374167.00,274144.00,888.00,472875.00,1129701.00,1602576.00
114/10/28,112,2,1563,巧新,367897.00,-249473.00,64194.00,507.00,183125.00,878122.00,1061247.00
114/10/28,112,2,1568,倉佑,108026.00,630.00,-195880.00,911.00,-86313.00,458717.00,372404.00
114/10/28,112,2,1582,信錦,353899.00,-473980.00,-203235.00,-22435.00,-345751.00,3510365.00,3164614.00
114/10/28,112,2,1583,程泰,480375.00,220326.00,-1963993.00,-27393.00,-1290685.00,2722346.00,1431661.00
114/10/28,112,2,1587,吉茂,122787.00,-326783.00,147453.00,14889.00,-41654.00,544846.00,503192.00
114/10/28,112,2,1589,永冠-KY,-745932.00,-1606865.00,2597371.00,-80154.00,164420.00,2114380.00,2278800.00
114/10/28,112,2,1590,亞德客-KY,2035237.00,-1163937.00,-912545.00,73500.00,32255.00,6345451.00,6377706.00
114/10/28,112,2,1597,直得,-19475.00,-84354.00,157137.00,-2625.00,50683.00,864154.00,914837.00
114/10/28,112,2,1598,岱宇,314361.00,-98967.00,499112.00,16586.00,731092.00,1120781.00,1851873.00
114/10/28,112,2,1603,華電,-743562.00,-20762.00,728802.00,0.00,-35522.00,158093.00,122571.00
114/10/28,112,2,1604,聲寶,328355.00,-341182.00,180298.00,-3103.00,164368.00,767654.00,932022.00
114/10/28,112,2,1605,華新,7032968.00,-9779934.00,7355034.00,226417.00,4834485.00,19397973.00,24232458.00
114/10/28,112,2,1608,華榮,512996.00,28419.00,-340147.00,--,201268.00,179163.00,380431.00
114/10/28,112,2,1609,大亞,1570117.00,-1341428.00,901967.00,-6597.00,1124059.00,4344838.00,5468897.00
114/10/28,112,2,1611,中電,114989.00,-322808.00,-18752.00,-453.00,-227024.00,653472.00,426448.00
114/10/28,112,2,1612,宏泰,-70456.00,-281218.00,2870.00,251.00,-348553.00,2420702.00,2072149.00
114/10/28,112,2,1614,三洋電,222030.00,-247806.00,72318.00,--,46542.00,55270.00,101812.00
114/10/28,112,2,1615,大山,59369.00,-53918.00,-2027.00,--,3424.00,78296.00,81720.00
114/10/28,112,2,1616,億泰,184452.00,8143.00,-251033.00,506.00,-57932.00,214625.00,156693.00
114/10/28,112,2,1617,榮星,49464.00,-128119.00,140885.00,22948.00,85178.00,702666.00,787844.00
114/10/28,112,2,1618,合機,29159.00,-82550.00,217633.00,87.00,164329.00,145087.00,309416.00
114/10/28,112,2,1626,艾美特-KY,566587.00,-228275.00,-37583.00,-79309.00,221420.00,898784.00,1120204.00
114/10/28,112,2,1702,南僑,1552518.00,-1087221.00,-657014.00,-347374.00,-539091.00,10494443.00,9955352.00
114/10/28,112,2,1707,葡萄王,1091852.00,-514166.00,-660830.00,-16020.00,-99164.00,4672852.00,4573688.00
114/10/28,112,2,1708,東鹼,224273.00,-194066.00,-36140.00,15479.00,9546.00,1295290.00,1304836.00
114/10/28,112,2,1709,和益,215458.00,-46731.00,-704280.00,288.00,-535265.00,1203266.00,668001.00
114/10/28,112,2,1710,東聯,169224.00,718188.00,-1569836.00,-300.00,-682724.00,2145428.00,1462704.00
114/10/28,112,2,1711,永光,395551.00,-499145.00,43335.00,1013.00,-59246.00,1215150.00,1155904.00
114/10/28,112,2,1712,興農,1286530.00,-53075.00,-927399.00,3112.00,309168.00,2125242.00,2434410.00
114/10/28,112,2,1713,國化,21928.00,-15739.00,-594.00,--,5595.00,182964.00,188559.00
114/10/28,112,2,1714,和桐,645007.00,-197212.00,98967.00,-14964.00,531798.00,5415884.00,5947682.00
114/10/28,112,2,1717,長興,3053501.00,-2159598.00,-1139472.00,-136767.00,-382336.00,5450766.00,5068430.00
114/10/28,112,2,1720,生達,545539.00,-181247.00,-333938.00,4223.00,34577.00,2259381.00,2293958.00
114/10/28,112,2,1721,三晃,199367.00,36408.00,-305011.00,--,-69236.00,453978.00,384742.00
114/10/28,112,2,1722,台肥,3981861.00,-1257482.00,54959.00,27079.00,2806417.00,2699760.00,5506177.00
