出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,權益─具證券性質之虛擬通貨,保留盈餘,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,權益總額,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益
114/10/28,113,2,1565,精華,4077493.00,3815905.00,7893398.00,1442410.00,342959.00,1785369.00,504165.00,,526000.00,,1368.00,--,,--,--,--,6108029.00,0.00,0.00,,121.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,5076496.00,6108029.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1569,濱川,3288401.00,3070504.00,6358905.00,2342408.00,789387.00,3131795.00,1214474.00,,1033431.00,,-70921.00,--,,--,--,135147.00,3227110.00,--,0.00,,25.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,914979.00,3091963.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1570,力肯,907736.00,298914.00,1206650.00,233056.00,23779.00,256835.00,515008.00,,0.00,,41668.00,--,,--,--,0.00,949815.00,0.00,0.00,,18.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,393139.00,949815.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1580,新麥,2590728.00,1703258.00,4293986.00,1306825.00,78644.00,1385469.00,502302.00,,206827.00,,-103175.00,--,,--,--,119405.00,2908517.00,--,0.00,,55.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,2183158.00,2789112.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1584,精剛,3399710.00,2464134.00,5863844.00,1115474.00,1019115.00,2134589.00,1924705.00,,1161769.00,,24667.00,--,,--,--,74486.00,3729255.00,0.00,0.00,,18.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,543628.00,3654769.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1586,和勤,1961582.00,1948228.00,3909810.00,1132809.00,1260070.00,2392879.00,865561.00,,578446.00,,-91869.00,-204374.00,,--,--,--,1516931.00,0.00,0.00,,18.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,369167.00,1516931.00,5054000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1591,駿吉-KY,255026.00,267188.00,522214.00,18619.00,18683.00,37302.00,360480.00,,83121.00,,-153633.00,0.00,,--,--,--,484912.00,--,0.00,,13.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,194944.00,484912.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1593,祺驊,781290.00,1216502.00,1997792.00,383422.00,268001.00,651423.00,397848.00,,579245.00,,-31250.00,0.00,,--,--,65117.00,1346369.00,0.00,0.00,,32.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,335409.00,1281252.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1595,川寶,2935660.00,1398903.00,4334563.00,1393249.00,324683.00,1717932.00,478754.00,,577689.00,,9774.00,--,,--,--,1202.00,2616631.00,--,0.00,,54.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,1549212.00,2615429.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1599,宏佳騰,1475153.00,1488445.00,2963598.00,668473.00,390239.00,1058712.00,745287.00,,418166.00,,-2091.00,-63380.00,,--,--,--,1904886.00,0.00,0.00,,26.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,806904.00,1904886.00,1500000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
