出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,保留盈餘,歸屬於母公司業主之權益合計,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,權益─具證券性質之虛擬通貨,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益,<html>
114/10/28,110,2,4433,興采,1873715.00,2747921.00,4621636.00,1460392.00,699236.00,2159628.00,468052.00,,417726.00,,-27046.00,0.00,,--,--,1182263.00,2462008.00,0.00,0.00,,27.34,421013.00,1279745.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4502,健信,917107.00,1373880.00,2290987.00,993056.00,807682.00,1800738.00,507506.00,,102264.00,,-30972.00,-34659.00,,--,--,14156.00,490249.00,--,0.00,,9.50,-68046.00,476093.00,,642000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4503,金雨,282417.00,372334.00,654751.00,166959.00,22299.00,189258.00,392633.00,,65315.00,,-14289.00,--,,--,--,--,465493.00,--,0.00,,11.86,21834.00,465493.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4506,崇友,5438662.00,2711493.00,8150155.00,3823535.00,41490.00,3865025.00,1770120.00,,60830.00,,-97118.00,0.00,,--,--,-59.00,4285130.00,0.00,0.00,,24.21,2551357.00,4285189.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4510,高鋒,2599470.00,2553564.00,5153034.00,1737418.00,1375425.00,3112843.00,1080107.00,,270497.00,,449238.00,--,,--,--,3570.00,2040191.00,0.00,0.00,,18.86,236779.00,2036621.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4513,福裕,1653184.00,795416.00,2448600.00,937231.00,727711.00,1664942.00,768803.00,,11460.00,,-59078.00,0.00,,--,--,0.00,783658.00,0.00,0.00,,10.19,62473.00,783658.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4523,永彰,798393.00,740283.00,1538676.00,584147.00,9816.00,593963.00,640000.00,,295985.00,,-69072.00,--,,0.00,--,0.00,944713.00,--,0.00,,14.76,77800.00,944713.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4527,方方土霖,1981006.00,706071.00,2687077.00,843152.00,256237.00,1099389.00,761524.00,,128616.00,,-104419.00,--,,--,--,95022.00,1587688.00,0.00,0.00,,19.60,706945.00,1492666.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4528,江興鍛,1607111.00,2469143.00,4076254.00,1405663.00,610764.00,2016427.00,765143.00,,16775.00,,-183690.00,0.00,,--,--,0.00,2059827.00,0.00,0.00,,26.92,1461599.00,2059827.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4529,淳紳,351550.00,537024.00,888574.00,313870.00,4828.00,318698.00,846389.00,,211479.00,,-97313.00,--,,--,--,-1919.00,569876.00,--,0.00,,6.76,-388760.00,571795.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
