出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額,<html>
114/10/28,111,3,9912,偉聯,-72224.00,-2782.00,88632.00,1149.00,14775.00,91366.00,106141.00,
114/10/28,111,3,9914,美利達,2199046.00,-69665.00,-1522560.00,142114.00,748935.00,3684856.00,4433791.00,
114/10/28,111,3,9917,中保科,1400768.00,-923623.00,-899871.00,0.00,-422726.00,4665344.00,4242618.00,
114/10/28,111,3,9918,欣天然,537535.00,-223461.00,-302574.00,--,11500.00,558033.00,569533.00,
114/10/28,111,3,9919,康那香,112601.00,-308442.00,164714.00,39831.00,8704.00,1152209.00,1160913.00,
114/10/28,111,3,9921,巨大,1204017.00,920486.00,3339132.00,40283.00,5503918.00,7714386.00,13218304.00,
114/10/28,111,3,9924,福興,998410.00,-191013.00,-471791.00,34099.00,369705.00,2019319.00,2389024.00,
114/10/28,111,3,9925,新保,983123.00,-543407.00,-493419.00,-380.00,-54083.00,4103019.00,4048936.00,
114/10/28,111,3,9926,新海,715770.00,-190097.00,-358511.00,--,167162.00,610987.00,778149.00,
114/10/28,111,3,9927,泰銘,15028.00,853010.00,-118414.00,25908.00,775532.00,777051.00,1552583.00,
114/10/28,111,3,9928,中視,80122.00,-13373.00,-48132.00,--,18617.00,132422.00,151039.00,
114/10/28,111,3,9929,秋雨,-5998.00,148101.00,1394.00,--,143497.00,175479.00,318976.00,
114/10/28,111,3,9930,中聯資源,1386171.00,-105435.00,-1309716.00,24176.00,-4804.00,317568.00,312764.00,
114/10/28,111,3,9931,欣高,275040.00,-401679.00,100005.00,--,-26634.00,188488.00,161854.00,
114/10/28,111,3,9933,中鼎,2965920.00,574894.00,-1297739.00,--,2243075.00,21399753.00,23642828.00,
114/10/28,111,3,9934,成霖,389135.00,-218154.00,-233038.00,-67535.00,-129592.00,2281297.00,2151705.00,
114/10/28,111,3,9935,慶豐富,-374467.00,-33847.00,406031.00,83325.00,81042.00,375191.00,456233.00,
114/10/28,111,3,9937,全國,1296830.00,-288967.00,-1304848.00,--,-296985.00,1035168.00,738183.00,
114/10/28,111,3,9938,百和,2353721.00,-2260405.00,1461809.00,-320261.00,1234864.00,3531290.00,4766154.00,
114/10/28,111,3,9939,宏全,2295222.00,-2397995.00,112857.00,313095.00,323179.00,4952118.00,5275297.00,
114/10/28,111,3,9940,信義,-1763976.00,83721.00,817939.00,280151.00,-582165.00,9546619.00,8964454.00,
114/10/28,111,3,9941,裕融,-22285627.00,-2184949.00,24683666.00,95145.00,308235.00,6955534.00,7263769.00,
114/10/28,111,3,9942,茂順,228736.00,-153189.00,-327758.00,16647.00,-235564.00,470015.00,234451.00,
114/10/28,111,3,9943,好樂迪,314451.00,50437.00,-484739.00,420.00,-119431.00,393868.00,274437.00,
114/10/28,111,3,9944,新麗,114371.00,482822.00,-4060.00,117051.00,710184.00,754271.00,1464455.00,
114/10/28,111,3,9945,潤泰新,4391065.00,-5182097.00,-969917.00,-90136.00,-1851085.00,9162752.00,7311667.00,
114/10/28,111,3,9946,三發地產,702093.00,-147767.00,27682.00,--,582008.00,2165778.00,2747786.00,
114/10/28,111,3,9955,佳龍,22650.00,-50701.00,15812.00,2968.00,-9271.00,136404.00,127133.00,
114/10/28,111,3,9958,世紀鋼,1420042.00,-2106045.00,2229275.00,563.00,1543835.00,1488247.00,3032082.00,
,,,,,,,,,,,,<head>
,,,,,,,,,,,,<link rel='stylesheet' href='/ppp.css' type='text/css'>
,,,,,,,,,,,,</head>
,,,,,,,,,,,,<body>
,,,,,,,,,,,,<center>
,,,,,,,,,,,,<br><h4 align='center'><font color='red'>檔案不存在</font></h4>
,,,,,,,,,,,,<!- filename1 = t163sb20_20251028_0405436.csv --><br>
,,,,,,,,,,,,<!- filename2 = t163sb20_20251028_0405436.csv -->
,,,,,,,,,,,,<!- fromNew =  -->
114/10/28,111,2,2801,彰銀,-81735131.00,-1009257.00,-9544371.00,1724030.00,-90564729.00,194506675.00,103941946.00,
114/10/28,111,2,2812,台中銀,-11025201.00,1830564.00,-3003118.00,41126.00,-12156629.00,47367088.00,35210459.00,
114/10/28,111,2,2820,華票,-1823067.00,-6665.00,2064720.00,--,234988.00,554598.00,789586.00,
114/10/28,111,2,2834,臺企銀,31369853.00,2337055.00,-48509229.00,-805.00,-14803126.00,39444032.00,24640906.00,
114/10/28,111,2,2836,高雄銀,508093.00,-199073.00,-2134768.00,64.00,-1825684.00,13399062.00,11573378.00,
114/10/28,111,2,2838,聯邦銀,-25537233.00,-2492623.00,-8450657.00,905923.00,-35574590.00,71489262.00,35914672.00,
114/10/28,111,2,2845,遠東銀,15316728.00,-2550031.00,-344763.00,1548846.00,13970780.00,42158013.00,56128793.00,
114/10/28,111,2,2849,安泰銀,-2558706.00,1020526.00,20817.00,143563.00,-1373800.00,3705090.00,2331290.00,
114/10/28,111,2,2897,王道銀行,5522347.00,-37753.00,-4493769.00,738572.00,1729397.00,15198196.00,16927593.00,
114/10/28,111,2,5876,上海商銀,62404778.00,-2020977.00,-20745017.00,6425777.00,46064561.00,182050068.00,228114629.00,
114/10/28,111,3,1240,茂生農經,-252654.00,-13669.00,240405.00,--,-25918.00,76806.00,50888.00,
114/10/28,111,3,1259,安心,677021.00,-407081.00,-464428.00,3656.00,-190832.00,1046751.00,855919.00,
114/10/28,111,3,1264,德麥,476952.00,-321005.00,-264064.00,34565.00,-73552.00,858661.00,785109.00,
114/10/28,111,3,1268,漢來美食,311401.00,-599425.00,-242602.00,0.00,-530626.00,1175840.00,645214.00,
114/10/28,111,3,1336,台翰,162343.00,-80433.00,-78285.00,86844.00,90469.00,537308.00,627777.00,
114/10/28,111,3,1565,精華,949878.00,-104944.00,-1323428.00,13950.00,-464544.00,2354692.00,1890148.00,
114/10/28,111,3,1569,濱川,1067461.00,-410074.00,-148008.00,69873.00,579252.00,630042.00,1209294.00,
114/10/28,111,3,1570,力肯,152936.00,-81293.00,-53209.00,380.00,18814.00,139963.00,158777.00,
114/10/28,111,3,1580,新麥,299288.00,-35665.00,-363663.00,36195.00,-63845.00,634661.00,570816.00,
114/10/28,111,3,1584,精剛,-817762.00,-22293.00,893472.00,0.00,53417.00,135607.00,189024.00,
114/10/28,111,3,1586,和勤,36541.00,-142023.00,-91001.00,28080.00,-168403.00,526955.00,358552.00,
114/10/28,111,3,1591,駿吉-KY,112264.00,-128.00,-12657.00,16123.00,115602.00,40326.00,155928.00,
114/10/28,111,3,1593,祺驊,50131.00,-12195.00,13408.00,18005.00,69349.00,201466.00,270815.00,
114/10/28,111,3,1595,川寶,507876.00,-147628.00,-1949.00,37464.00,395763.00,1019832.00,1415595.00,
114/10/28,111,3,1599,宏佳騰,-90032.00,-305569.00,-3412.00,7320.00,-391693.00,1085501.00,693808.00,
114/10/28,111,3,1742,台蠟,-276193.00,334667.00,95171.00,31937.00,185582.00,93844.00,279426.00,
114/10/28,111,3,1777,生泰,409221.00,-557062.00,-200335.00,--,-348176.00,1229859.00,881683.00,
114/10/28,111,3,1781,合世,-58248.00,-2534.00,10981.00,34659.00,-15142.00,200014.00,184872.00,
114/10/28,111,3,1784,訊聯,88529.00,10578.00,-68911.00,334.00,30530.00,121797.00,152327.00,
114/10/28,111,3,1785,光洋科,1485017.00,-793251.00,-1195819.00,89073.00,-414980.00,3148526.00,2733546.00,
