出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,權益－具證券性質之虛擬通貨,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,權益總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,避險之衍生金融負債,應付商業本票－淨額,應付債券,其他借款,歸屬於母公司業主之權益,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,其他資產,分離帳戶保險商品資產,短期債務,本期所得稅負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,分離帳戶保險商品負債
114/10/28,111,1,2067,嘉鋼,624900.00,1247937.00,1872837.00,772840.00,594372.00,1367212.00,451382.00,--,1584.00,-35992.00,-5765.00,--,411209.00,--,--,94416.00,505625.00,--,0.00,0.00,9.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2070,精湛,799436.00,641063.00,1440499.00,319947.00,233930.00,553877.00,357828.00,--,54615.00,488584.00,-14405.00,--,886622.00,--,--,--,886622.00,--,0.00,0.00,24.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2221,大甲,1223802.00,532319.00,1756121.00,492801.00,223981.00,716782.00,423250.00,0.00,51422.00,507833.00,-2672.00,0.00,979833.00,0.00,--,59506.00,1039339.00,0.00,0.00,0.00,23.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2230,泰茂,679809.00,350259.00,1030068.00,486934.00,56457.00,543391.00,399132.00,--,41809.00,24796.00,-12329.00,--,453408.00,--,--,33269.00,486677.00,--,0.00,0.00,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2235,謚源,888347.00,1079832.00,1968179.00,588856.00,88311.00,677167.00,358780.00,--,497802.00,434430.00,--,--,--,--,--,--,1291012.00,--,0.00,0.00,35.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2596,綠意,3174106.00,217070.00,3391176.00,795322.00,--,795322.00,1000000.00,--,189208.00,1037900.00,0.00,--,2227108.00,--,--,368746.00,2595854.00,--,0.00,0.00,22.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2640,大車隊,993726.00,2003923.00,2997649.00,919963.00,425100.00,1345063.00,592650.00,--,503474.00,435076.00,-587.00,--,1530613.00,--,--,121973.00,1652586.00,0.00,0.00,0.00,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2641,正德,889506.00,5243995.00,6133501.00,760440.00,2128575.00,2889015.00,1886358.00,--,652668.00,855749.00,-150289.00,--,3244486.00,--,--,--,3244486.00,0.00,0.00,0.00,17.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2643,捷迅,1775805.00,217175.00,1992980.00,646280.00,121126.00,767406.00,300000.00,--,167687.00,785931.00,-28044.00,--,1225574.00,--,--,--,1225574.00,--,0.00,0.00,40.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2718,全心投控,2615447.00,469210.00,3084657.00,1391404.00,110226.00,1501630.00,845760.00,--,642059.00,90318.00,4890.00,--,1583027.00,--,--,--,1583027.00,0.00,0.00,0.00,18.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
