出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收入,支出,繼續營業單位稅前淨利（淨損）,其他綜合損益,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,利息以外淨損益,繼續營業單位本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益
114/10/28,112,3,9904,寶成,185757970.00,141359453.00,--,--,44398517.00,--,--,44398517.00,39054909.00,--,5343608.00,10531032.00,15874640.00,2512963.00,13361677.00,--,--,13361677.00,9144337.00,--,22506014.00,10581173.00,--,2780504.00,17449249.00,--,5056765.00,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9905,大華,6800232.00,6014140.00,--,--,786092.00,--,--,786092.00,381956.00,--,404136.00,104256.00,508392.00,133192.00,375200.00,--,--,375200.00,44812.00,--,420012.00,378836.00,--,-3636.00,423241.00,--,-3229.00,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9906,欣巴巴,3616522.00,2569956.00,--,--,1046566.00,--,--,1046566.00,323661.00,--,722905.00,-29683.00,693222.00,150276.00,542946.00,--,--,542946.00,--,--,542946.00,542946.00,--,--,542946.00,--,--,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9907,統一實,27280845.00,24378693.00,--,--,2902152.00,--,--,2902152.00,1802788.00,--,1099364.00,-17416.00,1081948.00,388778.00,693170.00,--,--,693170.00,-91319.00,--,601851.00,753180.00,--,-60010.00,667824.00,--,-65973.00,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9908,大台北,2489986.00,1829086.00,--,--,660900.00,--,--,660900.00,191075.00,-4140.00,465685.00,661562.00,1127247.00,126492.00,1000755.00,--,--,1000755.00,321783.00,--,1322538.00,948802.00,--,51953.00,1265608.00,--,56930.00,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9910,豐泰,63232072.00,50698132.00,--,--,12533940.00,--,--,12533940.00,8244792.00,--,4289148.00,778210.00,5067358.00,1058134.00,4009224.00,--,--,4009224.00,1119810.00,--,5129034.00,3635293.00,--,373931.00,4689898.00,--,439136.00,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9911,櫻花,5968269.00,3884342.00,--,--,2083927.00,--,--,2083927.00,1249008.00,--,834919.00,99072.00,933991.00,205259.00,728732.00,--,--,728732.00,79714.00,--,808446.00,731666.00,--,-2934.00,811380.00,--,-2934.00,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9912,偉聯,384105.00,230288.00,--,--,153817.00,--,--,153817.00,179841.00,--,-26024.00,-3630.00,-29654.00,1509.00,-31163.00,--,--,-31163.00,8857.00,--,-22306.00,-14818.00,--,-16345.00,-5961.00,--,-16345.00,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9914,美利達,22534318.00,18488110.00,--,--,4046208.00,--,400850.00,4447058.00,1634491.00,--,2812567.00,233594.00,3046161.00,916234.00,2129927.00,--,--,2129927.00,958872.00,--,3088799.00,1995239.00,--,134688.00,2923083.00,--,165716.00,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9917,中保科,12624832.00,8470648.00,--,--,4154184.00,--,--,4154184.00,2131938.00,--,2022246.00,340646.00,2362892.00,432815.00,1930077.00,--,--,1930077.00,105158.00,--,2035235.00,1906139.00,--,23938.00,2011091.00,--,24144.00,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
