出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,本期其他綜合損益（稅後淨額）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,繼續營業單位稅前淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,收入,支出,其他綜合損益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益
114/10/28,114,1,7738,東聯互動,126188.00,57762.00,--,--,68426.00,--,--,68426.00,32176.00,55230.00,91480.00,-7351.00,84129.00,16623.00,67506.00,--,--,67506.00,899.00,--,68405.00,67506.00,--,0.00,68405.00,--,0.00,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7743,金利食安,119678.00,84084.00,--,--,35594.00,--,--,35594.00,34413.00,--,1181.00,4160.00,5341.00,1209.00,4132.00,--,--,4132.00,--,--,4132.00,4132.00,--,--,4132.00,--,--,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7747,昕奇雲端,432922.00,367667.00,--,--,65255.00,--,--,65255.00,28610.00,--,36645.00,1395.00,38040.00,6778.00,31262.00,--,--,31262.00,683.00,--,31945.00,29461.00,--,1801.00,30144.00,--,1801.00,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7751,竑騰,357115.00,148566.00,--,--,208549.00,--,--,208549.00,89809.00,--,118740.00,5180.00,123920.00,25615.00,98305.00,--,--,98305.00,516.00,--,98821.00,97973.00,--,332.00,98457.00,--,364.00,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7753,星亞,202053.00,126438.00,--,--,75615.00,--,--,75615.00,51098.00,--,24517.00,2926.00,27443.00,5576.00,21867.00,--,--,21867.00,--,--,21867.00,--,--,--,--,--,--,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7757,金色三麥,542544.00,254442.00,--,--,288102.00,--,--,288102.00,241344.00,--,46758.00,-538.00,46220.00,9248.00,36972.00,--,--,36972.00,0.00,--,36972.00,36718.00,--,254.00,36718.00,--,254.00,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7782,光速火箭,193521.00,59596.00,--,--,133925.00,--,--,133925.00,111087.00,--,22838.00,2071.00,24909.00,5034.00,19875.00,--,--,19875.00,--,--,19875.00,19875.00,--,--,19875.00,--,--,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8024,佑華,43617.00,36602.00,--,--,7015.00,--,--,7015.00,35571.00,--,-28556.00,3557.00,-24999.00,-271.00,-24728.00,--,--,-24728.00,902.00,--,-23826.00,-24728.00,--,--,-23826.00,--,--,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8027,鈦昇,314912.00,215751.00,--,--,99161.00,--,--,99161.00,174697.00,--,-75536.00,12653.00,-62883.00,-519.00,-62364.00,--,--,-62364.00,-1255.00,--,-63619.00,-60703.00,--,-1661.00,-61958.00,--,-1661.00,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8032,光菱,843969.00,734521.00,--,--,109448.00,--,--,109448.00,86847.00,--,22601.00,9312.00,31913.00,6661.00,25252.00,--,--,25252.00,-211007.00,--,-185755.00,25222.00,--,30.00,-185894.00,--,139.00,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
