出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,利息以外淨損益,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,合併前非屬共同控制股權損益,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,本期淨利（淨損）,營業收入,營業成本,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,其他綜合損益（淨額）,收入,支出,其他綜合損益
114/10/28,111,1,2834,臺企銀,4691032.00,,,255260.00,,3368433.00,,,,0.00,2124261.00,,,,,,857719.00,0.00,0.00,0.27,1521781.00,2589120.00,464859.00,2124261.00,--,-1266542.00,--,857719.00,2124261.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2836,高雄銀,682808.00,,,68326.00,,656025.00,,,,--,279529.00,,,,,,--,--,--,0.24,352471.00,310928.00,31399.00,279529.00,--,-676271.00,--,-396742.00,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2838,聯邦銀,2330496.00,,,137734.00,,2524449.00,,,,--,584034.00,,,,,,-2053286.00,--,857.00,0.19,1141123.00,809436.00,225402.00,584034.00,--,-2636463.00,--,-2052429.00,583177.00,--,857.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2845,遠東銀,1623026.00,,,207087.00,,1588196.00,,,,--,660712.00,,,,,,21621.00,--,--,0.19,923109.00,750852.00,90140.00,660712.00,--,-639091.00,--,21621.00,660712.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2849,安泰銀,958250.00,,,93172.00,,710011.00,,,,0.00,680939.00,,,,,,--,--,--,0.35,604291.00,759358.00,78419.00,680939.00,--,-806262.00,--,-125323.00,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2897,王道銀行,1200418.00,,,43812.00,,1134712.00,,,,7471.00,892401.00,,,,,,-412423.00,--,-733155.00,0.21,1096626.00,1118520.00,233590.00,884930.00,--,-2037979.00,--,-1145578.00,581783.00,--,310618.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,5876,上海商銀,6749977.00,,,440332.00,,3932966.00,,,,--,4569689.00,,,,,,-117241.00,--,254210.00,0.81,3278520.00,5655199.00,1085510.00,4569689.00,--,-4432720.00,--,136969.00,3640800.00,--,928889.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,5864,致和證,,,,,,,,,62478.00,--,,-8810.00,53668.00,,--,,--,--,--,0.25,,,6284.00,,--,,--,,--,,--,137666.00,72881.00,64785.00,3977.00,68762.00,62478.00,,,,,,,,,,,,,,,,,,
114/10/28,111,1,6015,宏遠證,,,,,,,,,-97768.00,--,,-6750.00,-104518.00,,--,,-104518.00,--,--,-0.30,,,21098.00,,--,,--,,-97768.00,,--,146360.00,268238.00,-121878.00,45208.00,-76670.00,-97768.00,,,,,,,,,,,,,,,,,,
114/10/28,111,1,6016,康和證,,,,,,,,,-174156.00,--,,-63036.00,-237192.00,,--,,-238219.00,--,1027.00,-0.29,,,61683.00,,--,,--,,-175074.00,,918.00,422883.00,554738.00,-131855.00,19382.00,-112473.00,-174156.00,,,,,,,,,,,,,,,,,,
114/10/28,111,1,6020,大展證,,,,,,,,,-141145.00,--,,25370.00,-115775.00,,--,,-115768.00,--,-7.00,-0.56,,,2275.00,,--,,--,,-141138.00,,-7.00,-108148.00,36728.00,-144876.00,6006.00,-138870.00,-141145.00,,,,,,,,,,,,,,,,,,
114/10/28,111,1,6021,美好證,,,,,,,,,4577.00,--,,-165244.00,-160667.00,,--,,-160667.00,--,--,0.01,,,3784.00,,--,,--,,4577.00,,--,219159.00,218496.00,663.00,7698.00,8361.00,4577.00,,,,,,,,,,,,,,,,,,
114/10/28,111,1,6023,元大期貨,,,,,,,,,167697.00,--,,35156.00,202853.00,,--,,202853.00,--,--,0.58,,,51508.00,,--,,--,,167697.00,,--,963034.00,873130.00,89904.00,129301.00,219205.00,167697.00,,,,,,,,,,,,,,,,,,
114/10/28,111,1,6026,福邦證,,,,,,,,,127610.00,--,,47456.00,175066.00,,--,,119715.00,--,55351.00,0.24,,,44232.00,,--,,--,,72259.00,,55351.00,282874.00,111728.00,171146.00,696.00,171842.00,127610.00,,,,,,,,,,,,,,,,,,
114/10/28,111,3,2801,彰銀,18349797.00,,,2138177.00,,13028141.00,,,,--,8520518.00,,,,,,470238.00,--,--,0.80,6788838.00,9972317.00,1451799.00,8520518.00,--,-8050280.00,--,470238.00,8520518.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,3,2812,台中銀,8015198.00,,,982190.00,,5288522.00,,,,--,3944826.00,,,,,,2502060.00,--,--,0.83,3134524.00,4879010.00,934184.00,3944826.00,--,-1442766.00,--,2502060.00,3944826.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,3,2820,華票,738325.00,,,-22398.00,,346669.00,,,,0.00,925643.00,,,,,,--,--,--,0.69,666899.00,1080953.00,155310.00,925643.00,0.00,-3659003.00,--,-2733360.00,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,3,2834,臺企銀,15137165.00,,,1604071.00,,10658119.00,,,,--,7089901.00,,,,,,-1383176.00,--,--,0.88,5614784.00,8489759.00,1399858.00,7089901.00,--,-8473077.00,--,-1383176.00,7089901.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,
