出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,權益－具證券性質之虛擬通貨,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,權益總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益
114/10/28,114,2,1580,新麥,2581971.00,1731268.00,4313239.00,1300538.00,211294.00,1511832.00,502302.00,--,206827.00,2365870.00,-292220.00,-128543.00,2654236.00,--,--,147171.00,2801407.00,--,0.00,891000.00,53.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1584,精剛,3705568.00,3939819.00,7645387.00,1644649.00,1168709.00,2813358.00,2324705.00,--,2044435.00,449929.00,-57781.00,--,4761288.00,--,--,70741.00,4832029.00,0.00,0.00,0.00,20.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1586,和勤,1804343.00,1845681.00,3650024.00,792053.00,1074029.00,1866082.00,1068495.00,--,832685.00,299880.00,-196794.00,-220324.00,1783942.00,--,--,--,1783942.00,0.00,0.00,5554000.00,17.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1591,駿吉-KY,302292.00,252304.00,554596.00,27411.00,17536.00,44947.00,380480.00,--,149121.00,129022.00,-148974.00,--,509649.00,--,--,--,509649.00,--,0.00,0.00,13.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1593,祺驊,848971.00,1162585.00,2011556.00,432851.00,248760.00,681611.00,397848.00,--,584673.00,357969.00,-93920.00,0.00,1246570.00,--,--,83375.00,1329945.00,0.00,0.00,0.00,31.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1595,川寶,2748705.00,1380996.00,4129701.00,1089674.00,306371.00,1396045.00,541520.00,--,780776.00,1438545.00,-22394.00,-4755.00,2733692.00,--,--,-36.00,2733656.00,--,0.00,475500.00,50.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1599,宏佳騰,1351646.00,1458936.00,2810582.00,772141.00,123994.00,896135.00,745287.00,--,418166.00,844488.00,-45855.00,-63380.00,1898706.00,--,--,15741.00,1914447.00,0.00,0.00,1500000.00,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1742,台蠟,407021.00,1062146.00,1469167.00,27819.00,119416.00,147235.00,926713.00,--,162473.00,217630.00,15116.00,0.00,1321932.00,--,--,--,1321932.00,0.00,0.00,0.00,14.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1777,生泰,1478709.00,1472965.00,2951674.00,465385.00,70048.00,535433.00,445917.00,--,983776.00,989851.00,-3303.00,--,--,--,--,--,2416241.00,0.00,0.00,0.00,54.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1781,合世,458172.00,222870.00,681042.00,140155.00,194291.00,334446.00,474076.00,--,35107.00,-103832.00,-58755.00,--,346596.00,--,--,--,346596.00,0.00,0.00,0.00,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1784,訊聯,1914673.00,1165299.00,3079972.00,432493.00,387657.00,820150.00,531212.00,--,766011.00,77474.00,-9103.00,-104401.00,1261193.00,--,--,998629.00,2259822.00,0.00,0.00,2482365.00,24.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1785,光洋科,21792109.00,8763843.00,30555952.00,12469754.00,5176894.00,17646648.00,5960712.00,--,4124174.00,3174748.00,-368126.00,--,12891508.00,--,--,17796.00,12909304.00,--,0.00,0.00,21.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1788,杏昌,2565682.00,2464628.00,5030310.00,1629139.00,537329.00,2166468.00,445210.00,--,1601988.00,863369.00,-46725.00,--,2863842.00,--,--,--,2863842.00,0.00,0.00,0.00,64.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
