公司代號名稱,股東會日期,股利所屬年(季)度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股)
8404 - 百和興業-KY,不適用,108年 年度,0.60000000,"        189,106,876",0.0
8404 - 百和興業-KY,不適用,108年 年度,0.60000000,"        189,106,876",0.0
8409 - 商之器,109/06/17,108年 年度,0.0,                  0,0.0
8409 - 商之器,109/06/17,108年 年度,0.0,                  0,0.0
8409 - 商之器,109/06/17,108年 年度,0.0,                  0,0.0
8409 - 商之器,109/06/17,108年 年度,0.0,                  0,0.0
8410 - 森田,不適用,108年 年度,1.50000000,"         54,883,800",0.0
8410 - 森田,不適用,108年 年度,1.50000000,"         54,883,800",0.0
8410 - 森田,不適用,108年 年度,1.50000000,"         54,883,800",0.0
8410 - 森田,不適用,108年 年度,1.50000000,"         54,883,800",0.0
8411 - 福貞-KY,不適用,108年 第3季,0.0,                  0,0.0
8411 - 福貞-KY,不適用,108年 第2季,0.0,                  0,0.0
8411 - 福貞-KY,不適用,108年 第3季,0.0,                  0,0.0
8411 - 福貞-KY,109/06/18,108年 年度,0.0,                  0,0.0
8411 - 福貞-KY,109/06/18,108年 年度,0.0,                  0,0.0
8411 - 福貞-KY,不適用,108年 第3季,0.0,                  0,0.0
8411 - 福貞-KY,不適用,108年 第2季,0.0,                  0,0.0
8411 - 福貞-KY,109/06/18,108年 年度,0.0,                  0,0.0
8411 - 福貞-KY,不適用,108年 第2季,0.0,                  0,0.0
8411 - 福貞-KY,不適用,108年 第2季,0.0,                  0,0.0
8411 - 福貞-KY,不適用,108年 第3季,0.0,                  0,0.0
8411 - 福貞-KY,109/06/18,108年 年度,0.0,                  0,0.0
8415 - 大國鋼,109/06/15,108年 年度,0.0,"      1,444,100,000",0.0
8415 - 大國鋼,109/06/15,108年 年度,0.0,"      1,444,100,000",0.0
8415 - 大國鋼,109/06/15,108年 年度,0.0,"      1,444,100,000",0.0
8415 - 大國鋼,109/06/15,108年 年度,0.0,"      1,444,100,000",0.0
8416 - 實威,109/05/28,108年 年度,7.00000000,"        197,474,970",0.0
8416 - 實威,109/05/28,108年 年度,7.00000000,"        197,474,970",0.0
8416 - 實威,109/05/28,108年 年度,7.00000000,"        197,474,970",0.0
8416 - 實威,109/05/28,108年 年度,7.00000000,"        197,474,970",0.0
8421 - 旭源,109/06/15,108年 年度,0.0,                  0,0.0
8421 - 旭源,109/06/15,108年 年度,0.0,                  0,0.0
8421 - 旭源,109/06/15,108年 年度,0.0,                  0,0.0
8421 - 旭源,109/06/15,108年 年度,0.0,                  0,0.0
8422 - 可寧衛,不適用,108年 年度,10.00000000,"      1,088,880,000",0.0
8422 - 可寧衛,不適用,108年 年度,10.00000000,"      1,088,880,000",0.0
8422 - 可寧衛,不適用,108年 年度,10.00000000,"      1,088,880,000",0.0
8422 - 可寧衛,不適用,108年 年度,10.00000000,"      1,088,880,000",0.0
8423 - 保綠-KY,109/06/23,108年 年度,0.60000000,"         13,245,000",0.40000000
8423 - 保綠-KY,109/06/23,108年 年度,0.60000000,"         13,245,000",0.40000000
8423 - 保綠-KY,109/06/23,108年 年度,0.60000000,"         13,245,000",0.40000000
8423 - 保綠-KY,109/06/23,108年 年度,0.60000000,"         13,245,000",0.40000000
8424 - 惠普,109/05/15,108年 年度,4.00000000,"        144,217,472",0.0
8424 - 惠普,109/05/15,108年 年度,4.00000000,"        144,217,472",0.0
8424 - 惠普,109/05/15,108年 年度,4.00000000,"        144,217,472",0.0
8424 - 惠普,109/05/15,108年 年度,4.00000000,"        144,217,472",0.0
8426 - 紅木-KY,109/06/08,108年 年度,0.0,                  0,0.0
8426 - 紅木-KY,不適用,108年 上半年,0.0,                  0,0.0
8426 - 紅木-KY,109/06/08,108年 年度,0.0,                  0,0.0
8426 - 紅木-KY,不適用,108年 上半年,0.0,                  0,0.0
