公司代號,公司名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
4938,和碩,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,3.50000000,"      9,141,579,496",0.0,                  0
4938,和碩,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,3.50000000,"      9,141,579,496",0.0,                  0
4938,和碩,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,3.50000000,"      9,141,579,496",0.0,                  0
4939,亞電,107,Y1,108/05/24,107/01/01~107/12/31,股東會確認,0.50000000,"         49,100,434",0.0,                  0
4939,亞電,107,Y1,108/05/24,107/01/01~107/12/31,股東會確認,0.50000000,"         49,100,434",0.0,                  0
4939,亞電,107,Y1,108/05/24,107/01/01~107/12/31,股東會確認,0.50000000,"         49,100,434",0.0,                  0
4939,亞電,107,Y1,108/05/24,107/01/01~107/12/31,股東會確認,0.50000000,"         49,100,434",0.0,                  0
4942,嘉彰,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.50000000,"        355,919,033",0.0,                  0
4942,嘉彰,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.50000000,"        355,919,033",0.0,                  0
4942,嘉彰,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.50000000,"        355,919,033",0.0,                  0
4942,嘉彰,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.50000000,"        355,919,033",0.0,                  0
4943,康控-KY,107,Y1,108/06/17,107/01/01~107/12/31,股東會確認,5.50000000,"        647,834,237",0.0,"          5,889,403"
4943,康控-KY,107,Y1,108/06/17,107/01/01~107/12/31,股東會確認,5.50000000,"        647,834,237",0.0,"          5,889,403"
4943,康控-KY,107,Y1,108/06/17,107/01/01~107/12/31,股東會確認,5.50000000,"        647,834,237",0.0,"          5,889,403"
4943,康控-KY,107,Y1,108/06/17,107/01/01~107/12/31,股東會確認,5.50000000,"        647,834,237",0.0,"          5,889,403"
4946,辣椒,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4946,辣椒,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4946,辣椒,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4946,辣椒,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4949,有成精密,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4949,有成精密,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4949,有成精密,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4949,有成精密,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4950,金耘國際,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4950,金耘國際,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4950,金耘國際,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4950,金耘國際,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4951,精拓科,107,Y1,108/05/30,107/01/01~107/12/31,股東會確認,1.00000000,"         32,542,347",0.0,                  0
4951,精拓科,107,Y1,108/05/30,107/01/01~107/12/31,股東會確認,1.00000000,"         32,542,347",0.0,                  0
4951,精拓科,107,Y1,108/05/30,107/01/01~107/12/31,股東會確認,1.00000000,"         32,542,347",0.0,                  0
4951,精拓科,107,Y1,108/05/30,107/01/01~107/12/31,股東會確認,1.00000000,"         32,542,347",0.0,                  0
