公司代號,公司名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1409,新纖,112,Q1,114/10/29,,,,0.02
1409,新纖,112,Q3,114/10/29,,,,0.41
1410,南染,112,Q3,114/10/29,,166012.00,124333.00,0.32
1410,南染,112,Q1,114/10/29,,54214.00,44679.00,0.09
1410,南染,112,Q2,114/10/29,,111195.00,84272.00,0.20
1413,宏洲,112,Q3,114/10/29,,1450311.00,1518839.00,-0.83
1413,宏洲,112,Q1,114/10/29,,467757.00,488214.00,-0.26
1413,宏洲,112,Q2,114/10/29,,916233.00,957378.00,-0.53
1414,東和,112,Q1,114/10/29,,139220.00,137205.00,-0.04
1414,東和,112,Q3,114/10/29,,421819.00,400845.00,0.10
1414,東和,112,Q2,114/10/29,,276652.00,265855.00,0.04
1416,廣豐,112,Q3,114/10/29,,212254.00,138250.00,0.64
1416,廣豐,112,Q2,114/10/29,,142354.00,93348.00,0.00
1416,廣豐,112,Q1,114/10/29,,79230.00,55157.00,-0.01
1417,嘉裕,112,Q3,114/10/29,,1071159.00,721069.00,0.08
1417,嘉裕,112,Q2,114/10/29,,762363.00,486527.00,0.10
1417,嘉裕,112,Q1,114/10/29,,434610.00,280175.00,0.07
1418,東華,112,Q3,114/10/29,,16997.00,12931.00,-1.37
1418,東華,112,Q1,114/10/29,,10053.00,6995.00,-0.42
1418,東華,112,Q2,114/10/29,,13211.00,9253.00,-0.97
1419,新紡,112,Q3,114/10/29,,2328457.00,1655583.00,1.83
1419,新紡,112,Q2,114/10/29,,1511902.00,1069916.00,0.86
1419,新紡,112,Q1,114/10/29,,828902.00,595405.00,0.30
1423,利華,112,Q3,114/10/29,,91275.00,127759.00,0.62
1423,利華,112,Q1,114/10/29,,36767.00,43605.00,0.21
1423,利華,112,Q2,114/10/29,,62554.00,97470.00,0.20
1432,大魯閣,112,Q1,114/10/29,,310917.00,178799.00,0.17
1432,大魯閣,112,Q2,114/10/29,,635009.00,365208.00,0.28
1432,大魯閣,112,Q3,114/10/29,,1014959.00,571426.00,0.76
1434,福懋,112,Q1,114/10/29,,7652703.00,6850181.00,0.05
1434,福懋,112,Q3,114/10/29,,22025137.00,20053604.00,0.36
1434,福懋,112,Q2,114/10/29,,14881636.00,13521218.00,0.33
1435,中福,112,Q1,114/10/29,,2217.00,144.00,-0.02
1435,中福,112,Q3,114/10/29,,6613.00,644.00,-0.24
1435,中福,112,Q2,114/10/29,,4468.00,405.00,-0.16
1436,華友聯,112,Q1,114/10/29,,22872.00,12772.00,-0.40
1436,華友聯,112,Q3,114/10/29,,297331.00,129145.00,-0.27
1436,華友聯,112,Q2,114/10/29,,100077.00,46376.00,-0.54
1437,勤益控,112,Q2,114/10/29,,341931.00,128882.00,1.25
1437,勤益控,112,Q3,114/10/29,,676622.00,253282.00,2.25
1437,勤益控,112,Q1,114/10/29,,172886.00,65710.00,0.62
1438,三地開發,112,Q3,114/10/29,,299747.00,244237.00,-0.41
1438,三地開發,112,Q1,114/10/29,,272237.00,222454.00,0.23
1438,三地開發,112,Q2,114/10/29,,272237.00,222454.00,-0.16
1439,雋揚,112,Q1,114/10/29,,90099.00,66018.00,0.54
1439,雋揚,112,Q3,114/10/29,,147441.00,97410.00,1.37
1439,雋揚,112,Q2,114/10/29,,110609.00,74248.00,1.10
1440,南紡,112,Q1,114/10/29,,5453311.00,5522358.00,-0.29
1440,南紡,112,Q2,114/10/29,,10482586.00,10388803.00,-0.33
1440,南紡,112,Q3,114/10/29,,15017500.00,14726426.00,-0.37
1441,大東,112,Q1,114/10/29,,307173.00,373893.00,-0.36
1441,大東,112,Q2,114/10/29,,574545.00,692100.00,-1.29
1441,大東,112,Q3,114/10/29,,876183.00,1027794.00,-3.51
1442,名軒,112,Q2,114/10/29,,712126.00,376370.00,0.61
1442,名軒,112,Q3,114/10/29,,1013434.00,544338.00,0.71
1442,名軒,112,Q1,114/10/29,,466339.00,243716.00,0.41
1443,立益物流,112,Q3,114/10/29,,570375.00,302799.00,1.26
1443,立益物流,112,Q1,114/10/29,,166227.00,83448.00,0.25
1443,立益物流,112,Q2,114/10/29,,346869.00,176331.00,0.44
1444,力麗,112,Q1,114/10/29,,2255787.00,2275344.00,-0.11
1444,力麗,112,Q2,114/10/29,,4471299.00,4528459.00,-0.15
1444,力麗,112,Q3,114/10/29,,6554198.00,6595800.00,0.01
1445,大宇,112,Q3,114/10/29,,1051615.00,883751.00,0.31
1445,大宇,112,Q2,114/10/29,,755794.00,633513.00,0.23
1445,大宇,112,Q1,114/10/29,,402007.00,336756.00,0.12
1446,宏和,112,Q1,114/10/29,,35584.00,31381.00,-0.09
1446,宏和,112,Q2,114/10/29,,72454.00,65285.00,-0.14
1446,宏和,112,Q3,114/10/29,,98488.00,89815.00,-0.19
1447,力鵬,112,Q1,114/10/29,,8486152.00,8381886.00,-0.10
1447,力鵬,112,Q3,114/10/29,,22543324.00,22460244.00,-0.19
1447,力鵬,112,Q2,114/10/29,,16054277.00,16045553.00,-0.24
1449,佳和,112,Q2,114/10/29,,1237455.00,1082365.00,0.31
1449,佳和,112,Q1,114/10/29,,615222.00,527913.00,0.21
1449,佳和,112,Q3,114/10/29,,2034576.00,1749440.00,0.75
1451,年興,112,Q3,114/10/29,,4886282.00,4943185.00,-1.23
1451,年興,112,Q1,114/10/29,,1504493.00,1639037.00,-1.08
1451,年興,112,Q2,114/10/29,,3254749.00,3338461.00,-1.20
1452,宏益,112,Q1,114/10/29,,259858.00,256183.00,-0.09
1452,宏益,112,Q2,114/10/29,,539131.00,522483.00,-0.05
1452,宏益,112,Q3,114/10/29,,834721.00,813046.00,0.21
1453,大將,112,Q1,114/10/29,,171.00,0.00,0.00
1453,大將,112,Q2,114/10/29,,343.00,0.00,0.12
1453,大將,112,Q3,114/10/29,,513.00,376.00,0.04
1454,台富,112,Q3,114/10/29,,1169212.00,1046270.00,0.18
1454,台富,112,Q1,114/10/29,,363878.00,330303.00,-0.03
1454,台富,112,Q2,114/10/29,,759127.00,677625.00,0.15
1455,集盛,112,Q3,114/10/29,,5463353.00,5666351.00,-0.52
1455,集盛,112,Q1,114/10/29,,1802874.00,1780387.00,-0.08
1455,集盛,112,Q2,114/10/29,,3538296.00,3650335.00,-0.36
1456,怡華,112,Q3,114/10/29,,1449298.00,967094.00,0.56
1456,怡華,112,Q2,114/10/29,,1048986.00,703439.00,0.68
1456,怡華,112,Q1,114/10/29,,125528.00,74758.00,-0.63
1457,宜進,112,Q2,114/10/29,,1446032.00,1371975.00,-0.08
1457,宜進,112,Q3,114/10/29,,2288210.00,2151448.00,0.17
1457,宜進,112,Q1,114/10/29,,720460.00,683979.00,0.11
1459,聯發,112,Q3,114/10/29,,765261.00,905088.00,0.26
1459,聯發,112,Q1,114/10/29,,265156.00,310119.00,-0.03
1459,聯發,112,Q2,114/10/29,,491230.00,577737.00,0.11
1460,宏遠,112,Q3,114/10/29,,5555328.00,5068278.00,-0.84
1460,宏遠,112,Q1,114/10/29,,1926820.00,1524597.00,0.01
1460,宏遠,112,Q2,114/10/29,,3533424.00,2941853.00,-0.17
1463,強盛新,112,Q3,114/10/29,,258558.00,247806.00,0.46
1463,強盛新,112,Q2,114/10/29,,156057.00,162254.00,0.19
1463,強盛新,112,Q1,114/10/29,,90273.00,89037.00,0.21
1464,得力,112,Q1,114/10/29,,2621360.00,2158945.00,0.12
1464,得力,112,Q2,114/10/29,,4709625.00,4006649.00,0.02
1464,得力,112,Q3,114/10/29,,7246668.00,6191161.00,0.10
1465,偉全,112,Q2,114/10/29,,299522.00,261458.00,0.37
1465,偉全,112,Q3,114/10/29,,436176.00,377402.00,0.79
1465,偉全,112,Q1,114/10/29,,130650.00,115748.00,0.02
1466,聚隆,112,Q3,114/10/29,,1760724.00,1740883.00,-1.27
1466,聚隆,112,Q2,114/10/29,,1110056.00,1119615.00,-1.10
1466,聚隆,112,Q1,114/10/29,,510340.00,524844.00,-0.69
1467,南緯,112,Q2,114/10/29,,2119052.00,1802449.00,-0.79
1467,南緯,112,Q3,114/10/29,,3509766.00,2933157.00,-0.70
1467,南緯,112,Q1,114/10/29,,1030300.00,894683.00,-0.49
1468,昶和,112,Q2,114/10/29,,561511.00,510795.00,0.12
1468,昶和,112,Q3,114/10/29,,793519.00,706087.00,0.40
1468,昶和,112,Q1,114/10/29,,275574.00,242835.00,-0.02
1470,大統新創,112,Q3,114/10/29,,527022.00,418460.00,0.57
1470,大統新創,112,Q1,114/10/29,,232008.00,179626.00,0.41
1470,大統新創,112,Q2,114/10/29,,381470.00,300721.00,0.51
1471,首利,112,Q3,114/10/29,,187813.00,172879.00,-0.19
1471,首利,112,Q1,114/10/29,,51332.00,45786.00,-0.02
1471,首利,112,Q2,114/10/29,,118027.00,114250.00,-0.25
1472,三洋實業,112,Q2,114/10/29,,794218.00,710901.00,1.21
1472,三洋實業,112,Q3,114/10/29,,1337193.00,1175994.00,3.07
1472,三洋實業,112,Q1,114/10/29,,257436.00,226973.00,0.36
1473,台南,112,Q3,114/10/29,,4931598.00,4057598.00,1.79
1473,台南,112,Q2,114/10/29,,3241309.00,2681290.00,0.94
1473,台南,112,Q1,114/10/29,,1746721.00,1443793.00,0.53
1474,弘裕,112,Q3,114/10/29,,1922280.00,1772607.00,-0.61
1474,弘裕,112,Q2,114/10/29,,1197099.00,1102009.00,-0.33
1474,弘裕,112,Q1,114/10/29,,622284.00,573059.00,-0.15
1475,業旺,112,Q2,114/10/29,,653786.00,498417.00,5.88
1475,業旺,112,Q3,114/10/29,,944346.00,726797.00,8.10
1475,業旺,112,Q1,114/10/29,,340219.00,258046.00,2.52
1476,儒鴻,112,Q2,114/10/29,,14318720.00,10038708.00,8.09
1476,儒鴻,112,Q3,114/10/29,,22291528.00,15375262.00,13.77
1476,儒鴻,112,Q1,114/10/29,,6497742.00,4655142.00,3.01
1477,聚陽,112,Q3,114/10/29,,24330436.00,18090605.00,12.72
1477,聚陽,112,Q2,114/10/29,,15058368.00,11304585.00,7.25
1477,聚陽,112,Q1,114/10/29,,7834261.00,5857648.00,3.92
1503,士電,112,Q2,114/10/29,,16649338.00,13695729.00,2.66
1503,士電,112,Q1,114/10/29,,8972319.00,7259588.00,1.52
1503,士電,112,Q3,114/10/29,,24349767.00,20023406.00,3.94
1504,東元,112,Q2,114/10/29,,29964245.00,22453536.00,1.78
1504,東元,112,Q1,114/10/29,,14900181.00,11271380.00,0.78
1504,東元,112,Q3,114/10/29,,45029347.00,33810575.00,2.25
1506,正道,112,Q1,114/10/29,,277691.00,232972.00,0.09
1506,正道,112,Q2,114/10/29,,564811.00,475208.00,0.15
1506,正道,112,Q3,114/10/29,,853276.00,713943.00,0.27
1512,瑞利,112,Q3,114/10/29,,877940.00,694929.00,0.04
1512,瑞利,112,Q1,114/10/29,,330878.00,248014.00,0.00
1512,瑞利,112,Q2,114/10/29,,619383.00,483230.00,0.02
1513,中興電,112,Q2,114/10/29,,10771165.00,7402396.00,0.12
1513,中興電,112,Q3,114/10/29,,16298218.00,11245132.00,1.63
1513,中興電,112,Q1,114/10/29,,5841280.00,4261935.00,1.56
1514,亞力,112,Q1,114/10/29,,1857584.00,1540292.00,0.60
1514,亞力,112,Q3,114/10/29,,6113114.00,5070342.00,1.90
1514,亞力,112,Q2,114/10/29,,4130659.00,3442441.00,1.28
1515,力山,112,Q1,114/10/29,,588693.00,550574.00,-0.42
1515,力山,112,Q3,114/10/29,,3946824.00,3385576.00,0.79
1515,力山,112,Q2,114/10/29,,1610844.00,1466520.00,-0.37
1516,川飛,112,Q1,114/10/29,,383243.00,364301.00,0.29
1516,川飛,112,Q2,114/10/29,,423379.00,402582.00,0.26
1516,川飛,112,Q3,114/10/29,,633163.00,602298.00,0.46
1517,利奇,112,Q1,114/10/29,,610317.00,537910.00,0.01
1517,利奇,112,Q3,114/10/29,,1478122.00,1414263.00,-0.32
1517,利奇,112,Q2,114/10/29,,1038839.00,964838.00,-0.17
1519,華城,112,Q3,114/10/29,,8287731.00,5740952.00,5.60
1519,華城,112,Q2,114/10/29,,4643264.00,3294758.00,2.87
1519,華城,112,Q1,114/10/29,,1540545.00,1108758.00,0.79
1521,大億,112,Q2,114/10/29,,2292865.00,1961648.00,0.48
1521,大億,112,Q1,114/10/29,,1196529.00,1022220.00,0.25
1521,大億,112,Q3,114/10/29,,3580707.00,3054848.00,1.25
1522,堤維西,112,Q2,114/10/29,,9511314.00,7141977.00,1.33
1522,堤維西,112,Q3,114/10/29,,14475053.00,10773633.00,2.51
1522,堤維西,112,Q1,114/10/29,,4709936.00,3556331.00,0.65
1524,耿鼎,112,Q3,114/10/29,,1938170.00,1442792.00,1.58
1524,耿鼎,112,Q2,114/10/29,,1243191.00,950863.00,0.75
1524,耿鼎,112,Q1,114/10/29,,573599.00,444010.00,0.26
1525,江申,112,Q2,114/10/29,,880199.00,769344.00,3.43
1525,江申,112,Q1,114/10/29,,455055.00,396466.00,2.63
1525,江申,112,Q3,114/10/29,,1239742.00,1094430.00,4.54
1526,日馳,112,Q1,114/10/29,,348215.00,234373.00,0.76
1526,日馳,112,Q3,114/10/29,,852325.00,598758.00,1.24
1526,日馳,112,Q2,114/10/29,,620805.00,435597.00,1.15
1527,鑽全,112,Q1,114/10/29,,800897.00,616089.00,0.63
1527,鑽全,112,Q2,114/10/29,,1420741.00,1108394.00,1.26
1527,鑽全,112,Q3,114/10/29,,2121210.00,1632449.00,2.37
1528,恩德,112,Q1,114/10/29,,931763.00,662912.00,0.07
1528,恩德,112,Q3,114/10/29,,2810024.00,2052362.00,0.25
1528,恩德,112,Q2,114/10/29,,1884195.00,1374418.00,0.17
1529,樂事綠能,112,Q1,114/10/29,,172262.00,135053.00,0.32
1529,樂事綠能,112,Q3,114/10/29,,531462.00,413237.00,0.57
1529,樂事綠能,112,Q2,114/10/29,,293911.00,235221.00,0.87
1530,亞崴,112,Q1,114/10/29,,538803.00,486840.00,0.15
1530,亞崴,112,Q2,114/10/29,,1197439.00,1020308.00,0.41
1530,亞崴,112,Q3,114/10/29,,1858659.00,1557032.00,2.04
1531,高林股,112,Q1,114/10/29,,340903.00,283510.00,-0.14
1531,高林股,112,Q3,114/10/29,,1101507.00,951127.00,0.23
1531,高林股,112,Q2,114/10/29,,741304.00,626158.00,-0.23
1532,勤美,112,Q1,114/10/29,,2871172.00,2317158.00,-0.06
1532,勤美,112,Q3,114/10/29,,12981859.00,10042024.00,1.81
1532,勤美,112,Q2,114/10/29,,7532712.00,5888099.00,0.79
1533,車王電,112,Q1,114/10/29,,924123.00,763239.00,-0.48
1533,車王電,112,Q3,114/10/29,,3074027.00,2530044.00,-0.87
1533,車王電,112,Q2,114/10/29,,2027681.00,1689707.00,-0.91
1535,中宇,112,Q1,114/10/29,,2006509.00,1827868.00,0.93
1535,中宇,112,Q3,114/10/29,,6700926.00,6050620.00,3.06
1535,中宇,112,Q2,114/10/29,,4496984.00,4071903.00,2.10
1536,和大,112,Q2,114/10/29,,3495438.00,2789366.00,1.07
1536,和大,112,Q1,114/10/29,,1713514.00,1382206.00,0.30
1536,和大,112,Q3,114/10/29,,5059913.00,4109000.00,1.47
