出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/08/05","115","2","3532","台勝科","9814961.00","41468582.00","51283543.00","3621964.00","23367009.00","26988973.00","3878483.00","--","5739406.00","14777594.00","-100913.00","--","24294570.00","--","--","--","24294570.00","--","0.00","0.00","62.64"
"115/08/05","115","2","3563","牧德","6767267.00","1147798.00","7915065.00","2134308.00","98641.00","2232949.00","639608.00","--","1771510.00","3120867.00","15455.00","--","5547440.00","--","--","134676.00","5682116.00","--","0.00","0.00","86.73"
"115/08/05","115","2","3592","瑞鼎","18888519.00","2733822.00","21622341.00","10024328.00","209316.00","10233644.00","758552.00","--","4712933.00","5988425.00","-71213.00","--","11388697.00","--","--","--","11388697.00","0.00","0.00","0.00","150.14"
"115/08/05","115","2","3704","合勤控","24230560.00","4746914.00","28977474.00","15873935.00","731843.00","16605778.00","4154450.00","--","3722664.00","4739833.00","-397344.00","-96550.00","12123053.00","--","--","248643.00","12371696.00","--","0.00","7317397.00","29.70"
"115/08/05","115","2","4108","懷特","1179387.00","1232191.00","2411578.00","40436.00","17784.00","58220.00","1986189.00","--","6590.00","-303672.00","254017.00","--","1943124.00","--","--","410234.00","2353358.00","--","0.00","0.00","9.78"
"115/08/05","115","2","4441","振大環球","7225729.00","2675670.00","9901399.00","2968929.00","52139.00","3021068.00","681756.00","--","2408345.00","3744576.00","36721.00","--","6871398.00","--","--","8933.00","6880331.00","--","0.00","0.00","100.79"
"115/08/05","115","2","4545","銘鈺","1955528.00","1390955.00","3346483.00","1190709.00","213430.00","1404139.00","770000.00","--","642785.00","522626.00","6933.00","--","1942344.00","--","--","--","1942344.00","0.00","0.00","0.00","25.23"
"115/08/05","115","2","4583","台灣精銳","7081009.00","4049867.00","11130876.00","559523.00","637980.00","1197503.00","801714.00","--","722914.00","8408745.00","0.00","--","9933373.00","--","--","--","9933373.00","--","0.00","0.00","123.90"
"115/08/05","115","2","4968","立積","3295095.00","303622.00","3598717.00","855291.00","45292.00","900583.00","922099.00","--","900389.00","870753.00","4893.00","--","2698134.00","--","--","--","2698134.00","--","0.00","0.00","29.26"
"115/08/05","115","2","5203","訊連","2653351.00","3432126.00","6085477.00","1329758.00","375481.00","1705239.00","793426.00","--","2349284.00","1509275.00","-136562.00","-135185.00","4380238.00","--","--","--","4380238.00","0.00","0.00","2000000.00","56.63"
"115/08/05","115","2","5288","豐祥-KY","5145373.00","3480106.00","8625479.00","2230520.00","35201.00","2265721.00","696987.00","--","1375024.00","4667919.00","-389775.00","--","6350155.00","--","--","9603.00","6359758.00","--","0.00","0.00","91.11"
"115/08/05","115","2","5434","崇越","29436399.00","18767094.00","48203493.00","22013975.00","3950099.00","25964074.00","1940080.00","--","3431429.00","13930831.00","2672938.00","0.00","21975278.00","--","--","264141.00","22239419.00","0.00","0.00","0.00","113.27"
"115/08/05","115","2","6153","嘉聯益","5902347.00","10430551.00","16332898.00","3836983.00","3944058.00","7781041.00","6361777.00","--","2067362.00","-541787.00","664505.00","0.00","8551857.00","--","--","--","8551857.00","--","0.00","0.00","13.44"
"115/08/05","115","2","6176","瑞儀","51191129.00","19042657.00","70233786.00","28686420.00","5247988.00","33934408.00","4650273.00","--","4726289.00","29425066.00","-1795849.00","-706401.00","36299378.00","--","--","--","36299378.00","0.00","0.00","4786000.00","78.87"
"115/08/05","115","2","6197","佳必琪","7503083.00","2927524.00","10430607.00","3565607.00","952455.00","4518062.00","1234391.00","--","623364.00","3130692.00","690296.00","--","5678743.00","--","--","233802.00","5912545.00","0.00","1353246.00","0.00","46.00"
"115/08/05","115","2","6201","亞弘電","3121801.00","847483.00","3969284.00","1173394.00","104093.00","1277487.00","892000.00","--","333273.00","1523777.00","-57253.00","--","2691797.00","--","--","--","2691797.00","0.00","0.00","0.00","30.18"
