出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","111","2","5475","德宏","329783.00","388623.00","--","--","-58840.00","--","--","-58840.00","94120.00","--","-152960.00","-30599.00","-183559.00","8290.00","-191849.00","--","--","-191849.00","456341.00","--","264492.00","-178825.00","--","-13024.00","277516.00","--","-13024.00","-1.41"
"114/10/28","111","2","5478","智冠","2920534.00","1324381.00","--","--","1596153.00","--","--","1596153.00","1115520.00","--","480633.00","36306.00","516939.00","109140.00","407799.00","--","--","407799.00","-68225.00","--","339574.00","376136.00","--","31663.00","307165.00","--","32409.00","3.10"
"114/10/28","111","2","5481","新華","44328.00","18929.00","--","--","25399.00","--","--","25399.00","41021.00","--","-15622.00","1917.00","-13705.00","-1973.00","-11732.00","--","--","-11732.00","86.00","--","-11646.00","-11732.00","--","--","-11646.00","--","--","-0.16"
"114/10/28","111","2","5483","中美晶","39039993.00","23313070.00","--","--","15726923.00","--","--","15726923.00","2717404.00","--","13009519.00","-7818305.00","5191214.00","-159544.00","5350758.00","--","--","5350758.00","-2235088.00","--","3115670.00","3086138.00","--","2264620.00","1697801.00","--","1417869.00","5.26"
"114/10/28","111","2","5487","通泰","145658.00","98771.00","--","--","46887.00","--","--","46887.00","38295.00","--","8592.00","4070.00","12662.00","4319.00","8343.00","--","--","8343.00","2329.00","--","10672.00","8343.00","--","0.00","10672.00","--","0.00","0.35"
"114/10/28","111","2","5488","松普","527181.00","448946.00","--","--","78235.00","--","--","78235.00","67233.00","--","11002.00","4340.00","15342.00","1867.00","13475.00","--","--","13475.00","23817.00","--","37292.00","13475.00","--","--","37292.00","--","--","0.15"
"114/10/28","111","2","5489","彩富","862762.00","576371.00","--","--","286391.00","--","--","286391.00","213556.00","--","72835.00","108280.00","181115.00","25903.00","155212.00","--","--","155212.00","534.00","--","155746.00","155204.00","--","8.00","155738.00","--","8.00","1.56"
"114/10/28","111","2","5490","同亨","815654.00","555202.00","--","--","260452.00","--","--","260452.00","198665.00","--","61787.00","-309897.00","-248110.00","-49700.00","-198410.00","--","--","-198410.00","10765.00","--","-187645.00","-198410.00","--","--","-187645.00","--","--","-2.15"
"114/10/28","111","2","5493","三聯","1837671.00","1480298.00","--","--","357373.00","--","--","357373.00","131465.00","--","225908.00","84833.00","310741.00","56472.00","254269.00","--","--","254269.00","-101142.00","--","153127.00","120667.00","--","133602.00","17896.00","--","135231.00","2.91"
"114/10/28","111","2","5498","凱崴","734249.00","709755.00","--","--","24494.00","--","--","24494.00","73894.00","--","-49400.00","-3224.00","-52624.00","-73.00","-52551.00","--","--","-52551.00","-5162.00","--","-57713.00","-52753.00","--","202.00","-57915.00","--","202.00","-0.28"
"114/10/28","111","2","5508","永信建","1618634.00","811863.00","--","--","806771.00","--","--","806771.00","106395.00","--","700376.00","40.00","700416.00","117086.00","583330.00","--","--","583330.00","--","--","583330.00","--","--","--","--","--","--","2.68"
"114/10/28","111","2","5511","德昌","3958443.00","3511675.00","--","--","446768.00","--","--","446768.00","135260.00","--","311508.00","-21451.00","290057.00","69463.00","220594.00","--","--","220594.00","10438.00","--","231032.00","222460.00","--","-1866.00","232898.00","--","-1866.00","1.96"
"114/10/28","111","2","5512","力麒","3071852.00","2407542.00","--","--","664310.00","--","--","664310.00","281924.00","--","382386.00","-127551.00","254835.00","88646.00","166189.00","--","--","166189.00","-53840.00","--","112349.00","134965.00","--","31224.00","80908.00","--","31441.00","0.18"
