出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","111","1","6561","是方","749752.00","398377.00","--","--","351375.00","--","--","351375.00","105574.00","15.00","245816.00","-827.00","244989.00","48471.00","196518.00","--","--","196518.00","5971.00","--","202489.00","196460.00","--","58.00","201893.00","--","596.00","2.79"
"114/10/29","111","1","6568","宏觀","243124.00","127548.00","--","--","115576.00","--","--","115576.00","96399.00","--","19177.00","5100.00","24277.00","4425.00","19852.00","--","--","19852.00","-3414.00","--","16438.00","19852.00","--","--","16438.00","--","--","0.67"
"114/10/29","111","1","6569","醫揚","419208.00","299669.00","--","--","119539.00","--","--","119539.00","86984.00","--","32555.00","18497.00","51052.00","9494.00","41558.00","--","--","41558.00","3540.00","--","45098.00","41943.00","--","-385.00","45483.00","--","-385.00","1.39"
"114/10/29","111","1","6570","維田","227570.00","153804.00","--","--","73766.00","--","--","73766.00","47996.00","--","25770.00","5273.00","31043.00","6067.00","24976.00","--","--","24976.00","5319.00","--","30295.00","24976.00","--","0.00","30295.00","--","0.00","0.83"
"114/10/29","111","1","6574","霈方","192655.00","38680.00","--","--","153975.00","--","--","153975.00","129817.00","--","24158.00","-1353.00","22805.00","5417.00","17388.00","--","--","17388.00","65.00","--","17453.00","17624.00","--","-236.00","17689.00","--","-236.00","0.79"
"114/10/29","111","1","6576","逸達","66978.00","2758.00","--","--","64220.00","--","--","64220.00","184533.00","--","-120313.00","4241.00","-116072.00","6229.00","-122301.00","--","--","-122301.00","2976.00","--","-119325.00","-122301.00","--","--","-119325.00","--","--","-1.04"
"114/10/29","111","1","6577","勁豐","516478.00","387073.00","--","--","129405.00","--","--","129405.00","76184.00","--","53221.00","18336.00","71557.00","14577.00","56980.00","--","--","56980.00","1883.00","--","58863.00","56980.00","--","--","58863.00","--","--","1.49"
"114/10/29","111","1","6578","達邦蛋白","115380.00","114639.00","--","--","741.00","--","--","741.00","23283.00","--","-22542.00","11066.00","-11476.00","-788.00","-10688.00","--","--","-10688.00","10450.00","--","-238.00","-10688.00","--","--","-238.00","--","--","-0.28"
"114/10/29","111","1","6588","東典光電","54820.00","37542.00","--","--","17278.00","--","--","17278.00","16972.00","--","306.00","6234.00","6540.00","-543.00","7083.00","--","--","7083.00","-47.00","--","7036.00","7083.00","--","--","7036.00","--","--","0.27"
"114/10/29","111","1","6590","普鴻","115895.00","61601.00","--","--","54294.00","--","--","54294.00","33959.00","--","20335.00","6714.00","27049.00","4287.00","22762.00","--","--","22762.00","0.00","--","22762.00","18867.00","--","3895.00","18867.00","--","3895.00","1.03"
