出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/28","111","1","4979","華星光","788869.00","1021099.00","1809968.00","254729.00","320000.00","574729.00","1324535.00","--","127783.00","-286996.00","69917.00","--","1235239.00","--","--","--","1235239.00","--","0.00","0.00","9.33"
"114/10/28","111","1","4987","科誠","891636.00","508614.00","1400250.00","291438.00","77500.00","368938.00","289800.00","--","166865.00","598926.00","-24279.00","--","1031312.00","--","--","--","1031312.00","--","0.00","0.00","35.59"
"114/10/28","111","1","4991","環宇-KY","1382325.00","3332598.00","4714923.00","208392.00","254983.00","463375.00","1108826.00","--","2731084.00","545479.00","-133841.00","0.00","4251548.00","--","--","--","4251548.00","40500.00","0.00","0.00","38.36"
"114/10/28","111","1","4995","晶達","806224.00","1058887.00","1865111.00","585940.00","488887.00","1074827.00","418980.00","--","217092.00","153624.00","588.00","--","790284.00","--","--","--","790284.00","--","54000.00","0.00","18.86"
"114/10/28","111","1","5009","榮剛","9384527.00","13270594.00","22655121.00","5196991.00","8130791.00","13327782.00","4567360.00","--","2034616.00","2380848.00","-24998.00","-231834.00","8725992.00","--","--","601347.00","9327339.00","--","0.00","16817736.00","19.84"
"114/10/28","111","1","5011","久陽","2623926.00","1380139.00","4004065.00","1465083.00","300891.00","1765974.00","894101.00","--","962772.00","133956.00","-43920.00","0.00","1946909.00","--","--","291182.00","2238091.00","0.00","360464.00","0.00","21.78"
"114/10/28","111","1","5013","強新","5237019.00","3468872.00","8705891.00","2391128.00","1823613.00","4214741.00","1334160.00","--","10847.00","2157839.00","-28584.00","0.00","3474262.00","--","--","1016888.00","4491150.00","0.00","0.00","0.00","26.04"
"114/10/28","111","1","5014","建錩","6192664.00","2120874.00","8313538.00","4858053.00","181609.00","5039662.00","1853330.00","--","536978.00","1105789.00","-248337.00","--","3247760.00","--","--","26116.00","3273876.00","0.00","0.00","0.00","17.52"
"114/10/28","111","1","5015","華祺","1954390.00","553016.00","2507406.00","1067613.00","60023.00","1127636.00","606392.00","--","93952.00","733626.00","-54200.00","0.00","1379770.00","--","--","0.00","1379770.00","0.00","0.00","0.00","22.75"
"114/10/28","111","1","5016","松和","1907500.00","1047055.00","2954555.00","729899.00","652523.00","1382422.00","496221.00","--","8000.00","1059337.00","-1211.00","--","1562347.00","--","--","9786.00","1572133.00","0.00","0.00","0.00","31.48"
